,Country,Monthly_Sal_EUR,EdLevel
4512,Honduras,2198.7166666666667,college/university without bachelor's degree
5893,Honduras,2398.6,college/university without bachelor's degree
6784,Honduras,99.94166666666666,Bachelor's degree
10734,Honduras,3997.6666666666665,Secondary school
11793,Honduras,2598.483333333333,Bachelor's degree
22120,Honduras,329.8075,college/university without bachelor's degree
28747,Honduras,1898.8916666666667,Bachelor's degree
33906,Honduras,219.87166666666667,Bachelor's degree
43150,Honduras,2398.6,college/university without bachelor's degree
64856,Honduras,3997.6666666666665,Bachelor's degree
66733,Honduras,8395.099999999999,Bachelor's degree
