,Country,Monthly_Sal_EUR,EdLevel
1873,Hungary,74.95625,Secondary school
7456,Hungary,1998.8333333333333,Secondary school
9183,Hungary,17989.5,Doctoral degree
19055,Hungary,2998.25,Bachelor's degree
19549,Hungary,19988.333333333332,Bachelor's degree
22300,Hungary,12992.416666666666,college/university without bachelor's degree
23743,Hungary,4797.2,Bachelor's degree
24086,Hungary,17989.5,college/university without bachelor's degree
25702,Hungary,19988.333333333332,college/university without bachelor's degree
31031,Hungary,399.76666666666665,Master's degree
31747,Hungary,19988.333333333332,Secondary school
31787,Hungary,99.94166666666666,college/university without bachelor's degree
32885,Hungary,469.7258333333333,Master's degree
33988,Hungary,699.5916666666667,Bachelor's degree
43712,Hungary,599.65,Master's degree
50906,Hungary,19988.333333333332,college/university without bachelor's degree
51075,Hungary,149.9125,Master's degree
51377,Hungary,14991.25,Bachelor's degree
54846,Hungary,7995.333333333333,Secondary school
60381,Hungary,5746.645833333333,Associate degree
61426,Hungary,3997.6666666666665,college/university without bachelor's degree
62935,Hungary,16990.083333333332,Secondary school
64091,Hungary,17989.5,college/university without bachelor's degree
65520,Hungary,19488.625,Bachelor's degree
65958,Hungary,3997.6666666666665,Secondary school
67515,Hungary,91.446625,Bachelor's degree
69390,Hungary,13292.141725000001,Bachelor's degree
76131,Hungary,7675.52,Secondary school
76727,Hungary,9494.458333333332,Primary/elementary school
76825,Hungary,199.88333333333333,Bachelor's degree
81408,Hungary,115.93233333333333,college/university without bachelor's degree
82336,Hungary,10993.583333333332,Associate degree
82689,Hungary,129.92416666666668,Bachelor's degree
87375,Hungary,13492.125,college/university without bachelor's degree
