,Country,Monthly_Sal_EUR,YearsCodePro
1052,Hungary,129.92416666666668,10
1445,Hungary,499.7083333333333,2
1556,Hungary,11993.0,5
1858,Hungary,199.88333333333333,4
2149,Hungary,99.94166666666666,16
2963,Hungary,3997.6666666666665,6
10471,Hungary,1199.3,20
13333,Hungary,899.475,5
20787,Hungary,7795.450000000001,6
21349,Hungary,19988.333333333332,2
23936,Hungary,7835.426666666666,20
24228,Hungary,519.6966666666667,11
24274,Hungary,199.88333333333333,25
24592,Hungary,119.93,3
27016,Hungary,149.9125,3
27181,Hungary,71.958,6
27352,Hungary,8694.925,6
28483,Hungary,13492.125,12
28716,Hungary,11493.291666666666,27
33930,Hungary,39.97666666666667,3
34627,Hungary,5496.791666666666,6
37106,Hungary,9494.458333333332,12
45764,Hungary,10493.875,22
48231,Hungary,10993.583333333332,10
49032,Hungary,239.86,6
49610,Hungary,19988.333333333332,1
53429,Hungary,19988.333333333332,1
60719,Hungary,9994.166666666666,1
61003,Hungary,4547.345833333333,7
63646,Hungary,14491.541666666666,3
67719,Hungary,799.5333333333333,14
68493,Hungary,14691.425,6
69278,Hungary,399.76666666666665,10
69821,Hungary,5496.791666666666,8
71288,Hungary,6995.916666666666,14
73264,Hungary,9994.166666666666,3
75195,Hungary,29.9825,3
76452,Hungary,9994.166666666666,15
76756,Hungary,4297.491666666667,7
79134,Hungary,299.825,5
80758,Hungary,4997.083333333333,13
