,Country,Monthly_Sal_EUR,EdLevel
2641,Iceland,14015.219683333333,Master's degree
4088,Iceland,6540.9821999999995,Bachelor's degree
8437,Iceland,11387.3535,Bachelor's degree
14678,Iceland,6281.9334,Bachelor's degree
15744,Iceland,10160.4696,Bachelor's degree
16670,Iceland,6716.08,Bachelor's degree
21317,Iceland,11679.383049999999,Bachelor's degree
22142,Iceland,7182.807583333333,Master's degree
24213,Iceland,10160.4696,Bachelor's degree
26963,Iceland,5839.3917,college/university without bachelor's degree
27707,Iceland,10511.8645,Bachelor's degree
28661,Iceland,7591.569,Secondary school
31615,Iceland,7195.8,Bachelor's degree
38480,Iceland,12036.1748,Bachelor's degree
44729,Iceland,48.67159166666667,Bachelor's degree
47158,Iceland,7675.52,Bachelor's degree
55569,Iceland,7751.0759,Bachelor's degree
63372,Iceland,4671.273499999999,Associate degree
63924,Iceland,8395.099999999999,Master's degree
