,Country,Monthly_Sal_EUR,YearsCodePro
320,India,2498.5416666666665,3
622,India,2998.25,3
751,India,2298.6583333333333,2
962,India,13991.833333333332,5
1024,India,1499.125,2
1065,India,2798.366666666667,2
1520,India,2998.25,3
1593,India,7995.333333333333,5
1732,India,1748.9791666666665,4
1757,India,1898.8916666666667,1
1858,India,5196.966666666666,7
2146,India,4997.083333333333,6
2217,India,2498.5416666666665,2
2288,India,159.90666666666667,9
2883,India,4797.2,5
3218,India,6995.916666666666,3
3635,India,9994.166666666666,4
4547,India,2498.5416666666665,1
4792,India,6995.916666666666,6
5424,India,4997.083333333333,4
5467,India,11493.291666666666,7
5542,India,4397.433333333333,5
5603,India,599.65,1
5615,India,8994.75,7
5628,India,7495.625,4
5647,India,1898.8916666666667,1
5706,India,699.5916666666667,3
5719,India,14991.25,10
5737,India,1998.8333333333333,3
5749,India,1499.125,2
5752,India,7795.450000000001,5
5784,India,999.4166666666666,1
5785,India,0.9994166666666666,4
5798,India,8594.983333333334,5
5817,India,4197.549999999999,5
5830,India,4297.491666666667,3
5834,India,6995.916666666666,3
5838,India,1199.3,1
5852,India,1199.3,2
5893,India,1898.8916666666667,1
5895,India,299.825,4
5916,India,1499.125,1
5934,India,1199.3,2
5940,India,778.7454666666667,1
5953,India,1599.0666666666666,1
5976,India,5201.164216666666,7
5983,India,1898.8916666666667,1
6001,India,4997.083333333333,3
6018,India,4597.316666666667,6
6053,India,499.7083333333333,7
6066,India,3497.958333333333,1
6067,India,3997.6666666666665,4
6072,India,4497.375,4
6073,India,4997.083333333333,5
6075,India,3997.6666666666665,3
6081,India,5496.791666666666,5
6082,India,3997.6666666666665,5
6086,India,4697.258333333333,4
6088,India,4797.2,5
6094,India,7995.333333333333,4
6112,India,1399.1833333333334,3
6134,India,8994.75,2
6137,India,4497.375,2
6140,India,4797.2,7
6150,India,3198.133333333333,4
6156,India,19988.333333333332,15
6158,India,4497.375,4
6175,India,1299.2416666666666,1
6176,India,1798.95,3
6179,India,778.7454666666667,2
6189,India,3597.9,3
6190,India,1499.125,2
6191,India,989.4224999999999,1
6202,India,3497.958333333333,4
6221,India,7995.333333333333,7
6242,India,3997.6666666666665,3
6244,India,2498.5416666666665,3
6253,India,999.4166666666666,4
6271,India,3997.6666666666665,5
6274,India,3997.6666666666665,6
6276,India,2498.5416666666665,2
6284,India,2728.4075,2
6285,India,3398.016666666667,5
6295,India,3497.958333333333,3
6296,India,2498.5416666666665,3
6300,India,19988.333333333332,6
6311,India,3298.075,5
6332,India,6296.325000000001,8
6333,India,3597.9,4
6341,India,4097.608333333334,3
6345,India,5996.5,7
6347,India,9994.166666666666,5
6351,India,4097.608333333334,3
6386,India,2748.395833333333,2
6391,India,1499.125,3
6394,India,3298.075,3
6409,India,4997.083333333333,5
6429,India,2398.6,3
6430,India,2798.366666666667,1
6444,India,7995.333333333333,13
6462,India,2798.366666666667,1
6479,India,9494.458333333332,5
6481,India,7495.625,8
6487,India,6895.974999999999,6
6489,India,4397.433333333333,3
6495,India,7995.333333333333,3
6507,India,3997.6666666666665,6
6535,India,9.994166666666667,5
6538,India,4297.491666666667,8
6540,India,19988.333333333332,20
6543,India,1499.125,1
6549,India,1499.125,2
6555,India,3997.6666666666665,1
6557,India,999.4166666666666,2
6568,India,4847.170833333334,5
6570,India,14391.6,1
6579,India,6496.208333333333,7
6584,India,9994.166666666666,10
6600,India,2498.5416666666665,1
6606,India,2298.6583333333333,1
6624,India,1499.125,1
6627,India,4497.375,2
6641,India,1499.125,2
6679,India,5296.908333333333,4
6720,India,9.994166666666667,4
6735,India,1998.8333333333333,1
6736,India,3997.6666666666665,4
6742,India,4997.083333333333,5
6753,India,3597.9,2
6768,India,999.4166666666666,1
6817,India,2498.5416666666665,3
6831,India,799.5333333333333,4
6833,India,0.4997083333333333,4
6836,India,3098.1916666666666,2
6839,India,19988.333333333332,5
6860,India,11393.35,7
6862,India,9994.166666666666,7
6868,India,2498.5416666666665,2
6898,India,4097.608333333334,6
6948,India,419.755,3
6957,India,1798.95,1
6963,India,1501.1238333333333,1
6965,India,5496.791666666666,5
6988,India,1998.8333333333333,2
7012,India,4997.083333333333,4
7055,India,2498.5416666666665,3
7059,India,2506.836825,2
7092,India,6496.208333333333,5
7122,India,8994.75,10
7158,India,2998.25,4
7194,India,3897.7250000000004,6
7283,India,9994.166666666666,7
7309,India,3248.1041666666665,2
7324,India,2798.366666666667,1
7329,India,799.5333333333333,2
7333,India,2998.25,3
7344,India,4297.491666666667,1
7350,India,3497.958333333333,5
7363,India,11393.35,1
7364,India,5496.791666666666,5
7372,India,5996.5,5
7395,India,3797.7833333333333,4
7445,India,999.4166666666666,1
7447,India,3497.958333333333,5
7538,India,5996.5,5
7583,India,1499.125,1
7607,India,13392.183333333334,9
7625,India,9994.166666666666,9
7634,India,2998.25,4
7708,India,2498.5416666666665,1
7710,India,1998.8333333333333,2
7711,India,12492.708333333332,6
7724,India,3997.6666666666665,2
7774,India,1299.2416666666666,2
7779,India,10793.7,9
7782,India,3497.958333333333,1
7788,India,3151.460575,1
7793,India,9994.166666666666,2
7807,India,14391.6,3
7826,India,1199.3,1
7845,India,4997.083333333333,3
7856,India,4997.083333333333,6
7863,India,2998.25,1
7895,India,4497.375,4
7917,India,4497.375,3
8042,India,9994.166666666666,6
8044,India,4197.549999999999,4
8063,India,2298.6583333333333,3
8081,India,2998.25,3
8106,India,2998.25,3
8121,India,3497.958333333333,4
8141,India,2498.5416666666665,6
8152,India,0.4997083333333333,4
8172,India,999.4166666666666,1
8176,India,1199.3,1
8184,India,4997.083333333333,8
8190,India,999.4166666666666,1
8199,India,9994.166666666666,8
8213,India,24.985416666666666,4
8229,India,3997.6666666666665,6
8231,India,79.95333333333333,5
8279,India,1499.125,1
8323,India,6496.208333333333,10
8346,India,999.4166666666666,1
8356,India,3997.6666666666665,2
8370,India,2498.5416666666665,5
8383,India,2998.25,3
8405,India,3997.6666666666665,3
8433,India,2878.32,4
8471,India,0.39976666666666666,2
8555,India,6995.916666666666,5
8567,India,0.39976666666666666,2
8614,India,5996.5,10
8637,India,599.65,5
8645,India,2798.366666666667,2
8663,India,2998.25,2
8668,India,3997.6666666666665,4
8669,India,999.4166666666666,1
8697,India,1499.125,8
8749,India,8328.438908333334,10
8773,India,7995.333333333333,4
8788,India,4997.083333333333,7
8796,India,9994.166666666666,9
8799,India,5996.5,5
8811,India,1998.8333333333333,2
8823,India,9994.166666666666,6
8829,India,34.97958333333333,3
8837,India,1249.2708333333333,2
8841,India,4497.375,2
8843,India,15990.666666666666,9
8860,India,3297.3754083333333,8
8862,India,2998.25,8
8882,India,999.4166666666666,3
8906,India,499.7083333333333,1
8908,India,3098.1916666666666,5
8909,India,9994.166666666666,3
8920,India,3198.133333333333,3
8949,India,93.64534166666667,6
8958,India,1499.125,2
8974,India,5996.5,4
8976,India,5996.5,7
8980,India,0.4997083333333333,6
9031,India,1499.125,2
9040,India,5496.791666666666,4
9056,India,4897.141666666666,5
9065,India,5496.791666666666,4
9143,India,11793.116666666665,8
9159,India,799.5333333333333,3
9198,India,249.85416666666666,16
9200,India,3997.6666666666665,5
9224,India,15990.666666666666,4
9238,India,999.4166666666666,1
9295,India,9794.283333333333,9
9333,India,2698.425,3
9348,India,4997.083333333333,5
9351,India,2998.25,3
9355,India,199.88333333333333,4
9370,India,3298.075,5
9410,India,1998.8333333333333,9
9439,India,7495.625,4
9447,India,1499.125,1
9453,India,1798.95,2
9460,India,1499.125,1
9465,India,4497.375,2
9503,India,1199.3,1
9519,India,3997.6666666666665,1
9531,India,1199.3,2
9552,India,49.97083333333333,4
9616,India,4847.170833333334,5
9625,India,5996.5,6
9672,India,4997.083333333333,6
9678,India,2998.25,5
9717,India,7195.8,5
9721,India,3997.6666666666665,4
9774,India,2198.7166666666667,5
9813,India,3098.1916666666666,2
9815,India,2498.5416666666665,1
9836,India,4997.083333333333,10
9851,India,5996.5,8
9887,India,749.5625,1
9906,India,299.825,14
9948,India,2398.6,2
