,Country,Monthly_Sal_EUR,EdLevel
162,Indonesia,2951.4772999999996,college/university without bachelor's degree
630,Indonesia,447.3389,Bachelor's degree
2933,Indonesia,715.9821,Bachelor's degree
3670,Indonesia,858.6987999999999,Bachelor's degree
3729,Indonesia,2236.6944999999996,Bachelor's degree
3906,Indonesia,465.3284,Bachelor's degree
4478,Indonesia,250.6537,Bachelor's degree
5162,Indonesia,1998.8333333333333,college/university without bachelor's degree
5650,Indonesia,447.3389,Bachelor's degree
6022,Indonesia,537.2864,Bachelor's degree
8056,Indonesia,1073.3735,Bachelor's degree
8626,Indonesia,3131.3723,Bachelor's degree
9563,Indonesia,402.9648,Bachelor's degree
10624,Indonesia,626.0346,Bachelor's degree
12279,Indonesia,447.3389,Secondary school
12321,Indonesia,491.713,Bachelor's degree
13220,Indonesia,894.6778,Bachelor's degree
13257,Indonesia,357.3914,Associate degree
13990,Indonesia,402.9648,college/university without bachelor's degree
14394,Indonesia,1798.95,college/university without bachelor's degree
14740,Indonesia,559.6733333333333,No formal education
15158,Indonesia,269.8425,Bachelor's degree
15973,Indonesia,1467.9432,Master's degree
16017,Indonesia,313.0173,college/university without bachelor's degree
16454,Indonesia,574.6645833333333,Bachelor's degree
17159,Indonesia,1163.321,Bachelor's degree
17388,Indonesia,134.3216,Bachelor's degree
17681,Indonesia,1342.0167,Bachelor's degree
18954,Indonesia,359.79,college/university without bachelor's degree
19305,Indonesia,1439.16,Bachelor's degree
20124,Indonesia,1252.0692,Bachelor's degree
20402,Indonesia,1163.321,Bachelor's degree
21282,Indonesia,2398.6,Bachelor's degree
22140,Indonesia,939.0519,Bachelor's degree
22212,Indonesia,1243.6741,Bachelor's degree
24202,Indonesia,983.426,college/university without bachelor's degree
24301,Indonesia,983.426,Bachelor's degree
24924,Indonesia,357.3914,Bachelor's degree
24940,Indonesia,119.93,No formal education
25859,Indonesia,375.3809,Secondary school
26019,Indonesia,1304.23875,college/university without bachelor's degree
26124,Indonesia,599.65,Bachelor's degree
26134,Indonesia,1610.6598999999999,Bachelor's degree
26212,Indonesia,357.3914,Bachelor's degree
26219,Indonesia,695.594,Bachelor's degree
26381,Indonesia,1342.0167,Bachelor's degree
26636,Indonesia,5996.5,Master's degree
27285,Indonesia,5218.054358333333,Master's degree
27817,Indonesia,4557.34,Bachelor's degree
28551,Indonesia,419.755,Bachelor's degree
29400,Indonesia,286.6327,Bachelor's degree
29812,Indonesia,10733.735,college/university without bachelor's degree
31573,Indonesia,224.2691,Secondary school
31880,Indonesia,434.14660000000003,Bachelor's degree
33494,Indonesia,1798.95,Bachelor's degree
33600,Indonesia,617.6395,Bachelor's degree
35591,Indonesia,388.57320000000004,Bachelor's degree
35822,Indonesia,2748.5957166666667,Bachelor's degree
35911,Indonesia,2998.25,Bachelor's degree
36605,Indonesia,626.0346,Bachelor's degree
37930,Indonesia,719.58,Bachelor's degree
38634,Indonesia,2218.705,Bachelor's degree
39607,Indonesia,402.9648,Bachelor's degree
39767,Indonesia,447.3389,Bachelor's degree
39816,Indonesia,581.6605,college/university without bachelor's degree
41824,Indonesia,3130.77265,Master's degree
42185,Indonesia,447.3389,Bachelor's degree
43469,Indonesia,239.86,Bachelor's degree
44259,Indonesia,715.9821,Secondary school
44270,Indonesia,447.3389,Bachelor's degree
44459,Indonesia,447.3389,Bachelor's degree
44563,Indonesia,447.3389,Bachelor's degree
45123,Indonesia,491.713,Bachelor's degree
46708,Indonesia,322.6117,Bachelor's degree
47014,Indonesia,268.6432,Bachelor's degree
47157,Indonesia,804.7302999999999,Secondary school
47385,Indonesia,894.4779166666667,Associate degree
48105,Indonesia,357.3914,Bachelor's degree
48699,Indonesia,581.6605,Bachelor's degree
48887,Indonesia,26.3846,Secondary school
48909,Indonesia,402.9648,Bachelor's degree
50335,Indonesia,2146.747,Secondary school
50508,Indonesia,2079.5861999999997,college/university without bachelor's degree
50557,Indonesia,697.9926,Bachelor's degree
51733,Indonesia,1342.0167,Bachelor's degree
51889,Indonesia,624.6354166666666,Bachelor's degree
52589,Indonesia,939.0519,Bachelor's degree
52922,Indonesia,500.1081,Master's degree
53847,Indonesia,4565.035508333333,Bachelor's degree
54449,Indonesia,4539.3505,Bachelor's degree
55419,Indonesia,1199.3,Master's degree
56209,Indonesia,491.713,Bachelor's degree
56213,Indonesia,2498.5416666666665,Bachelor's degree
57089,Indonesia,1520.7124,Master's degree
57160,Indonesia,178.6957,Associate degree
57285,Indonesia,3220.1205,Bachelor's degree
57526,Indonesia,670.4087,Bachelor's degree
57919,Indonesia,357.3914,Bachelor's degree
57926,Indonesia,447.3389,Bachelor's degree
59570,Indonesia,1252.0692,college/university without bachelor's degree
60176,Indonesia,715.9821,Bachelor's degree
60907,Indonesia,268.6432,college/university without bachelor's degree
61374,Indonesia,286.6327,Associate degree
61776,Indonesia,268.6432,Associate degree
61853,Indonesia,894.6778,Secondary school
62171,Indonesia,537.2864,Bachelor's degree
63064,Indonesia,299.825,Bachelor's degree
63216,Indonesia,715.9821,Bachelor's degree
63479,Indonesia,1499.125,Bachelor's degree
63578,Indonesia,89.9475,college/university without bachelor's degree
63748,Indonesia,214.67469999999997,Secondary school
64005,Indonesia,1789.3556,Master's degree
64174,Indonesia,804.7302999999999,Bachelor's degree
64224,Indonesia,894.6778,Bachelor's degree
64362,Indonesia,357.3914,Bachelor's degree
64574,Indonesia,268.6432,Bachelor's degree
65172,Indonesia,357.3914,Secondary school
65200,Indonesia,1789.3556,Master's degree
65489,Indonesia,1430.7649000000001,Bachelor's degree
65834,Indonesia,804.7302999999999,college/university without bachelor's degree
68158,Indonesia,1342.0167,Master's degree
68286,Indonesia,479.72,college/university without bachelor's degree
68377,Indonesia,715.9821,Bachelor's degree
68456,Indonesia,894.6778,Bachelor's degree
68598,Indonesia,178.6957,Primary/elementary school
68599,Indonesia,268.6432,Associate degree
68954,Indonesia,11181.473666666667,Master's degree
68992,Indonesia,268.6432,Bachelor's degree
69199,Indonesia,2236.6944999999996,Bachelor's degree
69237,Indonesia,357.3914,Secondary school
69436,Indonesia,537.2864,Bachelor's degree
69831,Indonesia,1923.6772,Bachelor's degree
69872,Indonesia,357.3914,Bachelor's degree
70588,Indonesia,804.7302999999999,Secondary school
71276,Indonesia,590.0555999999999,Bachelor's degree
71867,Indonesia,715.9821,Bachelor's degree
72048,Indonesia,1789.3556,Bachelor's degree
72144,Indonesia,521.7954416666666,Secondary school
72366,Indonesia,1342.0167,Bachelor's degree
72677,Indonesia,447.3389,Primary/elementary school
73096,Indonesia,5996.5,college/university without bachelor's degree
73198,Indonesia,3131.3723,Bachelor's degree
73379,Indonesia,134.3216,college/university without bachelor's degree
73733,Indonesia,239.86,Bachelor's degree
73831,Indonesia,447.3389,college/university without bachelor's degree
74571,Indonesia,1798.95,college/university without bachelor's degree
74613,Indonesia,44.3741,Primary/elementary school
75522,Indonesia,894.6778,Secondary school
75569,Indonesia,4217.538333333333,Master's degree
75920,Indonesia,178.6957,college/university without bachelor's degree
76671,Indonesia,268.6432,Bachelor's degree
76782,Indonesia,6394.167891666666,Master's degree
76937,Indonesia,1789.3556,Master's degree
77346,Indonesia,1798.95,Secondary school
78063,Indonesia,295.02779999999996,Secondary school
78374,Indonesia,804.7302999999999,Bachelor's degree
78818,Indonesia,537.2864,Bachelor's degree
78822,Indonesia,1789.3556,Bachelor's degree
79211,Indonesia,268.6432,Bachelor's degree
79321,Indonesia,134.3216,college/university without bachelor's degree
79422,Indonesia,44.3741,Secondary school
79633,Indonesia,378.2792083333334,Bachelor's degree
79635,Indonesia,2236.6944999999996,Bachelor's degree
79746,Indonesia,537.2864,Bachelor's degree
80289,Indonesia,383.77599999999995,Bachelor's degree
80304,Indonesia,715.9821,Bachelor's degree
81604,Indonesia,1073.3735,Bachelor's degree
82102,Indonesia,313.0173,Secondary school
82571,Indonesia,402.9648,Bachelor's degree
82747,Indonesia,1918.88,college/university without bachelor's degree
84112,Indonesia,447.3389,Bachelor's degree
84835,Indonesia,894.6778,Secondary school
