,Country,Monthly_Sal_EUR,YearsCodePro
162,Indonesia,2951.4772999999996,9
630,Indonesia,447.3389,6
2933,Indonesia,715.9821,0
3670,Indonesia,858.6987999999999,0
3729,Indonesia,2236.6944999999996,3
3906,Indonesia,465.3284,0
4478,Indonesia,250.6537,0
5162,Indonesia,1998.8333333333333,3
5650,Indonesia,447.3389,0
6022,Indonesia,537.2864,0
6761,Indonesia,268.6432,3
8056,Indonesia,1073.3735,0
8111,Indonesia,1024.4020833333334,0
8626,Indonesia,3131.3723,3
9563,Indonesia,402.9648,0
10624,Indonesia,626.0346,0
12279,Indonesia,447.3389,0
12321,Indonesia,491.713,0
13220,Indonesia,894.6778,9
13257,Indonesia,357.3914,6
13990,Indonesia,402.9648,0
14394,Indonesia,1798.95,6
14740,Indonesia,559.6733333333333,30
15158,Indonesia,269.8425,0
15973,Indonesia,1467.9432,3
16017,Indonesia,313.0173,3
16454,Indonesia,574.6645833333333,3
17159,Indonesia,1163.321,3
17388,Indonesia,134.3216,0
17681,Indonesia,1342.0167,0
18954,Indonesia,359.79,6
19305,Indonesia,1439.16,0
20124,Indonesia,1252.0692,3
20402,Indonesia,1163.321,3
21282,Indonesia,2398.6,3
22140,Indonesia,939.0519,0
22212,Indonesia,1243.6741,3
24202,Indonesia,983.426,3
24301,Indonesia,983.426,3
24924,Indonesia,357.3914,0
24940,Indonesia,119.93,0
25859,Indonesia,375.3809,0
26019,Indonesia,1304.23875,6
26124,Indonesia,599.65,3
26134,Indonesia,1610.6598999999999,3
26212,Indonesia,357.3914,6
26219,Indonesia,695.594,0
26381,Indonesia,1342.0167,3
26636,Indonesia,5996.5,9
27285,Indonesia,5218.054358333333,3
27817,Indonesia,4557.34,0
28551,Indonesia,419.755,0
29400,Indonesia,286.6327,0
29812,Indonesia,10733.735,0
31573,Indonesia,224.2691,0
31880,Indonesia,434.14660000000003,0
33494,Indonesia,1798.95,18
33600,Indonesia,617.6395,3
35591,Indonesia,388.57320000000004,3
35822,Indonesia,2748.5957166666667,6
35911,Indonesia,2998.25,6
36605,Indonesia,626.0346,0
37930,Indonesia,719.58,3
38634,Indonesia,2218.705,6
39607,Indonesia,402.9648,0
39767,Indonesia,447.3389,0
39816,Indonesia,581.6605,3
41824,Indonesia,3130.77265,6
42185,Indonesia,447.3389,3
43469,Indonesia,239.86,0
44259,Indonesia,715.9821,3
44270,Indonesia,447.3389,0
44459,Indonesia,447.3389,3
44563,Indonesia,447.3389,0
45123,Indonesia,491.713,0
46708,Indonesia,322.6117,0
47014,Indonesia,268.6432,0
47157,Indonesia,804.7302999999999,3
47385,Indonesia,894.4779166666667,6
48105,Indonesia,357.3914,0
48699,Indonesia,581.6605,3
48887,Indonesia,26.3846,0
48909,Indonesia,402.9648,0
50335,Indonesia,2146.747,3
50508,Indonesia,2079.5861999999997,0
50557,Indonesia,697.9926,3
51733,Indonesia,1342.0167,3
51889,Indonesia,624.6354166666666,12
52589,Indonesia,939.0519,6
52922,Indonesia,500.1081,6
53847,Indonesia,4565.035508333333,3
54449,Indonesia,4539.3505,0
55419,Indonesia,1199.3,0
56209,Indonesia,491.713,0
56213,Indonesia,2498.5416666666665,3
57089,Indonesia,1520.7124,9
57160,Indonesia,178.6957,3
57285,Indonesia,3220.1205,3
57526,Indonesia,670.4087,0
57919,Indonesia,357.3914,0
57926,Indonesia,447.3389,0
59570,Indonesia,1252.0692,6
60176,Indonesia,715.9821,0
60907,Indonesia,268.6432,0
61374,Indonesia,286.6327,0
61776,Indonesia,268.6432,0
61853,Indonesia,894.6778,3
62171,Indonesia,537.2864,0
63064,Indonesia,299.825,3
63216,Indonesia,715.9821,0
63479,Indonesia,1499.125,3
63748,Indonesia,214.67469999999997,0
64005,Indonesia,1789.3556,3
64174,Indonesia,804.7302999999999,6
64224,Indonesia,894.6778,6
64362,Indonesia,357.3914,0
64574,Indonesia,268.6432,3
65172,Indonesia,357.3914,0
65200,Indonesia,1789.3556,9
65489,Indonesia,1430.7649000000001,3
65834,Indonesia,804.7302999999999,0
68158,Indonesia,1342.0167,0
68286,Indonesia,479.72,0
68377,Indonesia,715.9821,3
68456,Indonesia,894.6778,3
68598,Indonesia,178.6957,0
68599,Indonesia,268.6432,0
68954,Indonesia,11181.473666666667,6
68992,Indonesia,268.6432,0
69199,Indonesia,2236.6944999999996,6
69237,Indonesia,357.3914,3
69436,Indonesia,537.2864,3
69831,Indonesia,1923.6772,3
69872,Indonesia,357.3914,0
70588,Indonesia,804.7302999999999,0
71276,Indonesia,590.0555999999999,6
71867,Indonesia,715.9821,3
