,Country,Monthly_Sal_EUR,EdLevel
144,"Iran, Islamic Republic of...",997.8176,Master's degree
525,"Iran, Islamic Republic of...",1998.8333333333333,Bachelor's degree
860,"Iran, Islamic Republic of...",1597.4676,Master's degree
1921,"Iran, Islamic Republic of...",1497.9257,Master's degree
2008,"Iran, Islamic Republic of...",399.3669,Bachelor's degree
2237,"Iran, Islamic Republic of...",133.1223,Bachelor's degree
2535,"Iran, Islamic Republic of...",1439.16,Bachelor's degree
3030,"Iran, Islamic Republic of...",1331.223,Bachelor's degree
3067,"Iran, Islamic Republic of...",1996.8345,Master's degree
3660,"Iran, Islamic Republic of...",292.62919999999997,Bachelor's degree
3995,"Iran, Islamic Republic of...",665.6115,Associate degree
4256,"Iran, Islamic Republic of...",1198.1007,Bachelor's degree
5017,"Iran, Islamic Republic of...",149.9125,Bachelor's degree
5268,"Iran, Islamic Republic of...",16.7902,Secondary school
5493,"Iran, Islamic Republic of...",1996.8345,Bachelor's degree
5500,"Iran, Islamic Republic of...",2163.5371999999998,Bachelor's degree
5540,"Iran, Islamic Republic of...",599.05035,Master's degree
5856,"Iran, Islamic Republic of...",73.15729999999999,Bachelor's degree
6055,"Iran, Islamic Republic of...",1530.3067999999998,Bachelor's degree
6253,"Iran, Islamic Republic of...",1199.3,Master's degree
6383,"Iran, Islamic Republic of...",1830.1318,Master's degree
6511,"Iran, Islamic Republic of...",277.338125,Bachelor's degree
6678,"Iran, Islamic Republic of...",2329.0406,Bachelor's degree
7244,"Iran, Islamic Republic of...",584.6587499999999,Associate degree
7595,"Iran, Islamic Republic of...",1199.3,Master's degree
7865,"Iran, Islamic Republic of...",832.3141999999999,Bachelor's degree
7910,"Iran, Islamic Republic of...",1299.2416666666666,college/university without bachelor's degree
8151,"Iran, Islamic Republic of...",2662.446,Doctoral degree
8161,"Iran, Islamic Republic of...",699.1918999999999,Bachelor's degree
8301,"Iran, Islamic Republic of...",999.4166666666666,Bachelor's degree
8457,"Iran, Islamic Republic of...",416.15709999999996,Bachelor's degree
8620,"Iran, Islamic Republic of...",1798.95,Master's degree
9104,"Iran, Islamic Republic of...",1331.223,Bachelor's degree
10588,"Iran, Islamic Republic of...",498.9088,Master's degree
10597,"Iran, Islamic Republic of...",1798.95,Associate degree
10887,"Iran, Islamic Republic of...",719.58,Bachelor's degree
11055,"Iran, Islamic Republic of...",731.573,Bachelor's degree
11762,"Iran, Islamic Republic of...",73.15729999999999,Associate degree
12202,"Iran, Islamic Republic of...",665.6115,Bachelor's degree
12741,"Iran, Islamic Republic of...",1164.5203,Associate degree
12795,"Iran, Islamic Republic of...",1663.4290999999998,Bachelor's degree
13125,"Iran, Islamic Republic of...",1331.223,Master's degree
13199,"Iran, Islamic Republic of...",1798.95,Bachelor's degree
13271,"Iran, Islamic Republic of...",3993.669,No formal education
14176,"Iran, Islamic Republic of...",1130.9398999999999,Bachelor's degree
14430,"Iran, Islamic Republic of...",332.2061,Secondary school
14577,"Iran, Islamic Republic of...",997.8176,college/university without bachelor's degree
15066,"Iran, Islamic Republic of...",1863.7122,Bachelor's degree
15606,"Iran, Islamic Republic of...",17.489791666666665,Secondary school
15697,"Iran, Islamic Republic of...",1663.4290999999998,Bachelor's degree
15705,"Iran, Islamic Republic of...",832.3141999999999,Master's degree
15877,"Iran, Islamic Republic of...",166.7027,Bachelor's degree
16146,"Iran, Islamic Republic of...",133.1223,Master's degree
16490,"Iran, Islamic Republic of...",2163.5371999999998,Bachelor's degree
16857,"Iran, Islamic Republic of...",665.6115,Associate degree
17398,"Iran, Islamic Republic of...",1331.223,Bachelor's degree
17499,"Iran, Islamic Republic of...",2562.9040999999997,Bachelor's degree
17671,"Iran, Islamic Republic of...",82.7517,Bachelor's degree
17930,"Iran, Islamic Republic of...",1439.16,Associate degree
18439,"Iran, Islamic Republic of...",7987.338,college/university without bachelor's degree
18469,"Iran, Islamic Republic of...",965.4365,Secondary school
18659,"Iran, Islamic Republic of...",3594.3021,Bachelor's degree
19701,"Iran, Islamic Republic of...",65.9615,Bachelor's degree
20943,"Iran, Islamic Republic of...",997.8176,Master's degree
21794,"Iran, Islamic Republic of...",2761.9879,Bachelor's degree
22127,"Iran, Islamic Republic of...",1830.1318,Bachelor's degree
22160,"Iran, Islamic Republic of...",89.9475,Bachelor's degree
22422,"Iran, Islamic Republic of...",1796.5513999999998,Bachelor's degree
22554,"Iran, Islamic Republic of...",1834.929,Bachelor's degree
22674,"Iran, Islamic Republic of...",1397.1844999999998,Bachelor's degree
22812,"Iran, Islamic Republic of...",1164.5203,Master's degree
23098,"Iran, Islamic Republic of...",1497.9257,Master's degree
23998,"Iran, Islamic Republic of...",239.86,Master's degree
24188,"Iran, Islamic Republic of...",3597.9,college/university without bachelor's degree
24341,"Iran, Islamic Republic of...",399.3669,Secondary school
24895,"Iran, Islamic Republic of...",50.3706,Bachelor's degree
24937,"Iran, Islamic Republic of...",997.8176,Master's degree
25019,"Iran, Islamic Republic of...",1996.8345,Master's degree
25022,"Iran, Islamic Republic of...",4991.4866,Secondary school
25179,"Iran, Islamic Republic of...",498.9088,Master's degree
25824,"Iran, Islamic Republic of...",1164.5203,Bachelor's degree
25851,"Iran, Islamic Republic of...",931.8561,Bachelor's degree
25927,"Iran, Islamic Republic of...",1663.4290999999998,Bachelor's degree
26129,"Iran, Islamic Republic of...",1497.9257,Master's degree
26167,"Iran, Islamic Republic of...",832.3141999999999,college/university without bachelor's degree
26846,"Iran, Islamic Republic of...",1798.95,Master's degree
27034,"Iran, Islamic Republic of...",82.7517,Doctoral degree
27203,"Iran, Islamic Republic of...",1796.5513999999998,Bachelor's degree
27239,"Iran, Islamic Republic of...",1164.5203,Bachelor's degree
27612,"Iran, Islamic Republic of...",1533.9047,Master's degree
27711,"Iran, Islamic Republic of...",719.58,Bachelor's degree
27742,"Iran, Islamic Republic of...",1996.8345,Bachelor's degree
27799,"Iran, Islamic Republic of...",699.1918999999999,Bachelor's degree
27880,"Iran, Islamic Republic of...",659.615,Bachelor's degree
28036,"Iran, Islamic Republic of...",65.9615,Bachelor's degree
28284,"Iran, Islamic Republic of...",1164.5203,Bachelor's degree
28317,"Iran, Islamic Republic of...",665.6115,No formal education
