,Country,Monthly_Sal_EUR,YearsCodePro
144,"Iran, Islamic Republic of...",997.8176,3
525,"Iran, Islamic Republic of...",1998.8333333333333,12
860,"Iran, Islamic Republic of...",1597.4676,3
1921,"Iran, Islamic Republic of...",1497.9257,6
2008,"Iran, Islamic Republic of...",399.3669,3
2237,"Iran, Islamic Republic of...",133.1223,6
2535,"Iran, Islamic Republic of...",1439.16,3
3030,"Iran, Islamic Republic of...",1331.223,3
3067,"Iran, Islamic Republic of...",1996.8345,3
3660,"Iran, Islamic Republic of...",292.62919999999997,3
3995,"Iran, Islamic Republic of...",665.6115,3
4256,"Iran, Islamic Republic of...",1198.1007,3
5017,"Iran, Islamic Republic of...",149.9125,3
5268,"Iran, Islamic Republic of...",16.7902,0
5493,"Iran, Islamic Republic of...",1996.8345,6
5500,"Iran, Islamic Republic of...",2163.5371999999998,3
5540,"Iran, Islamic Republic of...",599.05035,3
5856,"Iran, Islamic Republic of...",73.15729999999999,9
6055,"Iran, Islamic Republic of...",1530.3067999999998,3
6253,"Iran, Islamic Republic of...",1199.3,9
6383,"Iran, Islamic Republic of...",1830.1318,6
6511,"Iran, Islamic Republic of...",277.338125,21
6678,"Iran, Islamic Republic of...",2329.0406,3
7244,"Iran, Islamic Republic of...",584.6587499999999,0
7595,"Iran, Islamic Republic of...",1199.3,3
7865,"Iran, Islamic Republic of...",832.3141999999999,9
7910,"Iran, Islamic Republic of...",1299.2416666666666,3
8151,"Iran, Islamic Republic of...",2662.446,9
8161,"Iran, Islamic Republic of...",699.1918999999999,0
8301,"Iran, Islamic Republic of...",999.4166666666666,3
8457,"Iran, Islamic Republic of...",416.15709999999996,0
8620,"Iran, Islamic Republic of...",1798.95,6
9104,"Iran, Islamic Republic of...",1331.223,6
10588,"Iran, Islamic Republic of...",498.9088,0
10597,"Iran, Islamic Republic of...",1798.95,3
10887,"Iran, Islamic Republic of...",719.58,6
11055,"Iran, Islamic Republic of...",731.573,0
11762,"Iran, Islamic Republic of...",73.15729999999999,6
12135,"Iran, Islamic Republic of...",1798.95,3
12202,"Iran, Islamic Republic of...",665.6115,0
12741,"Iran, Islamic Republic of...",1164.5203,3
12795,"Iran, Islamic Republic of...",1663.4290999999998,6
13125,"Iran, Islamic Republic of...",1331.223,3
13199,"Iran, Islamic Republic of...",1798.95,9
13271,"Iran, Islamic Republic of...",3993.669,6
14176,"Iran, Islamic Republic of...",1130.9398999999999,3
