,Country,Monthly_Sal_EUR,EdLevel
4658,Iran,99.94166666666666,Master's degree
5609,Iran,9.994166666666667,Master's degree
6625,Iran,149.9125,Master's degree
8449,Iran,2998.25,Secondary school
11208,Iran,9.994166666666667,Bachelor's degree
14381,Iran,109.93583333333333,Bachelor's degree
18044,Iran,3997.6666666666665,Master's degree
29483,Iran,129.92416666666668,Bachelor's degree
39298,Iran,119.93,Master's degree
40902,Iran,949.4458333333333,Bachelor's degree
49188,Iran,199.88333333333333,Associate degree
49336,Iran,599.65,Bachelor's degree
50594,Iran,999.4166666666666,Bachelor's degree
52497,Iran,39.97666666666667,Associate degree
53784,Iran,4.997083333333333,Associate degree
57674,Iran,1099.3583333333333,Bachelor's degree
58894,Iran,249.85416666666666,Bachelor's degree
67117,Iran,1499.125,No formal education
68121,Iran,299.825,Associate degree
68916,Iran,99.94166666666666,Master's degree
74588,Iran,39.97666666666667,Master's degree
76003,Iran,25.685008333333332,Bachelor's degree
81377,Iran,499.7083333333333,Bachelor's degree
81397,Iran,59.965,Bachelor's degree
