,Country,Monthly_Sal_EUR,EdLevel
73,Ireland,9994.166666666666,Bachelor's degree
277,Ireland,5496.791666666666,Master's degree
284,Ireland,4497.375,Bachelor's degree
901,Ireland,3497.958333333333,Doctoral degree
1428,Ireland,13991.833333333332,Bachelor's degree
1468,Ireland,10393.933333333332,Doctoral degree
2064,Ireland,419.755,Professional degree
2283,Ireland,8994.650058333333,Master's degree
2614,Ireland,6995.916666666666,Master's degree
2640,Ireland,6246.354166666666,Master's degree
2646,Ireland,4997.083333333333,Bachelor's degree
2821,Ireland,8994.75,Master's degree
3081,Ireland,4497.375,college/university without bachelor's degree
3567,Ireland,12992.416666666666,Master's degree
3919,Ireland,8994.75,Bachelor's degree
3979,Ireland,7895.391666666666,college/university without bachelor's degree
4294,Ireland,7775.461666666667,Bachelor's degree
4453,Ireland,4197.549999999999,college/university without bachelor's degree
4823,Ireland,6296.325000000001,college/university without bachelor's degree
5047,Ireland,3497.958333333333,Bachelor's degree
5266,Ireland,7495.625,Master's degree
5412,Ireland,3875.737833333333,Master's degree
5843,Ireland,10205.243466666667,college/university without bachelor's degree
5862,Ireland,6746.0625,Bachelor's degree
5867,Ireland,7995.333333333333,Bachelor's degree
6146,Ireland,8495.041666666666,Master's degree
6174,Ireland,99.94166666666666,Secondary school
6663,Ireland,2798.366666666667,Bachelor's degree
6709,Ireland,8794.866666666667,Master's degree
6760,Ireland,499.7083333333333,Bachelor's degree
6814,Ireland,7495.625,Master's degree
7540,Ireland,4497.375,Bachelor's degree
8151,Ireland,7195.8,Bachelor's degree
8181,Ireland,2704.4215,Bachelor's degree
8548,Ireland,6995.916666666666,Bachelor's degree
8608,Ireland,5796.616666666667,Bachelor's degree
9411,Ireland,5396.85,Master's degree
9769,Ireland,4997.083333333333,Master's degree
10050,Ireland,3497.958333333333,Bachelor's degree
10129,Ireland,9494.458333333332,Master's degree
10881,Ireland,5296.908333333333,Bachelor's degree
11277,Ireland,4697.258333333333,Bachelor's degree
11645,Ireland,6995.916666666666,Bachelor's degree
11927,Ireland,5996.5,Master's degree
12225,Ireland,9294.575,Bachelor's degree
12350,Ireland,3198.133333333333,Bachelor's degree
12586,Ireland,5996.5,Bachelor's degree
12797,Ireland,8994.75,Master's degree
13061,Ireland,6995.916666666666,Bachelor's degree
13328,Ireland,5996.5,Doctoral degree
13336,Ireland,7195.8,Secondary school
13851,Ireland,2998.25,college/university without bachelor's degree
14370,Ireland,4297.491666666667,Master's degree
14680,Ireland,5896.5583333333325,Bachelor's degree
14727,Ireland,10194.05,Bachelor's degree
14856,Ireland,669.6091666666666,Bachelor's degree
15419,Ireland,5996.5,Bachelor's degree
15668,Ireland,7995.333333333333,Master's degree
15672,Ireland,4367.450833333333,Professional degree
15853,Ireland,5996.5,Bachelor's degree
16278,Ireland,5196.966666666666,Master's degree
16800,Ireland,9794.283333333333,Bachelor's degree
17332,Ireland,6096.441666666667,Master's degree
18019,Ireland,6196.383333333333,Master's degree
18082,Ireland,4697.258333333333,Bachelor's degree
18108,Ireland,5996.5,Bachelor's degree
18259,Ireland,7495.625,Master's degree
18368,Ireland,12992.416666666666,Doctoral degree
19108,Ireland,11993.0,Secondary school
19406,Ireland,6995.916666666666,Bachelor's degree
19520,Ireland,4097.608333333334,Master's degree
19537,Ireland,3098.1916666666666,Bachelor's degree
19823,Ireland,4997.083333333333,Master's degree
19970,Ireland,6995.916666666666,Bachelor's degree
20417,Ireland,6995.916666666666,Bachelor's degree
20531,Ireland,3198.133333333333,Bachelor's degree
20678,Ireland,7995.333333333333,Secondary school
21165,Ireland,10993.583333333332,Master's degree
21257,Ireland,3457.9816666666666,Bachelor's degree
21388,Ireland,3098.1916666666666,Master's degree
21608,Ireland,7495.625,Master's degree
21646,Ireland,7995.333333333333,Doctoral degree
21750,Ireland,4997.083333333333,Master's degree
22676,Ireland,4997.083333333333,Doctoral degree
23385,Ireland,4697.258333333333,Bachelor's degree
24178,Ireland,199.88333333333333,Bachelor's degree
24207,Ireland,14991.25,Secondary school
24215,Ireland,2998.25,Bachelor's degree
24340,Ireland,299.825,Doctoral degree
24379,Ireland,7995.333333333333,Master's degree
24538,Ireland,7245.770833333333,Bachelor's degree
25045,Ireland,15990.666666666666,Master's degree
25150,Ireland,5996.5,Master's degree
25157,Ireland,4347.4625,Bachelor's degree
25193,Ireland,8994.75,Master's degree
25263,Ireland,1249.2708333333333,Primary/elementary school
25589,Ireland,9769.297916666666,Associate degree
26009,Ireland,5097.025,Bachelor's degree
26012,Ireland,8495.041666666666,Master's degree
26145,Ireland,6496.208333333333,Master's degree
26202,Ireland,5496.791666666666,Master's degree
26646,Ireland,2498.5416666666665,Master's degree
26735,Ireland,4997.083333333333,Bachelor's degree
26792,Ireland,5496.791666666666,Bachelor's degree
26852,Ireland,6696.091666666667,college/university without bachelor's degree
26883,Ireland,3797.7833333333333,Associate degree
27112,Ireland,3997.6666666666665,Bachelor's degree
27202,Ireland,4797.2,Master's degree
27347,Ireland,5296.908333333333,college/university without bachelor's degree
27837,Ireland,8495.041666666666,Bachelor's degree
28497,Ireland,8994.75,Secondary school
28645,Ireland,3248.1041666666665,Master's degree
29003,Ireland,5496.791666666666,Bachelor's degree
29141,Ireland,7883.398666666666,Master's degree
29383,Ireland,4997.083333333333,Bachelor's degree
29674,Ireland,399.76666666666665,Bachelor's degree
29829,Ireland,3398.016666666667,Bachelor's degree
30025,Ireland,9794.283333333333,Master's degree
30488,Ireland,269.8425,Secondary school
30808,Ireland,5496.791666666666,Bachelor's degree
30816,Ireland,4997.083333333333,Master's degree
30954,Ireland,832.8139083333333,Master's degree
