,Country,Monthly_Sal_EUR,YearsCodePro
305,Ireland,4997.083333333333,19
536,Ireland,13991.833333333332,8
827,Ireland,13991.833333333332,25
898,Ireland,10094.108333333334,3
1368,Ireland,13991.833333333332,22
1537,Ireland,8994.75,19
2864,Ireland,437.24479166666663,3
3119,Ireland,4997.083333333333,7
3551,Ireland,14991.25,36
3713,Ireland,272.3410416666667,14
3941,Ireland,8994.75,3
4035,Ireland,1199.3,10
4290,Ireland,6496.208333333333,4
4603,Ireland,449.7375,5
5065,Ireland,7995.333333333333,8
6911,Ireland,15490.958333333332,25
7052,Ireland,6496.208333333333,13
7783,Ireland,3198.133333333333,1
8160,Ireland,4997.083333333333,14
8310,Ireland,4722.24375,9
8575,Ireland,5996.5,17
8747,Ireland,3797.7833333333333,3
8776,Ireland,4197.549999999999,4
8938,Ireland,9.994166666666667,2
9022,Ireland,7795.450000000001,6
9149,Ireland,4497.375,5
9253,Ireland,7995.333333333333,5
9426,Ireland,6496.208333333333,3
9772,Ireland,4997.083333333333,6
9804,Ireland,7995.333333333333,6
10061,Ireland,4097.608333333334,2
10332,Ireland,5996.5,20
10465,Ireland,999.4166666666666,12
10812,Ireland,10493.875,7
11187,Ireland,3797.7833333333333,4
11208,Ireland,6696.091666666667,7
11622,Ireland,7195.8,31
11667,Ireland,10993.583333333332,10
12231,Ireland,5196.966666666666,6
12783,Ireland,7995.333333333333,15
12940,Ireland,249.85416666666666,27
12952,Ireland,9244.604166666666,27
12978,Ireland,6995.916666666666,7
13005,Ireland,9994.166666666666,27
13132,Ireland,4297.491666666667,3
13287,Ireland,2998.25,3
13292,Ireland,5996.5,9
13322,Ireland,12992.416666666666,21
13356,Ireland,6496.208333333333,13
13420,Ireland,9994.166666666666,12
13435,Ireland,19888.391666666666,27
13521,Ireland,6496.208333333333,13
13773,Ireland,8594.983333333334,23
13868,Ireland,12492.708333333332,12
14002,Ireland,14991.25,34
14043,Ireland,4497.375,3
14084,Ireland,5996.5,5
14124,Ireland,6496.208333333333,1
14159,Ireland,6596.15,13
14191,Ireland,9994.166666666666,22
14206,Ireland,3298.075,1
14663,Ireland,3997.6666666666665,3
14914,Ireland,6496.208333333333,15
14920,Ireland,4497.375,3
14976,Ireland,4997.083333333333,5
15078,Ireland,8994.75,10
15103,Ireland,3997.6666666666665,4
15311,Ireland,3497.958333333333,1
15407,Ireland,4197.549999999999,8
15561,Ireland,2998.25,1
15731,Ireland,5596.733333333334,8
15846,Ireland,699.5916666666667,5
16027,Ireland,4197.549999999999,3
16135,Ireland,4997.083333333333,4
16152,Ireland,3947.695833333333,9
16165,Ireland,5396.85,2
16180,Ireland,3797.7833333333333,2
16399,Ireland,4997.083333333333,4
16493,Ireland,6496.208333333333,3
16530,Ireland,483.018075,10
16834,Ireland,499.7083333333333,14
16877,Ireland,7395.6833333333325,8
16888,Ireland,2798.366666666667,1
16917,Ireland,4322.477083333333,4
17055,Ireland,3997.6666666666665,1
17273,Ireland,11993.0,20
17378,Ireland,8594.983333333334,12
17407,Ireland,5596.733333333334,6
17415,Ireland,4697.258333333333,2
17477,Ireland,2798.366666666667,1
17531,Ireland,3198.133333333333,2
17720,Ireland,5996.5,2
17734,Ireland,274.83958333333334,1
17998,Ireland,6746.0625,6
18133,Ireland,6496.208333333333,6
18230,Ireland,4797.2,2
18327,Ireland,6995.916666666666,11
18349,Ireland,7595.566666666667,3
18471,Ireland,6496.208333333333,1
18517,Ireland,7995.333333333333,6
18534,Ireland,7295.741666666667,7
18668,Ireland,4497.375,2
18755,Ireland,6696.091666666667,5
18799,Ireland,9994.166666666666,20
18887,Ireland,19988.333333333332,7
18923,Ireland,5996.5,3
19000,Ireland,10693.758333333333,4
19112,Ireland,10993.583333333332,6
19127,Ireland,5496.791666666666,5
19238,Ireland,2873.3229166666665,1
19240,Ireland,5996.5,30
19275,Ireland,15391.016666666666,20
19314,Ireland,3078.2033333333334,1
19374,Ireland,7220.785416666667,10
19377,Ireland,3697.8416666666662,5
19493,Ireland,6887.579900000001,5
19524,Ireland,6196.383333333333,8
19600,Ireland,11493.291666666666,4
19701,Ireland,5996.5,5
20245,Ireland,144.91541666666666,4
20730,Ireland,3497.958333333333,7
20785,Ireland,7495.625,4
20796,Ireland,16990.083333333332,6
21123,Ireland,5696.675,9
21147,Ireland,399.76666666666665,4
21272,Ireland,5496.791666666666,3
21548,Ireland,3697.8416666666662,2
22032,Ireland,6496.208333333333,10
22233,Ireland,6496.208333333333,7
22293,Ireland,3997.6666666666665,3
22506,Ireland,5496.791666666666,6
22603,Ireland,7495.625,15
22652,Ireland,3997.6666666666665,1
22819,Ireland,4197.549999999999,3
22946,Ireland,8495.041666666666,8
22977,Ireland,3797.7833333333333,1
22979,Ireland,3298.075,3
23442,Ireland,11993.0,10
23504,Ireland,13991.833333333332,20
23541,Ireland,7495.625,5
23691,Ireland,8994.75,25
23899,Ireland,199.88333333333333,4
23956,Ireland,4997.083333333333,6
23983,Ireland,9194.633333333333,11
24003,Ireland,7495.625,26
24031,Ireland,7995.333333333333,6
24554,Ireland,270.6420333333333,2
24598,Ireland,13991.833333333332,23
24658,Ireland,3497.958333333333,1
24821,Ireland,6496.208333333333,4
24857,Ireland,9494.458333333332,8
24897,Ireland,6995.916666666666,8
24905,Ireland,7495.625,14
25257,Ireland,5496.791666666666,11
25568,Ireland,6496.208333333333,6
25772,Ireland,10493.875,6
25983,Ireland,5996.5,15
26148,Ireland,8295.158333333333,14
26902,Ireland,7995.333333333333,10
27080,Ireland,8095.275,2
27294,Ireland,7495.625,5
27461,Ireland,9194.633333333333,11
27498,Ireland,4047.6375,1
27599,Ireland,5196.966666666666,4
27910,Ireland,9994.166666666666,20
28028,Ireland,3997.6666666666665,1
28770,Ireland,9994.166666666666,3
29013,Ireland,7595.566666666667,12
29328,Ireland,3497.958333333333,2
29377,Ireland,3997.6666666666665,3
29456,Ireland,449.7375,18
29945,Ireland,4397.433333333333,3
30698,Ireland,5996.5,4
30827,Ireland,7395.6833333333325,10
31126,Ireland,2998.25,1
31390,Ireland,3298.075,3
31520,Ireland,4597.316666666667,6
32200,Ireland,6296.325000000001,6
32216,Ireland,4997.083333333333,3
32244,Ireland,5696.675,4
32280,Ireland,9924.2075,20
33232,Ireland,18489.208333333332,19
33303,Ireland,4497.375,3
33378,Ireland,2998.25,2
34218,Ireland,6995.916666666666,6
34224,Ireland,7495.625,11
34237,Ireland,3198.133333333333,1
34244,Ireland,3198.133333333333,2
34259,Ireland,8245.1875,14
34276,Ireland,5996.5,5
34285,Ireland,3787.7891666666665,3
34698,Ireland,8994.75,16
34918,Ireland,8994.75,6
35015,Ireland,5996.5,19
35206,Ireland,6396.266666666666,10
35443,Ireland,4647.2875,2
35479,Ireland,7495.625,5
35699,Ireland,4097.608333333334,3
35707,Ireland,3497.958333333333,2
35815,Ireland,7695.508333333333,7
37169,Ireland,5996.5,5
37228,Ireland,329.8075,10
37332,Ireland,299.825,1
37802,Ireland,7995.333333333333,10
38018,Ireland,6496.208333333333,4
38103,Ireland,3957.6899999999996,8
38341,Ireland,6496.208333333333,14
38616,Ireland,2598.483333333333,3
39275,Ireland,3497.958333333333,1
39382,Ireland,5496.791666666666,4
40073,Ireland,9494.458333333332,10
40101,Ireland,3248.1041666666665,1
40112,Ireland,4997.083333333333,3
40129,Ireland,3897.7250000000004,1
41147,Ireland,2848.3375,2
41497,Ireland,5496.791666666666,5
41698,Ireland,5996.5,6
41729,Ireland,5996.5,10
41799,Ireland,1049.3874999999998,19
41970,Ireland,7495.625,4
42142,Ireland,6196.383333333333,13
42602,Ireland,8495.041666666666,13
43844,Ireland,13492.125,6
43919,Ireland,5196.966666666666,5
43991,Ireland,4397.433333333333,3
44025,Ireland,8495.041666666666,13
44139,Ireland,3997.6666666666665,5
44171,Ireland,7995.333333333333,4
44545,Ireland,5996.5,10
44598,Ireland,11993.0,23
44611,Ireland,4997.083333333333,10
44627,Ireland,199.88333333333333,5
44667,Ireland,10493.875,20
44730,Ireland,10593.816666666666,6
44942,Ireland,3997.6666666666665,1
45266,Ireland,249.85416666666666,5
45533,Ireland,11993.0,17
45550,Ireland,5196.966666666666,6
45642,Ireland,3997.6666666666665,8
46151,Ireland,11993.0,10
46440,Ireland,5996.5,11
46535,Ireland,3398.016666666667,1
46598,Ireland,6586.155833333332,7
48023,Ireland,3198.133333333333,1
48478,Ireland,3497.958333333333,1
50435,Ireland,7795.450000000001,8
50519,Ireland,4997.083333333333,6
50621,Ireland,3797.7833333333333,18
50649,Ireland,9994.166666666666,10
50671,Ireland,10493.875,12
50758,Ireland,17989.5,30
51793,Ireland,7995.333333333333,7
51864,Ireland,7495.625,12
51951,Ireland,4512.36625,4
51968,Ireland,7245.770833333333,10
51974,Ireland,3398.016666666667,2
53349,Ireland,299.825,10
54895,Ireland,5097.025,4
55269,Ireland,6496.208333333333,7
55315,Ireland,5496.791666666666,3
55360,Ireland,5196.966666666666,9
55393,Ireland,13991.833333333332,13
55665,Ireland,8495.041666666666,38
55715,Ireland,9994.166666666666,18
55853,Ireland,6496.208333333333,15
55984,Ireland,4197.549999999999,3
56441,Ireland,14991.25,5
56579,Ireland,3797.7833333333333,1
56685,Ireland,4897.141666666666,2
57124,Ireland,5996.5,5
57561,Ireland,11993.0,20
57751,Ireland,4497.375,2
58437,Ireland,2998.25,1
58740,Ireland,6096.441666666667,10
59111,Ireland,6596.15,4
59117,Ireland,1212.3923583333333,5
59189,Ireland,2998.25,1
59913,Ireland,769.5508333333333,6
60010,Ireland,7995.333333333333,2
61060,Ireland,8994.75,9
61193,Ireland,2998.25,2
61489,Ireland,8495.041666666666,31
61507,Ireland,5246.9375,5
61726,Ireland,6796.033333333334,17
