,Country,Monthly_Sal_EUR,EdLevel
22,Israel,10070.5221,Bachelor's degree
162,Israel,2498.5416666666665,college/university without bachelor's degree
282,Israel,7840.623633333334,No formal education
308,Israel,5326.890833333333,college/university without bachelor's degree
1228,Israel,6496.208333333333,Bachelor's degree
1276,Israel,4797.2,Bachelor's degree
1594,Israel,7168.458781362007,Bachelor's degree
1807,Israel,8195.216666666667,Master's degree
2127,Israel,996.7228212039536,Bachelor's degree
3570,Israel,7995.333333333333,college/university without bachelor's degree
3592,Israel,8081.5363881401645,college/university without bachelor's degree
4173,Israel,8095.275,Bachelor's degree
4709,Israel,4579.745112595896,college/university without bachelor's degree
5018,Israel,10993.583333333332,Master's degree
6245,Israel,6995.916666666666,Secondary school
6658,Israel,13492.125,Primary/elementary school
6789,Israel,10204.044166666667,Bachelor's degree
7266,Israel,5996.5,Bachelor's degree
7312,Israel,3942.6523297490994,Bachelor's degree
7404,Israel,8195.216666666667,Bachelor's degree
7589,Israel,7765.4675,college/university without bachelor's degree
8018,Israel,1763.2524707996417,Bachelor's degree
9128,Israel,13192.3,Master's degree
9810,Israel,7495.625,college/university without bachelor's degree
9875,Israel,8694.925,Bachelor's degree
13400,Israel,3997.6666666666665,Secondary school
14146,Israel,7495.625,Bachelor's degree
17556,Israel,7574.7788,Bachelor's degree
26838,Israel,16490.375,Master's degree
32422,Israel,6336.301666666666,Bachelor's degree
38042,Israel,5496.791666666666,Bachelor's degree
38328,Israel,6995.916666666666,Master's degree
38723,Israel,5996.5,Bachelor's degree
40392,Israel,9751.708183333332,Secondary school
41179,Israel,5.696675,college/university without bachelor's degree
43238,Israel,1131.4150943396194,Secondary school
43928,Israel,0.19376262626262689,No formal education
45715,Israel,219.87166666666667,Bachelor's degree
47579,Israel,7644.3382,college/university without bachelor's degree
48233,Israel,2398.6,college/university without bachelor's degree
48962,Israel,749.5625,Bachelor's degree
49086,Israel,2693.8454627133847,Master's degree
49325,Israel,2397.5224618149177,Bachelor's degree
49522,Israel,8544.886363636366,Bachelor's degree
