,Country,Monthly_Sal_EUR,YearsCodePro
282,Israel,5613.9232999999995,3
377,Israel,8771.680199999999,3
747,Israel,9298.1729,9
1093,Israel,5996.5,3
1199,Israel,5964.918433333333,3
1245,Israel,6315.513800000001,3
1403,Israel,6666.9087,0
1475,Israel,2456.1664,3
2247,Israel,14385.6035,9
2630,Israel,9473.2707,3
3263,Israel,10877.651,6
3637,Israel,12280.831999999999,9
3719,Israel,17543.360399999998,21
3788,Israel,11227.846599999999,6
4141,Israel,8421.4846,9
4507,Israel,18246.1502,12
4694,Israel,11227.846599999999,9
4869,Israel,12280.831999999999,6
5194,Israel,13333.8174,15
5367,Israel,10526.256099999999,9
5398,Israel,9473.2707,3
5713,Israel,4385.840099999999,3
5933,Israel,9473.2707,6
6192,Israel,8771.680199999999,3
6331,Israel,9123.0751,9
6571,Israel,9123.0751,15
6724,Israel,8421.4846,3
7111,Israel,10174.8612,6
7255,Israel,10701.3539,9
7292,Israel,8421.4846,27
7304,Israel,8421.4846,3
7542,Israel,12280.831999999999,3
7617,Israel,7718.694799999999,9
7706,Israel,9473.2707,6
8249,Israel,7485.331008333333,3
8294,Israel,11929.4371,12
8311,Israel,8421.4846,6
8388,Israel,1964.4533999999999,0
8570,Israel,17989.5,18
8702,Israel,2736.8026,0
8799,Israel,10526.256099999999,6
8938,Israel,10877.651,12
9140,Israel,11227.846599999999,9
9239,Israel,13991.833333333332,9
9651,Israel,9474.47,3
9730,Israel,9123.0751,9
9737,Israel,5396.85,0
10041,Israel,9123.0751,18
10228,Israel,7895.391666666666,6
10231,Israel,10877.651,9
10348,Israel,9123.0751,12
10352,Israel,2456.1664,6
10379,Israel,4912.3328,6
10644,Israel,10526.256099999999,6
10662,Israel,5613.9232999999995,15
10665,Israel,9228.6135,12
10739,Israel,8395.099999999999,3
10803,Israel,8421.4846,0
11312,Israel,11227.846599999999,12
11370,Israel,8070.0897,3
11371,Israel,9473.2707,3
11375,Israel,9649.5678,6
11609,Israel,8421.4846,0
11785,Israel,10877.651,12
12029,Israel,7718.694799999999,3
12082,Israel,6666.9087,12
12162,Israel,16374.242783333335,12
12164,Israel,10526.256099999999,9
12310,Israel,10526.256099999999,15
12428,Israel,8421.4846,6
12951,Israel,9649.5678,3
12977,Israel,12982.4225,15
13152,Israel,10701.3539,12
13188,Israel,8421.4846,18
13234,Israel,10526.256099999999,6
13969,Israel,10737.3329,3
14134,Israel,10041.7389,6
14266,Israel,10274.4031,6
14334,Israel,9473.2707,12
14416,Israel,8421.4846,6
14494,Israel,12455.9298,6
14680,Israel,11929.4371,6
14703,Israel,15789.38415,12
14798,Israel,2456.1664,3
14952,Israel,9824.6656,3
15211,Israel,4210.7423,12
15249,Israel,6140.415999999999,0
15362,Israel,7017.1043,18
15374,Israel,5613.9232999999995,3
15499,Israel,16140.1794,30
15686,Israel,5613.9232999999995,3
16163,Israel,10877.651,18
16424,Israel,4210.7423,18
16426,Israel,12014.587399999999,3
16441,Israel,9123.0751,15
16448,Israel,2281.0686,3
16781,Israel,2456.1664,3
17070,Israel,8421.4846,3
17094,Israel,420.9543,6
17293,Israel,15438.588899999999,18
17342,Israel,7017.1043,0
17512,Israel,5965.3182,0
17618,Israel,5965.3182,0
17903,Israel,3684.2496,0
18138,Israel,4210.7423,6
18340,Israel,9649.5678,6
18618,Israel,4210.7423,6
18803,Israel,10174.8612,3
18904,Israel,12280.831999999999,9
19266,Israel,10568.2316,3
19421,Israel,7017.1043,6
19439,Israel,7718.694799999999,9
19652,Israel,5965.3182,3
19934,Israel,9824.6656,6
20189,Israel,13157.820125,9
20353,Israel,11993.0,18
20877,Israel,9999.7634,9
21002,Israel,6315.513800000001,0
21008,Israel,10526.256099999999,12
