,Country,Monthly_Sal_EUR,EdLevel
126,Italy,3057.915175,Bachelor's degree
219,Italy,4281.101233333333,Secondary school
271,Italy,4403.429833333334,Master's degree
419,Italy,8562.102524999998,Master's degree
534,Italy,10396.931583333333,Bachelor's degree
635,Italy,2538.5183333333334,Secondary school
746,Italy,4892.6442916666665,Doctoral degree
785,Italy,4281.101233333333,Bachelor's degree
886,Italy,5198.4657916666665,Master's degree
1233,Italy,2201.9148,Master's degree
1405,Italy,2935.586575,Master's degree
1576,Italy,2054.4008999999996,college/university without bachelor's degree
1968,Italy,4892.6442916666665,Bachelor's degree
2568,Italy,4770.315691666667,Bachelor's degree
2758,Italy,4770.315691666667,Master's degree
2797,Italy,2935.8864,Master's degree
2855,Italy,3669.4582333333333,Secondary school
2880,Italy,4008.0606,Bachelor's degree
3119,Italy,2935.8864,college/university without bachelor's degree
3156,Italy,3424.9009749999996,Secondary school
3202,Italy,5381.958691666667,Master's degree
3234,Italy,2788.3725,Master's degree
3379,Italy,3057.915175,Bachelor's degree
3453,Italy,3669.4582333333333,Master's degree
3485,Italy,6727.373408333333,Bachelor's degree
3527,Italy,2040.0093,Secondary school
3566,Italy,4281.101233333333,Master's degree
3582,Italy,1908.0863,Master's degree
3589,Italy,3057.915175,Master's degree
3872,Italy,6458.2305,Doctoral degree
3978,Italy,2642.0579,college/university without bachelor's degree
4501,Italy,2996.750875,college/university without bachelor's degree
4634,Italy,2813.2579749999995,Secondary school
4644,Italy,4892.6442916666665,Doctoral degree
4653,Italy,3057.915175,college/university without bachelor's degree
4872,Italy,3914.1154333333334,Master's degree
4958,Italy,2054.4008999999996,Bachelor's degree
4963,Italy,6116.43,Primary/elementary school
5041,Italy,4281.101233333333,Bachelor's degree
5136,Italy,1981.2436,Secondary school
5172,Italy,2054.4008999999996,Bachelor's degree
5228,Italy,2348.2294,Bachelor's degree
5560,Italy,3791.7868333333336,Bachelor's degree
5639,Italy,16146.175899999998,Secondary school
5822,Italy,4281.101233333333,Bachelor's degree
6108,Italy,4281.101233333333,college/university without bachelor's degree
6191,Italy,3669.4582333333333,Master's degree
6463,Italy,3914.1154333333334,Master's degree
6685,Italy,4256.3157,college/university without bachelor's degree
6921,Italy,5504.787,Bachelor's degree
6947,Italy,2690.9293749999997,Secondary school
7009,Italy,8562.102524999998,Bachelor's degree
7090,Italy,2690.9293749999997,college/university without bachelor's degree
7421,Italy,4281.101233333333,Master's degree
7426,Italy,2935.586575,Bachelor's degree
7499,Italy,2201.9148,Secondary school
7949,Italy,1467.9432,Secondary school
8046,Italy,4403.429833333334,Bachelor's degree
8267,Italy,5871.17315,Master's degree
8398,Italy,3669.4582333333333,Master's degree
8406,Italy,2568.600775,Bachelor's degree
8530,Italy,6360.48755,Bachelor's degree
8531,Italy,1908.0863,Secondary school
8562,Italy,3302.572375,Bachelor's degree
8681,Italy,4036.444033333333,Bachelor's degree
8767,Italy,2348.2294,Secondary school
9113,Italy,3057.915175,Bachelor's degree
9251,Italy,4892.6442916666665,Bachelor's degree
9276,Italy,12231.6607,Doctoral degree
9558,Italy,4158.772633333333,college/university without bachelor's degree
9635,Italy,3302.572375,Bachelor's degree
