,Country,Monthly_Sal_EUR,YearsCodePro
126,Italy,3057.915175,9
219,Italy,4281.101233333333,21
271,Italy,4403.429833333334,9
419,Italy,8562.102524999998,24
534,Italy,10396.931583333333,24
635,Italy,2538.5183333333334,3
746,Italy,4892.6442916666665,9
785,Italy,4281.101233333333,3
886,Italy,5198.4657916666665,12
1233,Italy,2201.9148,3
1405,Italy,2935.586575,0
1576,Italy,2054.4008999999996,3
1968,Italy,4892.6442916666665,24
2568,Italy,4770.315691666667,9
2758,Italy,4770.315691666667,6
2797,Italy,2935.8864,0
2855,Italy,3669.4582333333333,15
2880,Italy,4008.0606,12
3119,Italy,2935.8864,6
3156,Italy,3424.9009749999996,3
3202,Italy,5381.958691666667,12
3234,Italy,2788.3725,9
3379,Italy,3057.915175,3
3453,Italy,3669.4582333333333,6
3485,Italy,6727.373408333333,9
3527,Italy,2040.0093,0
3566,Italy,4281.101233333333,6
3582,Italy,1908.0863,0
3589,Italy,3057.915175,6
3872,Italy,6458.2305,12
3978,Italy,2642.0579,18
4501,Italy,2996.750875,0
4634,Italy,2813.2579749999995,0
4644,Italy,4892.6442916666665,9
4653,Italy,3057.915175,3
4872,Italy,3914.1154333333334,18
4958,Italy,2054.4008999999996,0
4963,Italy,6116.43,0
5041,Italy,4281.101233333333,9
5136,Italy,1981.2436,3
5172,Italy,2054.4008999999996,6
5228,Italy,2348.2294,3
5560,Italy,3791.7868333333336,9
5639,Italy,16146.175899999998,0
5822,Italy,4281.101233333333,9
6108,Italy,4281.101233333333,6
6191,Italy,3669.4582333333333,3
6463,Italy,3914.1154333333334,3
6685,Italy,4256.3157,6
6921,Italy,5504.787,6
6947,Italy,2690.9293749999997,6
7009,Italy,8562.102524999998,9
7090,Italy,2690.9293749999997,3
7421,Italy,4281.101233333333,6
7426,Italy,2935.586575,0
7499,Italy,2201.9148,9
7949,Italy,1467.9432,0
8046,Italy,4403.429833333334,9
8267,Italy,5871.17315,9
8398,Italy,3669.4582333333333,0
8406,Italy,2568.600775,0
8530,Italy,6360.48755,6
8531,Italy,1908.0863,6
8562,Italy,3302.572375,0
8681,Italy,4036.444033333333,6
8767,Italy,2348.2294,6
9113,Italy,3057.915175,3
9251,Italy,4892.6442916666665,12
9276,Italy,12231.6607,9
9558,Italy,4158.772633333333,6
9635,Italy,3302.572375,9
9818,Italy,2446.3721166666664,0
9867,Italy,3914.1154333333334,3
9985,Italy,1908.0863,6
10150,Italy,4892.6442916666665,9
10245,Italy,3057.915175,3
10337,Italy,2348.2294,0
10369,Italy,2568.600775,3
10513,Italy,5871.17315,15
10811,Italy,4286.298199999999,6
10978,Italy,3180.243775,6
11056,Italy,2642.0579,12
11392,Italy,3547.129633333333,3
11482,Italy,4403.8296,6
11933,Italy,3229.7149,9
12178,Italy,3791.7868333333336,9
12272,Italy,4281.101233333333,9
12446,Italy,6115.83035,9
12799,Italy,2201.9148,6
12930,Italy,2140.5506166666664,3
13209,Italy,3547.129633333333,6
13312,Italy,3057.915175,3
13502,Italy,2054.4008999999996,0
13774,Italy,6482.81615,30
13846,Italy,6115.83035,15
14454,Italy,3229.7149,3
14499,Italy,1614.2577999999999,3
14554,Italy,3180.243775,0
14852,Italy,5137.301491666667,12
14933,Italy,2348.2294,0
14944,Italy,2201.714916666667,0
14957,Italy,7339.016408333333,3
15134,Italy,3424.9009749999996,3
15327,Italy,2201.9148,3
15511,Italy,4270.7073,6
15576,Italy,2935.586575,3
15852,Italy,2935.8864,12
16162,Italy,2495.7433,0
16407,Italy,3363.736675,6
16537,Italy,2054.4008999999996,3
16686,Italy,2935.586575,0
16753,Italy,2480.1524,6
16780,Italy,997.8176,0
17530,Italy,4403.8296,6
17789,Italy,5137.8012,12
17929,Italy,2715.2151999999996,18
18072,Italy,2433.3797,0
18107,Italy,2788.3725,15
18114,Italy,2054.4008999999996,3
18146,Italy,2690.9293749999997,0
18451,Italy,3547.129633333333,3
18693,Italy,2660.347225,3
18938,Italy,2201.9148,9
19007,Italy,3424.9009749999996,9
19041,Italy,2788.3725,0
19656,Italy,2935.8864,3
19895,Italy,4036.444033333333,0
19898,Italy,3057.915175,3
20099,Italy,2935.8864,3
20277,Italy,8220.002199999999,9
20554,Italy,2348.2294,12
20590,Italy,2568.600775,3
20658,Italy,1761.3719333333333,30
20731,Italy,2598.8831,0
20767,Italy,2495.7433,3
21014,Italy,7830.429583333333,3
21117,Italy,1467.9432,0
21230,Italy,3057.915175,0
21304,Italy,2935.8864,12
21500,Italy,4647.987091666666,15
21519,Italy,3424.9009749999996,3
21911,Italy,2752.093675,9
21915,Italy,2567.7012999999997,3
21985,Italy,3229.7149,6
22295,Italy,3057.915175,3
22609,Italy,3914.1154333333334,3
22786,Italy,3302.572375,0
23138,Italy,3669.858,21
23334,Italy,4892.6442916666665,6
23363,Italy,1467.9432,3
23799,Italy,3180.243775,0
23969,Italy,1908.0863,0
24014,Italy,3057.915175,0
24045,Italy,1908.0863,3
24090,Italy,4770.315691666667,3
24095,Italy,2289.4637,3
24138,Italy,2935.586575,0
24193,Italy,5259.630091666666,6
24342,Italy,4892.6442916666665,3
24383,Italy,489.71416666666664,0
24430,Italy,5871.7728,18
24610,Italy,2935.586575,9
24885,Italy,3180.243775,0
25002,Italy,3669.4582333333333,3
25011,Italy,2495.7433,3
25202,Italy,5871.17315,12
25290,Italy,4403.8296,9
25311,Italy,4036.444033333333,24
25323,Italy,6115.83035,3
25594,Italy,3669.4582333333333,6
25678,Italy,4892.6442916666665,12
26024,Italy,2935.8864,3
26132,Italy,8562.102524999998,18
26638,Italy,2935.586575,3
26642,Italy,3669.4582333333333,12
26996,Italy,5871.17315,12
27006,Italy,3424.9009749999996,3
27118,Italy,3522.3441000000003,3
27190,Italy,3057.915175,3
27192,Italy,4892.6442916666665,9
27284,Italy,1174.1147,9
27558,Italy,3057.915175,3
27681,Italy,3424.9009749999996,9
27897,Italy,3119.0794749999995,9
28053,Italy,2739.900791666667,3
28085,Italy,2201.9148,0
28163,Italy,3547.129633333333,6
28250,Italy,2935.8864,3
28433,Italy,7339.016408333333,15
28547,Italy,3669.4582333333333,18
28674,Italy,9785.288583333333,9
28706,Italy,6115.83035,0
28778,Italy,2835.2451416666668,0
28866,Italy,3669.4582333333333,3
28907,Italy,2436.9776,3
29072,Italy,2642.0579,3
29081,Italy,3180.243775,6
29264,Italy,3669.4582333333333,12
30090,Italy,6115.83035,12
30286,Italy,4281.101233333333,24
30355,Italy,2935.8864,6
30458,Italy,5137.8012,30
30524,Italy,4281.101233333333,3
30641,Italy,5562.053575,9
30947,Italy,9785.288583333333,12
31064,Italy,2935.8864,15
31419,Italy,4281.101233333333,6
31421,Italy,7192.2020999999995,30
31448,Italy,3180.243775,0
31511,Italy,2935.586575,3
31518,Italy,3669.4582333333333,3
31684,Italy,6115.83035,12
31714,Italy,2446.3721166666664,3
31824,Italy,4281.101233333333,3
31920,Italy,3424.9009749999996,3
31986,Italy,10274.602983333334,9
32065,Italy,6115.83035,9
32181,Italy,6115.83035,15
32188,Italy,3057.915175,3
32302,Italy,2788.3725,15
32337,Italy,733.9716,0
32516,Italy,4892.6442916666665,3
32569,Italy,3305.2708000000002,18
32625,Italy,3669.4582333333333,9
32794,Italy,2522.1279,3
32879,Italy,2446.3721166666664,3
32895,Italy,4403.8296,18
33225,Italy,4550.1442,12
33237,Italy,3669.4582333333333,9
33251,Italy,2054.4008999999996,6
33369,Italy,6115.83035,6
33428,Italy,4403.429833333334,12
33553,Italy,4403.8296,6
33586,Italy,7339.016408333333,30
33868,Italy,2996.750875,9
33898,Italy,2054.4008999999996,12
33910,Italy,3914.1154333333334,3
33983,Italy,3057.915175,0
34155,Italy,3057.915175,3
34545,Italy,10888.644583333333,3
34579,Italy,4403.429833333334,0
34867,Italy,3791.7868333333336,3
34873,Italy,2642.0579,6
35001,Italy,6115.83035,3
35071,Italy,9785.288583333333,18
35161,Italy,4403.8296,21
35323,Italy,2935.8864,3
35560,Italy,4892.6442916666665,9
35616,Italy,11742.3463,6
35899,Italy,3547.129633333333,6
36180,Italy,3302.572375,3
36356,Italy,4843.9727,12
36675,Italy,3229.7149,6
36779,Italy,6849.702008333334,12
36970,Italy,4403.8296,6
37178,Italy,2495.7433,3
37316,Italy,8562.102524999998,15
37586,Italy,4892.6442916666665,9
37611,Italy,3791.7868333333336,3
37674,Italy,2935.586575,9
37723,Italy,2807.5613,0
37979,Italy,2690.9293749999997,3
38023,Italy,1761.7716999999998,0
38199,Italy,3272.8897,6
38358,Italy,2348.2294,0
38405,Italy,733.9716,0
38492,Italy,5014.972891666666,15
38591,Italy,2935.8864,3
38677,Italy,2568.600775,6
38949,Italy,3363.736675,3
39362,Italy,9173.745524999998,18
39408,Italy,3669.4582333333333,3
39413,Italy,4281.101233333333,3
39634,Italy,4403.8296,15
39887,Italy,3424.9009749999996,6
40079,Italy,7339.016408333333,12
40282,Italy,3669.4582333333333,6
40430,Italy,4647.987091666666,12
40883,Italy,3669.4582333333333,9
41341,Italy,6972.030608333333,24
41353,Italy,6727.373408333333,9
