,Country,Monthly_Sal_EUR,YearsCodePro
1123,Jordan,199.88333333333333,13
2757,Jordan,149.9125,4
3784,Jordan,4797.2,10
5952,Jordan,149.9125,7
6663,Jordan,249.85416666666666,12
12560,Jordan,149.9125,3
14647,Jordan,29.9825,1
16606,Jordan,99.94166666666666,5
19709,Jordan,289.8308333333333,5
20439,Jordan,99.94166666666666,2
20562,Jordan,184.89208333333332,8
23089,Jordan,2998.25,6
29361,Jordan,1299.2416666666666,3
29748,Jordan,55.967333333333336,10
35741,Jordan,399.76666666666665,3
37243,Jordan,269.8425,11
39653,Jordan,179.895,12
40347,Jordan,74.95625,5
45581,Jordan,549.6791666666667,9
48095,Jordan,2218.705,5
52447,Jordan,374.78125,15
53752,Jordan,279.83666666666664,10
61570,Jordan,2998.25,12
63122,Jordan,2198.7166666666667,5
67566,Jordan,44.97375,2
72072,Jordan,279.83666666666664,11
72998,Jordan,2398.6,7
75916,Jordan,2168.7341666666666,5
76801,Jordan,14.091775,1
83044,Jordan,199.88333333333333,7
