,Country,Monthly_Sal_EUR,EdLevel
1384,Kenya,4997.083333333333,Bachelor's degree
1561,Kenya,5596.733333333334,Bachelor's degree
2616,Kenya,2998.25,Bachelor's degree
4377,Kenya,4497.375,Bachelor's degree
5285,Kenya,5996.5,college/university without bachelor's degree
7836,Kenya,6995.916666666666,Bachelor's degree
8515,Kenya,14991.25,Bachelor's degree
9131,Kenya,1199.3,Bachelor's degree
10503,Kenya,1499.125,Bachelor's degree
11266,Kenya,19988.333333333332,Bachelor's degree
12216,Kenya,10993.583333333332,Bachelor's degree
17149,Kenya,9994.166666666666,Associate degree
17511,Kenya,11793.116666666665,Bachelor's degree
17649,Kenya,49.97083333333333,Bachelor's degree
17748,Kenya,2998.25,Bachelor's degree
17899,Kenya,11993.0,Bachelor's degree
18594,Kenya,1539.1016666666667,Bachelor's degree
19811,Kenya,6995.916666666666,Bachelor's degree
21569,Kenya,14991.25,Bachelor's degree
21709,Kenya,8295.158333333333,college/university without bachelor's degree
22930,Kenya,16990.083333333332,Bachelor's degree
23358,Kenya,14991.25,Bachelor's degree
25348,Kenya,9994.166666666666,college/university without bachelor's degree
25783,Kenya,19988.333333333332,Bachelor's degree
25970,Kenya,5496.791666666666,college/university without bachelor's degree
27748,Kenya,19988.333333333332,Bachelor's degree
29374,Kenya,3997.6666666666665,Bachelor's degree
30705,Kenya,18489.208333333332,Bachelor's degree
31776,Kenya,3997.6666666666665,Bachelor's degree
33179,Kenya,9994.166666666666,Bachelor's degree
35336,Kenya,17225.945666666667,college/university without bachelor's degree
35901,Kenya,9994.166666666666,Bachelor's degree
36903,Kenya,9994.166666666666,college/university without bachelor's degree
37334,Kenya,14991.25,Bachelor's degree
40232,Kenya,7995.333333333333,Bachelor's degree
40473,Kenya,999.4166666666666,No formal education
42712,Kenya,8395.099999999999,Bachelor's degree
45814,Kenya,5496.791666666666,Bachelor's degree
46297,Kenya,399.76666666666665,Bachelor's degree
46430,Kenya,179.895,college/university without bachelor's degree
49401,Kenya,12992.416666666666,Bachelor's degree
50677,Kenya,9494.458333333332,Bachelor's degree
51502,Kenya,8195.216666666667,college/university without bachelor's degree
52039,Kenya,10993.583333333332,Bachelor's degree
52960,Kenya,1998.8333333333333,college/university without bachelor's degree
53213,Kenya,4997.083333333333,Bachelor's degree
56171,Kenya,8295.158333333333,Bachelor's degree
56639,Kenya,4997.083333333333,college/university without bachelor's degree
56813,Kenya,3997.6666666666665,Bachelor's degree
57659,Kenya,8252.883008333334,college/university without bachelor's degree
58280,Kenya,5996.5,Bachelor's degree
60962,Kenya,3997.6666666666665,Bachelor's degree
62646,Kenya,15990.666666666666,Master's degree
62745,Kenya,4497.375,Bachelor's degree
63551,Kenya,15990.666666666666,Master's degree
65458,Kenya,5996.5,Bachelor's degree
68090,Kenya,9994.166666666666,Bachelor's degree
68206,Kenya,10993.583333333332,Bachelor's degree
68552,Kenya,9994.166666666666,Bachelor's degree
68762,Kenya,39.97666666666667,Bachelor's degree
68873,Kenya,69.95916666666666,Bachelor's degree
68986,Kenya,14991.25,Bachelor's degree
70567,Kenya,12492.708333333332,college/university without bachelor's degree
70711,Kenya,1.9988333333333332,Secondary school
70919,Kenya,6296.325000000001,Master's degree
72252,Kenya,8395.099999999999,college/university without bachelor's degree
73094,Kenya,399.76666666666665,Bachelor's degree
74262,Kenya,5996.5,Bachelor's degree
75044,Kenya,5696.675,Bachelor's degree
76169,Kenya,14991.25,Bachelor's degree
76420,Kenya,5496.791666666666,Bachelor's degree
77983,Kenya,19988.333333333332,Bachelor's degree
80293,Kenya,1998.8333333333333,Bachelor's degree
81895,Kenya,9994.166666666666,Bachelor's degree
82079,Kenya,1998.8333333333333,college/university without bachelor's degree
82976,Kenya,19988.333333333332,Bachelor's degree
83839,Kenya,7995.333333333333,Bachelor's degree
84855,Kenya,10693.758333333333,Secondary school
85151,Kenya,4997.083333333333,Bachelor's degree
85696,Kenya,5996.5,Bachelor's degree
86249,Kenya,3997.6666666666665,college/university without bachelor's degree
