,Country,Monthly_Sal_EUR,YearsCodePro
782,Kenya,2998.25,1
915,Kenya,14991.25,5
1518,Kenya,5496.791666666666,7
5053,Kenya,2998.25,1
5990,Kenya,3997.6666666666665,6
7042,Kenya,7995.333333333333,1
7303,Kenya,14591.483333333334,6
8089,Kenya,99.94166666666666,2
8759,Kenya,149.9125,4
10812,Kenya,499.7083333333333,1
13537,Kenya,2998.25,3
14145,Kenya,249.85416666666666,5
16263,Kenya,19.988333333333333,3
17215,Kenya,12492.708333333332,5
18099,Kenya,15990.666666666666,4
19019,Kenya,499.7083333333333,31
19639,Kenya,5996.5,5
19826,Kenya,3997.6666666666665,3
20698,Kenya,9994.166666666666,3
22778,Kenya,8495.041666666666,3
25248,Kenya,2498.5416666666665,1
25715,Kenya,4313.482333333333,5
25878,Kenya,2748.395833333333,2
26550,Kenya,7995.333333333333,4
27815,Kenya,8994.75,3
28311,Kenya,9994.166666666666,5
29471,Kenya,59.965,9
31358,Kenya,14991.25,7
31563,Kenya,11993.0,4
31707,Kenya,10993.583333333332,2
31722,Kenya,5996.5,1
32668,Kenya,9994.166666666666,3
32844,Kenya,2498.5416666666665,1
33504,Kenya,8.99475,2
33657,Kenya,499.7083333333333,4
36939,Kenya,3997.6666666666665,3
36945,Kenya,3997.6666666666665,5
37166,Kenya,3997.6666666666665,2
37373,Kenya,1249.2708333333333,1
37433,Kenya,39.97666666666667,4
38359,Kenya,4.997083333333333,5
39644,Kenya,329.8075,4
40279,Kenya,4997.083333333333,1
40323,Kenya,3997.6666666666665,1
40478,Kenya,4997.083333333333,3
40658,Kenya,19988.333333333332,4
40893,Kenya,4997.083333333333,2
42092,Kenya,5996.5,2
43665,Kenya,5596.733333333334,6
45060,Kenya,5496.791666666666,5
46366,Kenya,9994.166666666666,2
47348,Kenya,11493.291666666666,3
48525,Kenya,4997.083333333333,3
48651,Kenya,5996.5,3
48754,Kenya,6995.916666666666,3
48875,Kenya,6995.916666666666,4
49290,Kenya,6496.208333333333,7
50101,Kenya,2998.25,4
51519,Kenya,9994.166666666666,4
52606,Kenya,7995.333333333333,2
54219,Kenya,1998.8333333333333,1
54332,Kenya,4997.083333333333,2
54513,Kenya,4997.083333333333,3
56051,Kenya,9194.633333333333,4
57785,Kenya,14071.786666666667,2
58362,Kenya,5996.5,5
58868,Kenya,9194.633333333333,6
62480,Kenya,7995.333333333333,4
62564,Kenya,29.9825,4
62575,Kenya,399.76666666666665,5
63477,Kenya,19988.333333333332,6
64617,Kenya,18988.916666666664,3
65840,Kenya,7495.625,6
67560,Kenya,5996.5,2
68356,Kenya,11002.478141666666,2
69006,Kenya,14991.25,4
69809,Kenya,1998.8333333333333,2
70725,Kenya,4997.083333333333,2
70858,Kenya,6496.208333333333,2
72735,Kenya,49.97083333333333,20
73295,Kenya,7995.333333333333,3
75618,Kenya,5996.5,3
75896,Kenya,9994.166666666666,1
76098,Kenya,6496.208333333333,4
76397,Kenya,4997.083333333333,3
77452,Kenya,19248.765,2
77990,Kenya,9094.691666666666,2
79677,Kenya,10993.583333333332,3
80188,Kenya,349.79583333333335,6
80977,Kenya,2998.25,2
81209,Kenya,8994.75,3
81279,Kenya,9994.166666666666,1
81522,Kenya,4997.083333333333,10
82263,Kenya,13226.779875,3
82575,Kenya,9994.166666666666,3
82812,Kenya,2998.25,1
82962,Kenya,4997.083333333333,3
