,Country,Monthly_Sal_EUR,YearsCodePro
4773,Kosovo,23.985999999999997,4
15792,Kosovo,4997.083333333333,10
20524,Kosovo,7795.450000000001,9
23925,Kosovo,186.49115,3
29033,Kosovo,148.91308333333333,3
35505,Kosovo,199.88333333333333,20
42163,Kosovo,99.94166666666666,2
42905,Kosovo,105.93816666666666,2
47657,Kosovo,59.965,1
50747,Kosovo,129.92416666666668,6
52661,Kosovo,99.94166666666666,3
56004,Kosovo,5996.5,6
56012,Kosovo,149.9125,5
62123,Kosovo,59.965,4
63371,Kosovo,349.79583333333335,5
69283,Kosovo,399.76666666666665,6
69800,Kosovo,119.93,1
75749,Kosovo,1798.95,1
76238,Kosovo,55.767450000000004,1
83063,Kosovo,99.94166666666666,2
