,Country,Monthly_Sal_EUR,EdLevel
5649,Kyrgyzstan,10463.8925,Master's degree
8476,Kyrgyzstan,349.79583333333335,Bachelor's degree
15773,Kyrgyzstan,5396.85,Bachelor's degree
19334,Kyrgyzstan,2398.6,Bachelor's degree
27410,Kyrgyzstan,8295.158333333333,Master's degree
43209,Kyrgyzstan,14.99125,college/university without bachelor's degree
50349,Kyrgyzstan,99.94166666666666,Bachelor's degree
52354,Kyrgyzstan,1998.8333333333333,Secondary school
63768,Kyrgyzstan,10343.9625,Master's degree
77961,Kyrgyzstan,10343.9625,Master's degree
86366,Kyrgyzstan,6995.916666666666,Bachelor's degree
