,Country,Monthly_Sal_EUR,EdLevel
395,Latvia,3164.5529333333334,college/university without bachelor's degree
1487,Latvia,3596.1010499999998,Bachelor's degree
2068,Latvia,880.2862,college/university without bachelor's degree
3235,Latvia,3229.7149,Secondary school
3880,Latvia,2201.9148,Associate degree
4643,Latvia,4110.0010999999995,Bachelor's degree
6310,Latvia,2495.7433,Bachelor's degree
8094,Latvia,1174.1147,Bachelor's degree
8364,Latvia,2642.0579,Bachelor's degree
10061,Latvia,2201.9148,Master's degree
10091,Latvia,8806.4599,Professional degree
10621,Latvia,3914.1154333333334,Master's degree
11957,Latvia,2303.8553,college/university without bachelor's degree
12109,Latvia,7338.5167,Master's degree
13205,Latvia,2201.9148,Master's degree
13458,Latvia,4110.0010999999995,Master's degree
14131,Latvia,3016.2395,Bachelor's degree
14314,Latvia,1687.4151000000002,Bachelor's degree
15951,Latvia,4403.8296,Master's degree
16202,Latvia,3376.0294999999996,Bachelor's degree
16779,Latvia,5137.8012,Master's degree
16905,Latvia,1027.8001,Bachelor's degree
18309,Latvia,4256.3157,Bachelor's degree
19794,Latvia,5137.301491666667,Professional degree
20208,Latvia,5284.1158,Bachelor's degree
20876,Latvia,733.9716,Secondary school
22558,Latvia,2627.6663,college/university without bachelor's degree
23221,Latvia,3816.1726,Bachelor's degree
24135,Latvia,5871.7728,Doctoral degree
26066,Latvia,4990.2873,Master's degree
26393,Latvia,3816.1726,Bachelor's degree
28959,Latvia,2201.9148,college/university without bachelor's degree
29312,Latvia,1174.1147,college/university without bachelor's degree
29785,Latvia,2054.4008999999996,Secondary school
30735,Latvia,2935.8864,college/university without bachelor's degree
32137,Latvia,5284.1158,Master's degree
32376,Latvia,4036.8437999999996,Master's degree
32754,Latvia,2495.7433,Secondary school
33162,Latvia,2201.9148,Master's degree
35096,Latvia,1886.4989,Bachelor's degree
35935,Latvia,2201.9148,Bachelor's degree
36949,Latvia,4403.8296,Master's degree
38343,Latvia,3743.0153,Master's degree
39142,Latvia,3082.201,college/university without bachelor's degree
40165,Latvia,8220.002199999999,Master's degree
41386,Latvia,5137.8012,Bachelor's degree
41527,Latvia,1174.1147,college/university without bachelor's degree
42105,Latvia,5871.7728,college/university without bachelor's degree
42939,Latvia,4696.4588,college/university without bachelor's degree
43090,Latvia,2054.4008999999996,Bachelor's degree
43164,Latvia,1571.0829999999999,Secondary school
44117,Latvia,2642.0579,Master's degree
44541,Latvia,3962.4872,Doctoral degree
47526,Latvia,2495.7433,Associate degree
48225,Latvia,1565.0865,Secondary school
56942,Latvia,3596.7007,Bachelor's degree
58326,Latvia,3229.7149,college/university without bachelor's degree
58955,Latvia,5871.7728,Master's degree
59740,Latvia,4990.2873,Bachelor's degree
60630,Latvia,2555.7083,college/university without bachelor's degree
60707,Latvia,1100.8574583333334,Bachelor's degree
62142,Latvia,3669.858,Secondary school
62748,Latvia,1152.5273,Associate degree
63367,Latvia,3437.1938,Associate degree
63413,Latvia,4843.9727,Bachelor's degree
66251,Latvia,5871.17315,Master's degree
66308,Latvia,11620.017699999999,college/university without bachelor's degree
66889,Latvia,2983.8584,college/university without bachelor's degree
67176,Latvia,4403.8296,Bachelor's degree
68483,Latvia,2935.8864,Bachelor's degree
68873,Latvia,2642.0579,Secondary school
69901,Latvia,3180.243775,Master's degree
70918,Latvia,3082.201,Bachelor's degree
72805,Latvia,7094.359208333333,Secondary school
77601,Latvia,2935.8864,Master's degree
