,Country,Monthly_Sal_EUR,YearsCodePro
2297,Latvia,499.7083333333333,29
2599,Latvia,199.88333333333333,2
2787,Latvia,399.76666666666665,19
12097,Latvia,349.79583333333335,7
12563,Latvia,149.9125,13
12709,Latvia,6196.383333333333,15
13202,Latvia,99.94166666666666,1
13746,Latvia,299.825,4
14458,Latvia,5996.5,15
15222,Latvia,349.79583333333335,8
15552,Latvia,199.88333333333333,9
17068,Latvia,299.825,8
19775,Latvia,199.88333333333333,5
21638,Latvia,2998.25,12
23479,Latvia,49.97083333333333,3
25111,Latvia,1942.866,4
25112,Latvia,209.8775,4
25157,Latvia,399.76666666666665,14
25593,Latvia,519.6966666666667,12
29132,Latvia,3497.958333333333,4
29857,Latvia,259.84833333333336,9
33164,Latvia,349.79583333333335,11
33788,Latvia,739.5683333333333,5
36258,Latvia,3846.1551,8
37287,Latvia,249.85416666666666,7
37328,Latvia,282.8349166666667,1
38039,Latvia,249.85416666666666,6
42286,Latvia,304.82208333333335,17
44053,Latvia,299.825,15
45684,Latvia,239.86,15
48388,Latvia,429.7491666666666,9
48498,Latvia,479.72,9
48542,Latvia,549.6791666666667,21
49166,Latvia,149.9125,10
49538,Latvia,7995.333333333333,10
49671,Latvia,3238.1099999999997,7
50366,Latvia,299.825,1
52377,Latvia,309.81916666666666,8
54607,Latvia,109.93583333333333,1
55311,Latvia,399.76666666666665,6
55771,Latvia,239.86,6
58625,Latvia,249.85416666666666,22
64491,Latvia,268.8430833333333,3
64563,Latvia,119.93,1
65032,Latvia,349.79583333333335,13
65279,Latvia,449.7375,10
65741,Latvia,449.7375,13
66143,Latvia,349.79583333333335,9
67849,Latvia,749.5625,19
68365,Latvia,109.93583333333333,5
69367,Latvia,249.85416666666666,6
72800,Latvia,329.8075,7
72898,Latvia,659.615,18
73856,Latvia,199.88333333333333,3
74857,Latvia,359.79,7
76139,Latvia,3497.958333333333,5
79240,Latvia,5996.5,7
79324,Latvia,9994.166666666666,8
81068,Latvia,799.5333333333333,28
82878,Latvia,219.4719,14
82989,Latvia,399.76666666666665,9
