,Country,Monthly_Sal_EUR,EdLevel
2819,Lebanon,319.81333333333333,Doctoral degree
3152,Lebanon,2998.25,Bachelor's degree
3243,Lebanon,189.88916666666665,Bachelor's degree
4340,Lebanon,249.85416666666666,Bachelor's degree
5156,Lebanon,14991.25,Primary/elementary school
6799,Lebanon,244.85708333333332,Master's degree
9427,Lebanon,299.825,Master's degree
15603,Lebanon,49.97083333333333,Bachelor's degree
15638,Lebanon,119.93,Bachelor's degree
16314,Lebanon,289.8308333333333,Master's degree
20810,Lebanon,399.76666666666665,Bachelor's degree
24904,Lebanon,2098.7749999999996,Bachelor's degree
24962,Lebanon,149.9125,Master's degree
25672,Lebanon,289.8308333333333,Master's degree
34765,Lebanon,249.85416666666666,Master's degree
38615,Lebanon,99.94166666666666,Bachelor's degree
42235,Lebanon,169.9008333333333,Bachelor's degree
42700,Lebanon,199.88333333333333,Bachelor's degree
43037,Lebanon,159.90666666666667,Bachelor's degree
46847,Lebanon,239.86,Bachelor's degree
46927,Lebanon,159.90666666666667,Bachelor's degree
48772,Lebanon,229.8658333333333,Bachelor's degree
48921,Lebanon,1499.125,Bachelor's degree
49062,Lebanon,229.8658333333333,Bachelor's degree
49160,Lebanon,149.9125,Master's degree
49599,Lebanon,159.90666666666667,college/university without bachelor's degree
53548,Lebanon,239.86,Bachelor's degree
59213,Lebanon,140.71786666666665,Bachelor's degree
63566,Lebanon,399.76666666666665,Associate degree
64000,Lebanon,179.895,Bachelor's degree
67360,Lebanon,199.88333333333333,Master's degree
67742,Lebanon,7995.333333333333,Master's degree
67869,Lebanon,449.7375,Bachelor's degree
68898,Lebanon,69.95916666666666,Bachelor's degree
68963,Lebanon,199.88333333333333,Secondary school
71748,Lebanon,199.88333333333333,Bachelor's degree
71771,Lebanon,399.76666666666665,Bachelor's degree
72327,Lebanon,119.93,Bachelor's degree
72503,Lebanon,199.88333333333333,Bachelor's degree
79555,Lebanon,499.7083333333333,Bachelor's degree
84311,Lebanon,1439.16,Bachelor's degree
