,Country,Monthly_Sal_EUR,YearsCodePro
2346,Lebanon,3997.6666666666665,13
7430,Lebanon,29.9825,2
11261,Lebanon,6496.208333333333,2
23180,Lebanon,533.6885,4
23378,Lebanon,99.94166666666666,5
23701,Lebanon,399.76666666666665,16
27211,Lebanon,49.97083333333333,7
27344,Lebanon,449.7375,16
27784,Lebanon,104.93875,1
30489,Lebanon,119.93,1
32409,Lebanon,259.84833333333336,7
32553,Lebanon,129.92416666666668,4
33040,Lebanon,29.9825,3
33816,Lebanon,124.92708333333333,1
35820,Lebanon,2998.25,2
47103,Lebanon,179.895,5
48560,Lebanon,89.9475,1
57113,Lebanon,149.9125,6
57997,Lebanon,199.88333333333333,6
59320,Lebanon,1699.0083333333334,3
70443,Lebanon,119.93,2
70914,Lebanon,9.994166666666667,5
72642,Lebanon,2198.7166666666667,5
80608,Lebanon,199.88333333333333,3
83181,Lebanon,49.97083333333333,1
