,Country,Monthly_Sal_EUR,EdLevel
19,Lithuania,299.825,Master's degree
1689,Lithuania,249.85416666666666,Bachelor's degree
2158,Lithuania,129.92416666666668,Bachelor's degree
2541,Lithuania,339.8016666666666,Bachelor's degree
3192,Lithuania,269.8425,Master's degree
3483,Lithuania,219.87166666666667,Master's degree
4214,Lithuania,2498.5416666666665,Bachelor's degree
4326,Lithuania,79.95333333333333,Bachelor's degree
4573,Lithuania,109.93583333333333,college/university without bachelor's degree
4921,Lithuania,54.268325000000004,Secondary school
5238,Lithuania,309.81916666666666,Bachelor's degree
5751,Lithuania,179.895,college/university without bachelor's degree
5953,Lithuania,259.84833333333336,Master's degree
7643,Lithuania,117.93116666666666,Professional degree
8475,Lithuania,249.85416666666666,Master's degree
8978,Lithuania,219.87166666666667,Bachelor's degree
9481,Lithuania,159.90666666666667,Bachelor's degree
9835,Lithuania,179.895,Bachelor's degree
9887,Lithuania,124.92708333333333,Bachelor's degree
10122,Lithuania,259.84833333333336,Bachelor's degree
10584,Lithuania,639.6266666666667,college/university without bachelor's degree
10799,Lithuania,399.76666666666665,Bachelor's degree
11688,Lithuania,334.8045833333333,Bachelor's degree
12787,Lithuania,389.77250000000004,Master's degree
12916,Lithuania,449.7375,college/university without bachelor's degree
13466,Lithuania,216.97335833333332,college/university without bachelor's degree
13561,Lithuania,104.93875,college/university without bachelor's degree
13723,Lithuania,609.6441666666667,Bachelor's degree
14209,Lithuania,99.94166666666666,college/university without bachelor's degree
15498,Lithuania,239.86,Bachelor's degree
16306,Lithuania,171.00019166666667,Bachelor's degree
16336,Lithuania,449.7375,Master's degree
16455,Lithuania,299.825,Bachelor's degree
16462,Lithuania,299.825,Master's degree
16815,Lithuania,255.85066666666665,Master's degree
17362,Lithuania,29.9825,college/university without bachelor's degree
18125,Lithuania,349.79583333333335,Master's degree
18245,Lithuania,239.86,Doctoral degree
19421,Lithuania,359.79,Master's degree
19897,Lithuania,177.89616666666666,college/university without bachelor's degree
19940,Lithuania,159.90666666666667,Secondary school
20444,Lithuania,249.85416666666666,Master's degree
20581,Lithuania,209.8775,Bachelor's degree
20857,Lithuania,3997.6666666666665,Doctoral degree
20902,Lithuania,279.83666666666664,Bachelor's degree
21135,Lithuania,4197.549999999999,Bachelor's degree
22750,Lithuania,359.79,college/university without bachelor's degree
23391,Lithuania,99.94166666666666,Bachelor's degree
24878,Lithuania,639.6266666666667,Bachelor's degree
25032,Lithuania,379.7783333333333,college/university without bachelor's degree
25259,Lithuania,223.36962499999998,Bachelor's degree
26288,Lithuania,359.79,Bachelor's degree
26758,Lithuania,419.755,Bachelor's degree
26895,Lithuania,139.91833333333332,Bachelor's degree
26956,Lithuania,180.29476666666667,Secondary school
29144,Lithuania,519.6966666666667,Master's degree
29382,Lithuania,329.8075,Bachelor's degree
29773,Lithuania,419.755,Bachelor's degree
30660,Lithuania,239.86,Bachelor's degree
30708,Lithuania,119.93,Secondary school
30876,Lithuania,149.9125,Master's degree
32728,Lithuania,359.79,Master's degree
33496,Lithuania,134.92125,Secondary school
33661,Lithuania,99.94166666666666,college/university without bachelor's degree
34662,Lithuania,699.5916666666667,Bachelor's degree
34680,Lithuania,133.62200833333333,Bachelor's degree
35057,Lithuania,199.88333333333333,Bachelor's degree
36216,Lithuania,74.95625,college/university without bachelor's degree
36606,Lithuania,379.7783333333333,Bachelor's degree
36917,Lithuania,399.76666666666665,Primary/elementary school
37043,Lithuania,119.93,Bachelor's degree
37638,Lithuania,369.78416666666664,Associate degree
37748,Lithuania,5696.675,Master's degree
38005,Lithuania,4397.433333333333,Bachelor's degree
38621,Lithuania,399.76666666666665,Bachelor's degree
39178,Lithuania,11593.233333333334,Bachelor's degree
39645,Lithuania,94.94458333333333,Bachelor's degree
40223,Lithuania,245.8565,college/university without bachelor's degree
40679,Lithuania,219.87166666666667,Bachelor's degree
41470,Lithuania,189.88916666666665,Bachelor's degree
41523,Lithuania,79.95333333333333,Secondary school
42047,Lithuania,279.83666666666664,Bachelor's degree
42784,Lithuania,599.65,Secondary school
43319,Lithuania,179.895,college/university without bachelor's degree
44298,Lithuania,84.95041666666665,Bachelor's degree
44521,Lithuania,74.95625,Bachelor's degree
45675,Lithuania,359.79,Master's degree
45974,Lithuania,179.895,Master's degree
46089,Lithuania,159.90666666666667,Bachelor's degree
48965,Lithuania,4154.275258333333,Bachelor's degree
50324,Lithuania,260.7478083333333,Bachelor's degree
51661,Lithuania,199.88333333333333,Doctoral degree
51991,Lithuania,179.895,Bachelor's degree
52690,Lithuania,127.92533333333333,Bachelor's degree
52695,Lithuania,299.825,Bachelor's degree
52754,Lithuania,85.94983333333334,Secondary school
53765,Lithuania,199.88333333333333,Master's degree
53798,Lithuania,959.44,Bachelor's degree
54140,Lithuania,3647.8708333333334,Master's degree
55372,Lithuania,129.92416666666668,Bachelor's degree
55444,Lithuania,499.7083333333333,college/university without bachelor's degree
55816,Lithuania,98.14271666666667,Bachelor's degree
56068,Lithuania,3298.075,Bachelor's degree
56710,Lithuania,161.006025,Bachelor's degree
56767,Lithuania,149.9125,Master's degree
56836,Lithuania,179.895,Master's degree
56873,Lithuania,36.078941666666665,Bachelor's degree
57254,Lithuania,499.7083333333333,Bachelor's degree
57498,Lithuania,219.87166666666667,Master's degree
57842,Lithuania,187.89033333333333,Secondary school
58455,Lithuania,299.825,Master's degree
58622,Lithuania,199.88333333333333,Master's degree
58758,Lithuania,219.87166666666667,Master's degree
59884,Lithuania,109.93583333333333,Bachelor's degree
59987,Lithuania,82.451875,Secondary school
62498,Lithuania,99.94166666666666,Master's degree
62516,Lithuania,249.85416666666666,Bachelor's degree
63442,Lithuania,529.6908333333333,Master's degree
65239,Lithuania,31.981333333333332,Secondary school
65695,Lithuania,209.67761666666667,college/university without bachelor's degree
67045,Lithuania,599.65,Master's degree
67233,Lithuania,234.86291666666665,Secondary school
67445,Lithuania,399.76666666666665,Bachelor's degree
67462,Lithuania,208.87808333333334,Master's degree
68472,Lithuania,372.88235833333334,Bachelor's degree
69325,Lithuania,209.8775,Bachelor's degree
70049,Lithuania,644.62375,Master's degree
71423,Lithuania,159.90666666666667,Bachelor's degree
71770,Lithuania,269.8425,Bachelor's degree
71872,Lithuania,149.9125,Bachelor's degree
72335,Lithuania,399.76666666666665,Master's degree
72464,Lithuania,59.965,Bachelor's degree
72870,Lithuania,4097.608333333334,Master's degree
73070,Lithuania,149.9125,Bachelor's degree
73231,Lithuania,84.95041666666665,Bachelor's degree
73979,Lithuania,139.91833333333332,Bachelor's degree
75622,Lithuania,559.1736249999999,Secondary school
76588,Lithuania,268.14349166666665,college/university without bachelor's degree
78184,Lithuania,64.96208333333334,Bachelor's degree
78749,Lithuania,499.7083333333333,Master's degree
78925,Lithuania,149.9125,Bachelor's degree
79500,Lithuania,269.8425,Master's degree
79817,Lithuania,169.9008333333333,Bachelor's degree
80820,Lithuania,799.5333333333333,Bachelor's degree
80933,Lithuania,79.95333333333333,Secondary school
81040,Lithuania,199.88333333333333,Bachelor's degree
83597,Lithuania,159.90666666666667,Bachelor's degree
83893,Lithuania,339.8016666666666,college/university without bachelor's degree
84202,Lithuania,302.523425,Bachelor's degree
84239,Lithuania,459.7316666666666,college/university without bachelor's degree
85169,Lithuania,50.97025,Secondary school
85799,Lithuania,879.4866666666667,Master's degree
86788,Lithuania,149.9125,Bachelor's degree
86791,Lithuania,479.72,Bachelor's degree
86955,Lithuania,339.8016666666666,Master's degree
86965,Lithuania,279.83666666666664,college/university without bachelor's degree
86995,Lithuania,6496.208333333333,Bachelor's degree
87166,Lithuania,479.72,college/university without bachelor's degree
88167,Lithuania,509.7025,college/university without bachelor's degree
88279,Lithuania,199.88333333333333,Bachelor's degree
