,Country,Monthly_Sal_EUR,YearsCodePro
766,Malaysia,564.6704166666666,1
783,Malaysia,549.6791666666667,3
2179,Malaysia,419.755,1
2794,Malaysia,649.6208333333333,1
3705,Malaysia,6296.325000000001,3
4577,Malaysia,589.6558333333332,15
5144,Malaysia,979.4283333333333,6
5258,Malaysia,8994.75,8
6075,Malaysia,599.1502916666666,6
7249,Malaysia,299.825,1
8297,Malaysia,649.6208333333333,5
8632,Malaysia,799.5333333333333,10
9271,Malaysia,459.7316666666666,3
9448,Malaysia,9994.166666666666,4
9533,Malaysia,9694.341666666667,2
10484,Malaysia,899.475,5
10748,Malaysia,599.65,5
11213,Malaysia,299.825,1
11537,Malaysia,299.825,1
11713,Malaysia,699.5916666666667,1
12844,Malaysia,859.4983333333332,6
13517,Malaysia,899.475,10
14139,Malaysia,299.825,2
14294,Malaysia,349.79583333333335,4
14576,Malaysia,369.78416666666664,3
14824,Malaysia,1174.3145833333333,8
15404,Malaysia,15590.900000000001,11
15987,Malaysia,799.5333333333333,7
16125,Malaysia,599.65,6
16265,Malaysia,749.5625,9
16538,Malaysia,289.8308333333333,1
16631,Malaysia,279.83666666666664,1
17151,Malaysia,15490.958333333332,4
18530,Malaysia,399.76666666666665,2
19494,Malaysia,199.88333333333333,4
21090,Malaysia,1699.0083333333334,16
21126,Malaysia,13.991833333333334,8
21363,Malaysia,5156.99,2
21578,Malaysia,219.87166666666667,1
21706,Malaysia,1051.3863333333334,9
22294,Malaysia,11333.384999999998,5
23444,Malaysia,299.825,3
23514,Malaysia,149.9125,3
24476,Malaysia,649.6208333333333,3
25689,Malaysia,1209.2941666666666,3
25952,Malaysia,409.7608333333333,4
25983,Malaysia,699.5916666666667,6
26767,Malaysia,299.825,3
27184,Malaysia,299.825,1
27507,Malaysia,14991.25,8
27646,Malaysia,599.65,6
27965,Malaysia,399.76666666666665,4
28008,Malaysia,129.92416666666668,46
28247,Malaysia,9994.166666666666,9
29529,Malaysia,999.4166666666666,6
30043,Malaysia,169.9008333333333,2
30231,Malaysia,39.97666666666667,3
30534,Malaysia,349.79583333333335,1
33183,Malaysia,5496.791666666666,1
33668,Malaysia,499.7083333333333,3
33980,Malaysia,349.79583333333335,2
34258,Malaysia,15590.900000000001,10
36344,Malaysia,399.76666666666665,5
37632,Malaysia,999.4166666666666,14
37929,Malaysia,499.7083333333333,6
38969,Malaysia,1375.1973333333335,6
39545,Malaysia,649.6208333333333,3
40120,Malaysia,11993.0,12
40179,Malaysia,349.79583333333335,3
41195,Malaysia,499.7083333333333,2
41574,Malaysia,479.72,21
41607,Malaysia,49.97083333333333,1
41653,Malaysia,999.4166666666666,6
41693,Malaysia,499.7083333333333,7
41724,Malaysia,2998.25,2
41842,Malaysia,439.74333333333334,3
42277,Malaysia,9994.166666666666,5
42612,Malaysia,269.8425,3
44274,Malaysia,6171.397916666667,3
45066,Malaysia,519.6966666666667,4
45234,Malaysia,799.5333333333333,10
47528,Malaysia,355.7923333333333,1
47674,Malaysia,959.44,12
47888,Malaysia,405.7631666666667,4
48157,Malaysia,1499.125,10
48633,Malaysia,879.4866666666667,9
49027,Malaysia,869.4925,4
49083,Malaysia,2498.5416666666665,12
49981,Malaysia,399.76666666666665,5
50131,Malaysia,0.39976666666666666,3
50480,Malaysia,299.825,2
52576,Malaysia,499.7083333333333,4
53243,Malaysia,499.7083333333333,2
53473,Malaysia,799.5333333333333,9
54123,Malaysia,5996.5,3
54534,Malaysia,10793.7,15
54823,Malaysia,344.79875,2
55272,Malaysia,899.475,1
56040,Malaysia,1099.3583333333333,28
57041,Malaysia,799.5333333333333,10
57878,Malaysia,999.4166666666666,6
59048,Malaysia,699.5916666666667,9
60177,Malaysia,629.6324999999999,4
60477,Malaysia,449.7375,3
61226,Malaysia,11393.35,5
63209,Malaysia,419.755,5
63589,Malaysia,329.8075,2
63984,Malaysia,999.4166666666666,5
64584,Malaysia,779.5450000000001,4
66088,Malaysia,2498.5416666666665,5
66432,Malaysia,999.4166666666666,17
67192,Malaysia,699.5916666666667,4
67762,Malaysia,999.4166666666666,1
68406,Malaysia,4897.141666666666,1
68440,Malaysia,299.825,13
69044,Malaysia,449.7375,5
69612,Malaysia,99.94166666666666,4
69666,Malaysia,749.5625,4
71350,Malaysia,799.5333333333333,4
72199,Malaysia,519.6966666666667,5
72650,Malaysia,534.6879166666666,4
72937,Malaysia,449.7375,8
73867,Malaysia,999.4166666666666,16
74155,Malaysia,249.85416666666666,1
75283,Malaysia,3597.9,2
76201,Malaysia,949.4458333333333,9
76463,Malaysia,279.83666666666664,1
76683,Malaysia,349.79583333333335,3
81279,Malaysia,587.8568833333334,15
81696,Malaysia,619.6383333333333,6
82354,Malaysia,329.8075,1
83093,Malaysia,419.755,3
83244,Malaysia,269.8425,1
83889,Malaysia,10993.583333333332,5
87817,Malaysia,11993.0,3
