,Country,Monthly_Sal_EUR,EdLevel
5222,Malaysia,1099.3583333333333,Master's degree
5286,Malaysia,399.76666666666665,Bachelor's degree
5296,Malaysia,699.5916666666667,college/university without bachelor's degree
5366,Malaysia,799.5333333333333,Bachelor's degree
5587,Malaysia,999.4166666666666,Master's degree
6234,Malaysia,799.5333333333333,Master's degree
6259,Malaysia,499.7083333333333,Bachelor's degree
6299,Malaysia,10493.875,Bachelor's degree
6339,Malaysia,349.79583333333335,Bachelor's degree
6360,Malaysia,649.6208333333333,Bachelor's degree
6413,Malaysia,399.76666666666665,Bachelor's degree
6417,Malaysia,699.5916666666667,Bachelor's degree
6506,Malaysia,449.7375,Bachelor's degree
6581,Malaysia,1499.125,Doctoral degree
6597,Malaysia,799.5333333333333,Bachelor's degree
6620,Malaysia,317.71455833333334,Bachelor's degree
6635,Malaysia,999.4166666666666,college/university without bachelor's degree
6888,Malaysia,379.7783333333333,Bachelor's degree
6922,Malaysia,949.4458333333333,Bachelor's degree
7159,Malaysia,949.4458333333333,Master's degree
7186,Malaysia,3597.9,college/university without bachelor's degree
7214,Malaysia,499.7083333333333,Bachelor's degree
7237,Malaysia,384.7754166666667,college/university without bachelor's degree
7563,Malaysia,1149.3291666666667,Bachelor's degree
8520,Malaysia,8495.041666666666,Bachelor's degree
8715,Malaysia,299.825,Secondary school
8878,Malaysia,6092.444,Bachelor's degree
9573,Malaysia,529.6908333333333,Master's degree
15290,Malaysia,149.9125,college/university without bachelor's degree
19918,Malaysia,699.5916666666667,Bachelor's degree
20512,Malaysia,299.825,Bachelor's degree
20647,Malaysia,499.7083333333333,Bachelor's degree
20726,Malaysia,129.92416666666668,Associate degree
21612,Malaysia,305.8215,Bachelor's degree
21679,Malaysia,4897.141666666666,Master's degree
21722,Malaysia,799.5333333333333,Bachelor's degree
22171,Malaysia,14491.541666666666,Bachelor's degree
22179,Malaysia,699.5916666666667,Associate degree
24724,Malaysia,149.9125,Bachelor's degree
24790,Malaysia,99.94166666666666,Bachelor's degree
26530,Malaysia,369.78416666666664,college/university without bachelor's degree
28417,Malaysia,199.88333333333333,No formal education
28571,Malaysia,629.6324999999999,Bachelor's degree
28646,Malaysia,314.81624999999997,Bachelor's degree
29006,Malaysia,379.7783333333333,Bachelor's degree
29101,Malaysia,79.95333333333333,Secondary school
30118,Malaysia,395.769,Bachelor's degree
30206,Malaysia,449.7375,Master's degree
30208,Malaysia,299.825,Bachelor's degree
30277,Malaysia,229.8658333333333,college/university without bachelor's degree
30920,Malaysia,749.5625,Bachelor's degree
31679,Malaysia,599.65,Bachelor's degree
33821,Malaysia,349.79583333333335,Bachelor's degree
34102,Malaysia,729.5741666666665,Bachelor's degree
34767,Malaysia,649.6208333333333,Bachelor's degree
36378,Malaysia,319.81333333333333,Bachelor's degree
36403,Malaysia,413.75849999999997,Bachelor's degree
37592,Malaysia,369.78416666666664,Bachelor's degree
39483,Malaysia,599.65,Master's degree
40263,Malaysia,1149.3291666666667,Bachelor's degree
40280,Malaysia,414.7579166666667,Bachelor's degree
40428,Malaysia,329.8075,Bachelor's degree
42307,Malaysia,9994.166666666666,Master's degree
42399,Malaysia,529.6908333333333,college/university without bachelor's degree
42610,Malaysia,2998.25,Primary/elementary school
45186,Malaysia,299.825,Bachelor's degree
45760,Malaysia,1199.3,Master's degree
45787,Malaysia,309.81916666666666,Bachelor's degree
46434,Malaysia,349.79583333333335,Bachelor's degree
46437,Malaysia,549.6791666666667,Master's degree
46945,Malaysia,1599.0666666666666,Bachelor's degree
47539,Malaysia,349.79583333333335,Bachelor's degree
47566,Malaysia,999.4166666666666,Bachelor's degree
47691,Malaysia,424.75208333333336,Bachelor's degree
47755,Malaysia,399.76666666666665,Bachelor's degree
47787,Malaysia,49.97083333333333,Bachelor's degree
47791,Malaysia,284.83375,college/university without bachelor's degree
49436,Malaysia,299.825,Bachelor's degree
53250,Malaysia,749.5625,Bachelor's degree
53339,Malaysia,399.76666666666665,Bachelor's degree
53352,Malaysia,189.88916666666665,Bachelor's degree
53359,Malaysia,249.85416666666666,Bachelor's degree
53467,Malaysia,1199.3,Bachelor's degree
53469,Malaysia,399.76666666666665,Master's degree
53597,Malaysia,449.7375,Master's degree
53648,Malaysia,899.475,Bachelor's degree
54208,Malaysia,1009.4108333333334,Bachelor's degree
54591,Malaysia,1049.3874999999998,college/university without bachelor's degree
57969,Malaysia,1099.3583333333333,Bachelor's degree
57973,Malaysia,799.5333333333333,Bachelor's degree
58024,Malaysia,649.6208333333333,college/university without bachelor's degree
59024,Malaysia,899.475,Associate degree
60169,Malaysia,79.95333333333333,Bachelor's degree
60733,Malaysia,399.76666666666665,Bachelor's degree
