,Country,Monthly_Sal_EUR,EdLevel
12996,Malta,1971.3261648745497,Bachelor's degree
21935,Malta,2164.247311827958,Bachelor's degree
21974,Malta,2150.5376344086,Bachelor's degree
25817,Malta,1926.5232974910416,college/university without bachelor's degree
26718,Malta,2419.354838709675,college/university without bachelor's degree
27216,Malta,4121.86379928315,Secondary school
29286,Malta,2688.17204301075,Bachelor's degree
32443,Malta,2777.7777777777746,college/university without bachelor's degree
40643,Malta,2473.1182795698915,Bachelor's degree
46264,Malta,2419.354838709675,Bachelor's degree
48763,Malta,2198.7166666666667,college/university without bachelor's degree
