,Country,Monthly_Sal_EUR,YearsCodePro
6836,Malta,3697.8416666666662,3
8628,Malta,2648.4541666666664,3
12998,Malta,5196.966666666666,35
13577,Malta,5196.966666666666,11
13898,Malta,309.81916666666666,10
19140,Malta,3997.6666666666665,5
22981,Malta,2998.25,9
23054,Malta,99.94166666666666,12
26372,Malta,6496.208333333333,13
33440,Malta,2098.7749999999996,1
38357,Malta,2798.366666666667,7
38951,Malta,3862.7454166666666,3
40235,Malta,2148.7458333333334,3
41494,Malta,3897.7250000000004,2
42385,Malta,7495.625,3
43495,Malta,3198.133333333333,1
44155,Malta,2898.3083333333334,3
44677,Malta,4397.433333333333,8
45434,Malta,2498.5416666666665,4
46797,Malta,4197.549999999999,12
46819,Malta,3398.016666666667,6
49213,Malta,4497.375,7
50362,Malta,4797.2,6
51270,Malta,3747.8125,5
52209,Malta,15490.958333333332,19
55019,Malta,249.85416666666666,4
55407,Malta,4297.491666666667,3
57953,Malta,4247.520833333333,9
58955,Malta,4397.433333333333,2
59064,Malta,3198.133333333333,5
63188,Malta,4097.608333333334,7
66149,Malta,1499.125,2
68009,Malta,4497.375,7
68857,Malta,3198.133333333333,2
71719,Malta,12992.416666666666,20
73435,Malta,3198.133333333333,4
74926,Malta,4097.608333333334,2
75940,Malta,4597.316666666667,6
77511,Malta,4797.2,11
81085,Malta,2398.6,1
82631,Malta,2758.39,3
83229,Malta,4997.083333333333,14
86252,Malta,3797.7833333333333,3
88245,Malta,4997.083333333333,14
