,Country,Monthly_Sal_EUR,YearsCodePro
497,Mauritius,1998.8333333333333,4
3134,Mauritius,3997.6666666666665,2
4402,Mauritius,3348.0458333333336,5
28761,Mauritius,2098.7749999999996,3
29966,Mauritius,69.95916666666666,10
36303,Mauritius,5396.85,7
40071,Mauritius,3997.6666666666665,4
42463,Mauritius,6496.208333333333,4
43110,Mauritius,3797.7833333333333,2
51341,Mauritius,7995.333333333333,2
60422,Mauritius,7495.625,15
70658,Mauritius,4997.083333333333,4
71130,Mauritius,5107.019166666667,7
78840,Mauritius,2998.25,2
