,Country,Monthly_Sal_EUR,EdLevel
8050,Mauritius,6995.916666666666,Master's degree
14693,Mauritius,5596.733333333334,Master's degree
23451,Mauritius,3997.6666666666665,Bachelor's degree
24743,Mauritius,2398.6,Bachelor's degree
37079,Mauritius,3797.7833333333333,Bachelor's degree
38790,Mauritius,4997.083333333333,Bachelor's degree
42193,Mauritius,2098.7749999999996,Bachelor's degree
68224,Mauritius,15990.666666666666,Master's degree
68318,Mauritius,16990.083333333332,college/university without bachelor's degree
73463,Mauritius,9194.633333333333,college/university without bachelor's degree
