,Country,Monthly_Sal_EUR,EdLevel
111,Mexico,3997.6666666666665,Bachelor's degree
1167,Mexico,1698.1722488038279,Bachelor's degree
1439,Mexico,3773.7161084529416,Bachelor's degree
2860,Mexico,15849.607655502386,college/university without bachelor's degree
5499,Mexico,7547.432216905903,Secondary school
5975,Mexico,2198.7166666666667,Bachelor's degree
6301,Mexico,11321.148325358845,Bachelor's degree
7935,Mexico,5660.5741626794315,Bachelor's degree
9837,Mexico,514.5461913875596,No formal education
10043,Mexico,2284.3666749999998,Bachelor's degree
13282,Mexico,18113.837320574166,college/university without bachelor's degree
14677,Mexico,2452.9154704944162,Master's degree
17396,Mexico,16981.72248803828,college/university without bachelor's degree
19107,Mexico,13019.320574162683,college/university without bachelor's degree
19344,Mexico,12264.57735247208,Master's degree
19636,Mexico,4245.43062200957,Master's degree
21449,Mexico,17925.151515151512,Bachelor's degree
21523,Mexico,4245.43062200957,Bachelor's degree
22484,Mexico,799.5333333333333,Bachelor's degree
24771,Mexico,2830.287081339706,Secondary school
26458,Mexico,7924.803827751193,Bachelor's degree
27397,Mexico,15849.607655502386,Professional degree
29220,Mexico,10075.822009569374,Bachelor's degree
29752,Mexico,6792.688995215303,college/university without bachelor's degree
31197,Mexico,7358.746411483248,Bachelor's degree
31454,Mexico,3207.658692185016,Bachelor's degree
31489,Mexico,3962.4019138755966,college/university without bachelor's degree
32813,Mexico,851.5029999999999,college/university without bachelor's degree
33324,Mexico,18868.580542264746,Bachelor's degree
36185,Mexico,1179.2862838915473,college/university without bachelor's degree
40349,Mexico,10993.583333333332,Bachelor's degree
41517,Mexico,14717.492822966517,college/university without bachelor's degree
42067,Mexico,3207.658692185016,Bachelor's degree
43150,Mexico,999.4166666666666,Bachelor's degree
43216,Mexico,14717.492822966517,Bachelor's degree
43729,Mexico,3773.7161084529416,college/university without bachelor's degree
43734,Mexico,1132.1148325358845,college/university without bachelor's degree
44265,Mexico,19812.009569378082,college/university without bachelor's degree
45439,Mexico,943.4290271132375,Bachelor's degree
45638,Mexico,1886.858054226475,Master's degree
46273,Mexico,6604.003189792668,Bachelor's degree
46478,Mexico,4717.145135566197,Doctoral degree
46495,Mexico,9.994166666666667,No formal education
50634,Mexico,5396.85,Master's degree
