,Country,Monthly_Sal_EUR,YearsCodePro
256,Mexico,450.9368,3
386,Mexico,2254.684,3
485,Mexico,2254.684,15
900,Mexico,412.5592,3
1118,Mexico,5476.0037999999995,6
1508,Mexico,14191.716666666667,3
1677,Mexico,9913.4138,6
1798,Mexico,1932.0723,3
1887,Mexico,1074.3729166666667,3
1945,Mexico,2126.3589,6
1950,Mexico,1932.0723,3
3530,Mexico,773.5485,3
3533,Mexico,322.6117,0
4636,Mexico,785.5414999999999,9
4674,Mexico,1319.23,15
4877,Mexico,1803.7472,3
5813,Mexico,6442.6395999999995,18
5845,Mexico,953.4435,0
5911,Mexico,837.1114,3
5959,Mexico,1738.985,6
6051,Mexico,3865.3439,3
6328,Mexico,1030.1987,3
6352,Mexico,4831.9797,9
6424,Mexico,4997.083333333333,9
7150,Mexico,2254.684,3
7219,Mexico,1892.4954,6
7389,Mexico,1094.9609,0
7404,Mexico,6506.2025,9
7585,Mexico,1159.7231,0
7611,Mexico,579.2619,0
7700,Mexico,8374.711899999998,12
8201,Mexico,2126.3589,6
8411,Mexico,929.4575,3
8500,Mexico,1224.4852999999998,15
8565,Mexico,1488.3313,3
8667,Mexico,2254.684,0
8801,Mexico,773.5485,0
9260,Mexico,2319.4462,12
9327,Mexico,3433.5959000000003,3
9801,Mexico,1094.9609,3
10171,Mexico,1209.2941666666666,3
10338,Mexico,1481.1354999999999,9
11036,Mexico,5396.85,15
11416,Mexico,1920.0792999999999,6
11586,Mexico,1288.0482,9
11702,Mexico,1288.0482,0
12046,Mexico,515.699,0
12268,Mexico,2254.684,9
12573,Mexico,2415.7899666666667,6
12929,Mexico,2013.8245833333333,3
13054,Mexico,1199.3,12
13592,Mexico,939.4516666666666,0
14288,Mexico,3221.3197999999998,3
14299,Mexico,837.1114,6
14828,Mexico,966.6358,0
15088,Mexico,644.0241,0
15215,Mexico,1932.0723,0
15232,Mexico,3865.3439,21
15655,Mexico,231.4649,0
15742,Mexico,1288.0482,9
15854,Mexico,2684.233283333333,0
15907,Mexico,644.0241,3
16360,Mexico,1610.6598999999999,6
16688,Mexico,966.6358,0
17863,Mexico,1288.0482,0
17955,Mexico,1932.0723,3
18213,Mexico,959.44,3
18444,Mexico,2705.6207999999997,12
18689,Mexico,1610.6598999999999,3
18809,Mexico,2066.99355,9
19003,Mexico,1998.8333333333333,6
19014,Mexico,2189.9218,3
19386,Mexico,1499.125,0
19630,Mexico,618.8388,0
19649,Mexico,1224.4852999999998,3
19969,Mexico,2413.59125,18
20066,Mexico,2576.8959333333332,6
20295,Mexico,10307.9835,18
21108,Mexico,2061.5967,3
21389,Mexico,4831.9797,18
22997,Mexico,3221.3197999999998,12
23146,Mexico,1610.5599583333333,3
23236,Mexico,1224.4852999999998,3
23531,Mexico,1288.0482,0
23550,Mexico,1610.6598999999999,6
23612,Mexico,901.8736,0
23693,Mexico,579.2619,0
24094,Mexico,3221.3197999999998,3
24640,Mexico,1803.7472,6
24982,Mexico,2514.9321,3
25053,Mexico,1868.5094,3
25201,Mexico,1352.8103999999998,3
25366,Mexico,966.6358,0
25461,Mexico,1932.0723,9
26142,Mexico,3865.3439,12
26709,Mexico,1030.1987,6
27315,Mexico,1675.4221,3
27396,Mexico,773.5485,0
27509,Mexico,3865.3439,3
27567,Mexico,3865.3439,18
27620,Mexico,644.0241,0
27772,Mexico,1610.6598999999999,3
28366,Mexico,257.8495,0
28615,Mexico,2338.6349999999998,3
28680,Mexico,2835.1452,3
28897,Mexico,2383.0090999999998,12
29489,Mexico,1062.5798,3
29616,Mexico,418.5557,0
29987,Mexico,2577.2956999999997,18
30885,Mexico,515.699,0
31145,Mexico,2319.4462,6
31226,Mexico,540.8842999999999,0
31261,Mexico,1481.1354999999999,3
31379,Mexico,3221.3197999999998,6
31828,Mexico,1288.0482,0
31983,Mexico,773.5485,0
32369,Mexico,1610.6598999999999,3
33188,Mexico,2093.9777999999997,9
33291,Mexico,2061.5967,3
33434,Mexico,1159.7231,9
33593,Mexico,1288.0482,3
33610,Mexico,669.6091666666666,0
34879,Mexico,534.6879166666666,0
34886,Mexico,2254.684,6
35044,Mexico,1417.5726,3
35153,Mexico,1610.6598999999999,21
35589,Mexico,1288.0482,9
35736,Mexico,6995.916666666666,9
35777,Mexico,4058.4312,9
36859,Mexico,3865.3439,30
37739,Mexico,1932.0723,3
38172,Mexico,322.6117,3
38269,Mexico,4027.6491666666666,3
39464,Mexico,5153.3921,9
39672,Mexico,2061.496758333333,3
39882,Mexico,1094.9609,3
40148,Mexico,2512.5335,6
40216,Mexico,418.5557,0
40370,Mexico,697.8926583333333,3
40460,Mexico,1074.3729166666667,0
40684,Mexico,804.5304166666666,0
40856,Mexico,3251.3023,3
41083,Mexico,966.6358,3
41111,Mexico,1545.8977,3
41483,Mexico,2995.8514,9
41795,Mexico,2056.7995,0
42084,Mexico,644.0241,0
42953,Mexico,2254.684,27
42977,Mexico,2254.684,3
43103,Mexico,1224.4852999999998,0
43587,Mexico,5153.3921,6
43791,Mexico,14.99125,9
44152,Mexico,4381.0429,9
44234,Mexico,966.6358,3
44327,Mexico,773.5485,3
44372,Mexico,724.5770833333333,3
44671,Mexico,3378.0283333333336,0
45288,Mexico,2189.9218,0
45329,Mexico,1159.7231,0
45477,Mexico,2413.59125,9
45532,Mexico,2577.2956999999997,18
45752,Mexico,1610.6598999999999,3
45779,Mexico,2770.383,6
46017,Mexico,837.1114,3
46338,Mexico,1545.8977,0
46558,Mexico,1932.0723,9
46777,Mexico,2061.5967,9
46831,Mexico,3865.3439,6
47344,Mexico,901.8736,3
47479,Mexico,1352.8103999999998,3
48232,Mexico,2640.8586,15
48277,Mexico,515.699,6
48534,Mexico,2383.0090999999998,3
48878,Mexico,1288.0482,0
49142,Mexico,5368.466566666666,15
49214,Mexico,1030.1987,0
49380,Mexico,966.6358,6
49482,Mexico,7797.848599999999,3
49600,Mexico,708.7863,3
50439,Mexico,2254.684,3
50467,Mexico,2120.562283333333,3
50629,Mexico,483.3179,3
50687,Mexico,1932.0723,3
51566,Mexico,2577.2956999999997,9
51686,Mexico,3993.669,9
51751,Mexico,450.9368,0
51779,Mexico,1610.6598999999999,3
51879,Mexico,2577.2956999999997,0
51980,Mexico,3221.3197999999998,9
51988,Mexico,3349.6449,6
52428,Mexico,556.4752,3
52911,Mexico,1610.6598999999999,3
53011,Mexico,3221.1199166666665,9
53573,Mexico,3542.7322000000004,6
53770,Mexico,18489.208333333332,27
53918,Mexico,104.93875,0
54158,Mexico,644.0241,9
54167,Mexico,1932.0723,3
54403,Mexico,1352.8103999999998,0
54660,Mexico,1481.1354999999999,6
54704,Mexico,3414.4071000000004,9
54799,Mexico,2813.5577999999996,6
54935,Mexico,3542.7322000000004,12
55436,Mexico,2126.3589,6
55527,Mexico,1352.8103999999998,9
55846,Mexico,2577.2956999999997,3
56230,Mexico,966.6358,0
56757,Mexico,4509.368,3
57330,Mexico,1288.0482,0
57350,Mexico,8994.75,6
57482,Mexico,2745.1976999999997,9
57486,Mexico,2577.2956999999997,3
58066,Mexico,5596.733333333334,3
58412,Mexico,5669.0911,6
58564,Mexico,2952.6766,6
58820,Mexico,11193.466666666667,9
58839,Mexico,2512.5335,3
59146,Mexico,2254.684,3
59227,Mexico,901.8736,3
59336,Mexico,1932.0723,3
59447,Mexico,14991.25,0
59704,Mexico,4187.955599999999,3
59756,Mexico,515.699,0
59968,Mexico,3865.3439,6
60328,Mexico,579.2619,3
60448,Mexico,2684.233283333333,6
60609,Mexico,644.0241,0
60613,Mexico,1288.0482,0
61338,Mexico,1159.7231,3
61632,Mexico,1610.5599583333333,3
62278,Mexico,1288.0482,3
62323,Mexico,4251.5185,6
62335,Mexico,2684.233283333333,9
62873,Mexico,1481.1354999999999,3
62916,Mexico,966.6358,3
63382,Mexico,579.2619,3
63831,Mexico,1610.6598999999999,3
64181,Mexico,804.7302999999999,0
64269,Mexico,2577.2956999999997,3
64368,Mexico,1094.9609,0
64422,Mexico,644.0241,0
64554,Mexico,1159.7231,9
64657,Mexico,2222.3028999999997,9
64740,Mexico,901.8736,3
64885,Mexico,2126.3589,12
64949,Mexico,2963.4703,6
65705,Mexico,2319.146375,3
66063,Mexico,5396.85,3
66405,Mexico,5905.3532,9
66614,Mexico,708.7863,0
66747,Mexico,1996.8345,6
66781,Mexico,2254.684,3
66818,Mexico,1996.8345,3
67732,Mexico,1288.0482,3
67735,Mexico,966.6358,3
68195,Mexico,2405.7958,6
68538,Mexico,2254.684,0
68541,Mexico,1609.0608333333332,3
68591,Mexico,1559.0900000000001,3
68623,Mexico,901.8736,0
68738,Mexico,450.9368,0
68938,Mexico,2189.9218,0
69071,Mexico,1771.3661000000002,3
69083,Mexico,1643.0410000000002,3
69101,Mexico,3169.7499,3
69134,Mexico,1078.1707,3
69194,Mexico,2254.684,6
69893,Mexico,3430.4977083333333,3
70086,Mexico,1932.0723,18
70097,Mexico,773.5485,0
70114,Mexico,1610.6598999999999,3
70156,Mexico,5153.3921,3
70387,Mexico,3221.3197999999998,6
70599,Mexico,1159.7231,3
70693,Mexico,2898.7081,6
70825,Mexico,966.6358,3
71687,Mexico,5996.5,6
72044,Mexico,2254.684,6
72230,Mexico,1481.1354999999999,6
72349,Mexico,1159.7231,0
72394,Mexico,966.6358,0
72430,Mexico,1932.0723,6
72602,Mexico,959.44,3
72789,Mexico,290.2306,0
72790,Mexico,4797.2,6
72892,Mexico,8994.75,15
73402,Mexico,11207.4585,12
74152,Mexico,290.2306,0
74166,Mexico,4509.368,12
74321,Mexico,773.5485,0
74330,Mexico,1610.6598999999999,12
74522,Mexico,7472.8383,6
74551,Mexico,3542.7322000000004,24
74616,Mexico,6596.15,3
75166,Mexico,1389.1891666666666,3
75457,Mexico,2126.3589,18
76097,Mexico,2577.2956999999997,30
76117,Mexico,1610.6598999999999,6
76160,Mexico,4747.229166666666,12
76380,Mexico,3362.8372,3
76563,Mexico,3597.9,15
76826,Mexico,2498.5416666666665,18
77225,Mexico,644.0241,0
77253,Mexico,669.2094,0
77439,Mexico,2447.7713,0
77752,Mexico,837.1114,0
78279,Mexico,128.3251,3
78304,Mexico,579.2619,3
78540,Mexico,1545.8977,3
78624,Mexico,2254.684,27
78865,Mexico,1288.0482,0
78957,Mexico,2147.34665,9
79272,Mexico,1288.0482,0
80260,Mexico,3221.3197999999998,6
80359,Mexico,6995.916666666666,24
80989,Mexico,10307.9835,0
82133,Mexico,3542.7322000000004,30
82255,Mexico,4027.6491666666666,0
82527,Mexico,928.2582,0
82626,Mexico,805.2300083333332,9
82829,Mexico,374.78125,0
83442,Mexico,319.81333333333333,0
84383,Mexico,1333.6216,12
85017,Mexico,611.643,0
85582,Mexico,1288.0482,0
86321,Mexico,810.7268,15
86406,Mexico,32.181216666666664,0
87054,Mexico,290.2306,3
