,Country,Monthly_Sal_EUR,EdLevel
11719,Montenegro,2398.6,Bachelor's degree
16867,Montenegro,299.825,Bachelor's degree
18324,Montenegro,119.93,college/university without bachelor's degree
25735,Montenegro,159.90666666666667,Bachelor's degree
26948,Montenegro,179.895,Bachelor's degree
27773,Montenegro,119.93,Bachelor's degree
33982,Montenegro,499.7083333333333,Bachelor's degree
40056,Montenegro,139.91833333333332,Doctoral degree
40768,Montenegro,129.92416666666668,Bachelor's degree
59887,Montenegro,9494.458333333332,Master's degree
60340,Montenegro,543.6826666666666,college/university without bachelor's degree
62046,Montenegro,279.83666666666664,college/university without bachelor's degree
64573,Montenegro,124.92708333333333,Master's degree
