,Country,Monthly_Sal_EUR,EdLevel
1166,Morocco,99.94166666666666,Associate degree
1692,Morocco,1998.8333333333333,Bachelor's degree
5225,Morocco,2998.25,Professional degree
6278,Morocco,499.7083333333333,Professional degree
8717,Morocco,1748.9791666666665,Bachelor's degree
9039,Morocco,399.76666666666665,Bachelor's degree
9416,Morocco,1369.2008333333333,Master's degree
13611,Morocco,2198.7166666666667,Bachelor's degree
17438,Morocco,799.5333333333333,Master's degree
18175,Morocco,699.5916666666667,Bachelor's degree
20561,Morocco,9.994166666666667,Bachelor's degree
21220,Morocco,2998.25,Master's degree
22213,Morocco,749.5625,Master's degree
24467,Morocco,1199.3,Master's degree
35328,Morocco,599.65,Master's degree
36015,Morocco,2998.25,Professional degree
36601,Morocco,749.5625,Professional degree
36884,Morocco,399.76666666666665,Associate degree
40373,Morocco,499.7083333333333,Bachelor's degree
41242,Morocco,2998.25,Doctoral degree
47590,Morocco,1199.3,Master's degree
52194,Morocco,299.825,No formal education
53908,Morocco,1737.3859333333332,Master's degree
55243,Morocco,499.7083333333333,Professional degree
60063,Morocco,1399.1833333333334,Master's degree
65134,Morocco,999.4166666666666,Professional degree
68004,Morocco,799.5333333333333,Professional degree
71072,Morocco,7195.8,Associate degree
71210,Morocco,749.5625,Master's degree
73283,Morocco,599.65,Bachelor's degree
74267,Morocco,999.4166666666666,Master's degree
74362,Morocco,4497.375,Master's degree
75958,Morocco,449.7375,Master's degree
76444,Morocco,1369.2008333333333,Bachelor's degree
77162,Morocco,999.4166666666666,Bachelor's degree
77490,Morocco,2398.6,Master's degree
77806,Morocco,659.615,Associate degree
79679,Morocco,1349.2125,Master's degree
82356,Morocco,899.475,Master's degree
86655,Morocco,4497.375,Doctoral degree
