,Country,Monthly_Sal_EUR,YearsCodePro
1681,Morocco,999.4166666666666,6
2523,Morocco,799.5333333333333,5
2994,Morocco,29.9825,1
3145,Morocco,1499.125,5
4944,Morocco,19.988333333333333,2
7444,Morocco,699.5916666666667,4
7662,Morocco,499.7083333333333,1
7733,Morocco,449.7375,1
8628,Morocco,949.4458333333333,3
9267,Morocco,9994.166666666666,8
13747,Morocco,1199.3,3
14352,Morocco,449.7375,2
14797,Morocco,1798.95,10
15735,Morocco,1699.0083333333334,5
18201,Morocco,499.7083333333333,2
19304,Morocco,299.825,2
19317,Morocco,1699.0083333333334,6
19900,Morocco,3597.9,11
20674,Morocco,99.94166666666666,4
21077,Morocco,4.997083333333333,2
21129,Morocco,244.85708333333332,1
26492,Morocco,1199.3,4
27203,Morocco,99.94166666666666,6
27721,Morocco,8994.75,10
28510,Morocco,1699.0083333333334,4
28672,Morocco,2098.7749999999996,17
28977,Morocco,69.95916666666666,4
29067,Morocco,2298.6583333333333,4
29635,Morocco,249.85416666666666,2
30143,Morocco,899.475,3
30250,Morocco,13492.125,1
32672,Morocco,599.65,6
34141,Morocco,1049.3874999999998,3
34534,Morocco,1798.95,8
37767,Morocco,29.9825,15
37774,Morocco,19988.333333333332,5
38916,Morocco,1299.2416666666666,3
43480,Morocco,949.4458333333333,4
45713,Morocco,599.65,1
49684,Morocco,299.825,1
50261,Morocco,949.4458333333333,2
51513,Morocco,149.9125,6
52282,Morocco,1249.2708333333333,1
53951,Morocco,1699.0083333333334,4
54312,Morocco,589.6558333333332,7
59309,Morocco,3997.6666666666665,7
60909,Morocco,1998.8333333333333,8
61590,Morocco,11993.0,7
62074,Morocco,749.5625,1
62362,Morocco,599.65,2
64008,Morocco,1499.125,2
65232,Morocco,999.4166666666666,1
68889,Morocco,1998.8333333333333,3
69001,Morocco,1099.3583333333333,2
69447,Morocco,1499.125,4
69840,Morocco,119.93,1
73082,Morocco,4497.375,9
73573,Morocco,349.79583333333335,2
76770,Morocco,1399.1833333333334,10
79891,Morocco,399.76666666666665,2
79912,Morocco,1049.3874999999998,2
