,Country,Monthly_Sal_EUR,YearsCodePro
64,Netherlands,5824.372759856633,4.0
212,Netherlands,2688.17204301075,5.0
232,Netherlands,4838.709677419358,10.0
314,Netherlands,3951.6129032258086,11.0
402,Netherlands,5591.397849462366,7.0
613,Netherlands,3315.412186379925,8.0
1365,Netherlands,5376.344086021508,20.0
1373,Netherlands,4480.2867383512585,8.0
1416,Netherlands,3994.6236559139747,11.0
1715,Netherlands,5376.344086021508,7.0
1732,Netherlands,2688.17204301075,2.0
1867,Netherlands,7168.458781362007,8.0
1908,Netherlands,5376.344086021508,6.0
3181,Netherlands,2777.7777777777746,1.0
3342,Netherlands,7168.458781362007,9.0
3454,Netherlands,806.4516129032259,1.0
3511,Netherlands,2673.1182795698915,3.0
3621,Netherlands,5645.161290322583,20.0
3649,Netherlands,4139.7849462365575,5.0
3772,Netherlands,5824.372759856633,5.0
3841,Netherlands,2688.17204301075,2.0
3857,Netherlands,5376.344086021508,6.0
3956,Netherlands,4928.315412186383,5.0
4025,Netherlands,2240.1433691756247,2.0
4087,Netherlands,6057.3476702509,20.0
4155,Netherlands,342.7419354838708,4.0
4188,Netherlands,7616.487455197133,12.0
4198,Netherlands,2365.591397849458,5.0
4261,Netherlands,3172.0430107526918,3.0
4388,Netherlands,6022.401433691758,20.0
4480,Netherlands,3225.8064516128998,4.0
4715,Netherlands,4086.0215053763413,4.0
4729,Netherlands,8064.5161290322585,16.0
4871,Netherlands,2365.591397849458,1.0
5180,Netherlands,2956.9892473118252,4.0
5242,Netherlands,2777.7777777777746,3.0
5319,Netherlands,3942.6523297490994,9.0
5789,Netherlands,12544.8028673835,15.0
5880,Netherlands,6720.430107526883,20.0
5952,Netherlands,2508.9605734767,1.0
6266,Netherlands,5600.358422939066,9.0
7380,Netherlands,5376.344086021508,19.0
7476,Netherlands,5555.555555555558,3.0
7994,Netherlands,7885.304659498208,20.0
8058,Netherlands,3046.59498207885,4.0
8420,Netherlands,5161.290322580641,16.0
8519,Netherlands,250.89605734767,2.0
8589,Netherlands,2419.354838709675,2.0
8743,Netherlands,6272.401433691758,14.0
8856,Netherlands,6989.247311827958,20.0
9151,Netherlands,2956.9892473118252,1.0
9720,Netherlands,4301.0752688172,19.0
9926,Netherlands,3763.4408602150497,2.0
10566,Netherlands,4077.0609318996417,6.0
10596,Netherlands,5125.448028673833,5.0
10731,Netherlands,4543.010752688175,9.0
10748,Netherlands,4121.86379928315,16.0
11426,Netherlands,5555.555555555558,11.0
11961,Netherlands,5376.344086021508,15.0
11967,Netherlands,4032.258064516125,9.0
12257,Netherlands,5225.8064516129,17.0
12310,Netherlands,4928.315412186383,14.0
12367,Netherlands,6362.007168458783,5.0
12649,Netherlands,4749.103942652333,20.0
12766,Netherlands,3001.7921146953418,10.0
13067,Netherlands,3405.01792114695,2.0
13582,Netherlands,4838.709677419358,9.0
13639,Netherlands,5017.9211469534075,10.0
14427,Netherlands,4838.709677419358,12.0
14482,Netherlands,4838.709677419358,7.0
14528,Netherlands,3584.2293906809996,10.0
14853,Netherlands,3333.333333333333,12.0
14890,Netherlands,3136.200716845875,19.0
15387,Netherlands,5806.4516129032245,3.0
15460,Netherlands,4480.2867383512585,7.0
15628,Netherlands,4838.709677419358,11.0
15644,Netherlands,3405.01792114695,1.0
15649,Netherlands,5555.555555555558,9.0
15686,Netherlands,4361.290322580641,8.0
15784,Netherlands,3763.4408602150497,9.0
16951,Netherlands,2956.9892473118252,1.0
17720,Netherlands,6451.612903225808,4.0
17866,Netherlands,1612.9032258064499,3.0
18072,Netherlands,4480.2867383512585,6.0
18507,Netherlands,5824.372759856633,18.0
18655,Netherlands,4978.67383512545,10.0
18902,Netherlands,6272.401433691758,20.0
19045,Netherlands,3584.2293906809996,3.0
20036,Netherlands,4301.0752688172,19.0
20428,Netherlands,2688.17204301075,5.0
20444,Netherlands,3315.412186379925,5.0
20456,Netherlands,4838.709677419358,15.0
20674,Netherlands,2867.3835125447995,4.0
20815,Netherlands,1881.7204301075249,1.0
21151,Netherlands,5376.344086021508,14.0
21892,Netherlands,3942.6523297490994,8.0
22074,Netherlands,3136.200716845875,15.0
22518,Netherlands,6317.204301075266,14.0
22526,Netherlands,3853.0465949820746,1.0
24758,Netherlands,3584.2293906809996,3.0
26736,Netherlands,6048.387096774191,8.0
27694,Netherlands,2096.774193548383,3.0
28637,Netherlands,152.3297491039425,2.0
29072,Netherlands,3333.333333333333,3.0
30496,Netherlands,4211.469534050175,4.0
30979,Netherlands,5062.724014336916,7.0
31073,Netherlands,3136.200716845875,4.0
31082,Netherlands,4366.487455197133,8.0
32022,Netherlands,4569.892473118274,14.0
32161,Netherlands,5107.526881720433,9.0
32348,Netherlands,5107.526881720433,9.0
32385,Netherlands,183.69175627240168,4.0
32535,Netherlands,5322.580645161292,4.0
32563,Netherlands,2688.17204301075,1.0
32603,Netherlands,6272.401433691758,3.0
32645,Netherlands,2508.9605734767,1.0
32732,Netherlands,244.3548387096775,2.0
33537,Netherlands,2365.591397849458,1.0
33615,Netherlands,3584.2293906809996,12.0
34115,Netherlands,6093.189964157708,20.0
34118,Netherlands,3136.200716845875,2.0
34210,Netherlands,3225.8064516128998,10.0
34312,Netherlands,4749.103942652333,20.0
34562,Netherlands,4659.498207885308,18.0
34651,Netherlands,4301.0752688172,20.0
34971,Netherlands,6720.430107526883,14.0
36027,Netherlands,5161.290322580641,7.0
36125,Netherlands,2867.3835125447995,3.0
36415,Netherlands,5107.526881720433,10.0
37380,Netherlands,8064.5161290322585,20.0
37393,Netherlands,6048.387096774191,13.0
37619,Netherlands,5555.555555555558,9.0
38030,Netherlands,3763.4408602150497,2.0
38370,Netherlands,4480.2867383512585,12.0
38510,Netherlands,2240.1433691756247,3.0
39479,Netherlands,3584.2293906809996,1.0
39568,Netherlands,2688.17204301075,10.0
39946,Netherlands,4928.315412186383,9.0
39981,Netherlands,2240.1433691756247,3.0
40420,Netherlands,2849.4623655914,3.0
40454,Netherlands,7347.670250896059,20.0
40468,Netherlands,6720.430107526883,17.0
40647,Netherlands,4301.0752688172,10.0
40698,Netherlands,4569.892473118274,8.0
40717,Netherlands,716.8458781362008,1.0
40832,Netherlands,3584.2293906809996,2.0
40872,Netherlands,5913.978494623658,8.0
40951,Netherlands,3405.01792114695,5.0
41158,Netherlands,4323.476702508959,7.0
41209,Netherlands,2526.881720430108,3.0
41350,Netherlands,3673.835125448025,11.0
41372,Netherlands,331.5412186379925,4.0
41444,Netherlands,5107.526881720433,7.0
41664,Netherlands,4775.985663082432,7.0
41934,Netherlands,3046.59498207885,2.0
42317,Netherlands,3010.7526881720414,8.0
42333,Netherlands,232.97491039426498,2.0
42820,Netherlands,2096.774193548383,3.0
42823,Netherlands,2446.236559139783,2.0
42829,Netherlands,224.01433691756247,4.0
43021,Netherlands,2867.3835125447995,6.0
43124,Netherlands,2150.5376344086,2.0
43161,Netherlands,6451.612903225808,12.0
43340,Netherlands,2240.1433691756247,2.0
43351,Netherlands,2688.17204301075,4.0
43390,Netherlands,3494.6236559139747,2.0
43714,Netherlands,2526.881720430108,2.0
43986,Netherlands,6630.824372759858,20.0
44034,Netherlands,2777.7777777777746,1.0
44763,Netherlands,5824.372759856633,15.0
44959,Netherlands,2688.17204301075,1.0
45151,Netherlands,1827.9569892473082,2.0
45339,Netherlands,3942.6523297490994,3.0
45573,Netherlands,5913.978494623658,5.0
45586,Netherlands,3225.8064516128998,4.0
45725,Netherlands,4233.870967741933,10.0
45770,Netherlands,3584.2293906809996,6.0
45797,Netherlands,4296.774193548383,11.0
46127,Netherlands,2240.1433691756247,1.0
46183,Netherlands,2777.7777777777746,3.0
46198,Netherlands,6451.612903225808,9.0
46301,Netherlands,2580.6451612903247,1.0
46328,Netherlands,3225.8064516128998,4.0
46606,Netherlands,9856.630824372749,20.0
47072,Netherlands,3046.59498207885,5.0
47641,Netherlands,1120.0716845878167,1.0
47736,Netherlands,3942.562724014333,6.0
47814,Netherlands,7616.487455197133,15.0
48728,Netherlands,2956.9892473118252,3.0
48752,Netherlands,4659.498207885308,2.0
48791,Netherlands,4838.709677419358,6.0
48856,Netherlands,4928.315412186383,18.0
48898,Netherlands,4301.0752688172,3.0
49005,Netherlands,4301.0752688172,8.0
49058,Netherlands,4032.258064516125,3.0
49125,Netherlands,5161.290322580641,18.0
49392,Netherlands,2508.9605734767,4.0
49621,Netherlands,3136.200716845875,3.0
49654,Netherlands,3584.2293906809996,8.0
49885,Netherlands,5376.344086021508,9.0
50346,Netherlands,3387.0967741935497,2.0
50440,Netherlands,3763.4408602150497,8.0
50720,Netherlands,3870.9677419354834,8.0
50996,Netherlands,4928.315412186383,11.0
51258,Netherlands,4480.2867383512585,11.0
51371,Netherlands,6182.795698924733,5.0
