,Country,Monthly_Sal_EUR,EdLevel
294,Netherlands,4036.8437999999996,Bachelor's degree
435,Netherlands,4403.8296,Master's degree
436,Netherlands,5137.8012,Bachelor's degree
447,Netherlands,4110.0010999999995,college/university without bachelor's degree
508,Netherlands,6018.0874,Master's degree
664,Netherlands,7950.559466666667,Master's degree
736,Netherlands,4403.8296,Bachelor's degree
753,Netherlands,4110.0010999999995,Secondary school
768,Netherlands,2446.3721166666664,college/university without bachelor's degree
773,Netherlands,5504.287291666666,Bachelor's degree
848,Netherlands,3669.858,Master's degree
933,Netherlands,6458.2305,Master's degree
977,Netherlands,660.8143,Secondary school
1066,Netherlands,5137.301491666667,Bachelor's degree
1152,Netherlands,2753.3929166666667,Associate degree
1300,Netherlands,4843.9727,Bachelor's degree
1315,Netherlands,4892.6442916666665,college/university without bachelor's degree
1333,Netherlands,19570.577166666666,Master's degree
1349,Netherlands,6164.402,Bachelor's degree
1761,Netherlands,3522.3441000000003,Associate degree
1799,Netherlands,5284.1158,Bachelor's degree
1884,Netherlands,3260.8967,Master's degree
2152,Netherlands,6018.0874,Bachelor's degree
2198,Netherlands,4403.429833333334,Master's degree
2257,Netherlands,733.9716,Bachelor's degree
2276,Netherlands,8806.4599,Doctoral degree
2341,Netherlands,5993.50175,Professional degree
2394,Netherlands,6727.373408333333,Master's degree
2417,Netherlands,4892.6442916666665,college/university without bachelor's degree
2446,Netherlands,2877.1207,Master's degree
2481,Netherlands,4439.8086,Bachelor's degree
2651,Netherlands,7645.537499999999,Secondary school
2937,Netherlands,3082.201,Bachelor's degree
3130,Netherlands,4110.0010999999995,college/university without bachelor's degree
3152,Netherlands,5871.7728,Bachelor's degree
3421,Netherlands,4550.1442,Master's degree
3545,Netherlands,3962.4872,Bachelor's degree
3616,Netherlands,5137.8012,Bachelor's degree
3633,Netherlands,4403.8296,college/university without bachelor's degree
3638,Netherlands,6238.158949999999,Bachelor's degree
3744,Netherlands,6727.373408333333,Bachelor's degree
3876,Netherlands,2595.2852,college/university without bachelor's degree
3967,Netherlands,7338.5167,Master's degree
3986,Netherlands,4990.2873,college/university without bachelor's degree
4024,Netherlands,8806.4599,Master's degree
4049,Netherlands,3816.1726,Bachelor's degree
4081,Netherlands,6348.194724999999,Bachelor's degree
4210,Netherlands,11864.6749,Bachelor's degree
4325,Netherlands,1027.8001,Bachelor's degree
4552,Netherlands,3229.7149,college/university without bachelor's degree
4827,Netherlands,3522.3441000000003,Bachelor's degree
4868,Netherlands,4892.6442916666665,Bachelor's degree
4927,Netherlands,2935.8864,college/university without bachelor's degree
4971,Netherlands,3057.915175,Bachelor's degree
5019,Netherlands,4403.8296,Bachelor's degree
5021,Netherlands,2568.9006,Master's degree
5027,Netherlands,9296.074125,Professional degree
5289,Netherlands,8562.102524999998,Bachelor's degree
5306,Netherlands,4403.8296,Bachelor's degree
5446,Netherlands,7338.5167,Secondary school
5545,Netherlands,5724.258900000001,Bachelor's degree
5592,Netherlands,5284.1158,Secondary school
5692,Netherlands,3302.8722,Bachelor's degree
5709,Netherlands,2201.9148,Bachelor's degree
5780,Netherlands,2642.0579,Bachelor's degree
5787,Netherlands,3229.7149,Bachelor's degree
5890,Netherlands,4597.116783333333,Bachelor's degree
5996,Netherlands,7999.331,Bachelor's degree
6034,Netherlands,263.846,Secondary school
6049,Netherlands,7300.538866666667,Master's degree
6210,Netherlands,6727.373408333333,Bachelor's degree
6235,Netherlands,7950.559466666667,Master's degree
6238,Netherlands,4843.9727,Master's degree
6360,Netherlands,3743.0153,Bachelor's degree
