,Country,Monthly_Sal_EUR,EdLevel
127,New Zealand,5994.501166666666,Bachelor's degree
687,New Zealand,9379.825241666666,college/university without bachelor's degree
1237,New Zealand,6719.877783333333,Secondary school
1459,New Zealand,7669.423558333333,Master's degree
2176,New Zealand,10225.83145,Master's degree
2635,New Zealand,1918.88,Secondary school
2780,New Zealand,10006.659375,Bachelor's degree
2884,New Zealand,6573.763066666666,Master's degree
2960,New Zealand,8764.984108333334,Bachelor's degree
3018,New Zealand,7158.121991666667,Bachelor's degree
3281,New Zealand,5478.102574999999,college/university without bachelor's degree
3423,New Zealand,7231.079408333333,Bachelor's degree
3801,New Zealand,6208.576216666666,Doctoral degree
3955,New Zealand,3798.1831,Bachelor's degree
4134,New Zealand,6938.9499166666665,Doctoral degree
4529,New Zealand,7992.634908333333,Master's degree
5962,New Zealand,5195.267658333333,Bachelor's degree
6158,New Zealand,8399.797258333332,college/university without bachelor's degree
7252,New Zealand,2848.637325,college/university without bachelor's degree
7464,New Zealand,3980.7765249999998,Bachelor's degree
8696,New Zealand,7304.1367666666665,Bachelor's degree
8846,New Zealand,4163.36995,Bachelor's degree
8885,New Zealand,6553.974616666666,college/university without bachelor's degree
9006,New Zealand,3652.0683833333333,Bachelor's degree
9026,New Zealand,5478.102574999999,Bachelor's degree
9393,New Zealand,3871.2404583333337,Bachelor's degree
9514,New Zealand,6208.576216666666,Bachelor's degree
9571,New Zealand,5478.102574999999,Secondary school
9583,New Zealand,3505.5539,Bachelor's degree
10083,New Zealand,7304.1367666666665,Bachelor's degree
10285,New Zealand,8399.797258333332,Bachelor's degree
11394,New Zealand,7158.121991666667,college/university without bachelor's degree
12128,New Zealand,3944.297816666666,Bachelor's degree
12378,New Zealand,5112.915725,Bachelor's degree
12512,New Zealand,4017.6549999999997,Bachelor's degree
12640,New Zealand,3798.1831,Bachelor's degree
12668,New Zealand,7304.1367666666665,Bachelor's degree
12813,New Zealand,4747.728875,Bachelor's degree
12877,New Zealand,6792.8351999999995,Bachelor's degree
12880,New Zealand,5112.915725,college/university without bachelor's degree
13014,New Zealand,4236.427308333334,Bachelor's degree
13263,New Zealand,6208.576216666666,Bachelor's degree
13550,New Zealand,8764.984108333334,Master's degree
13727,New Zealand,9495.45775,Bachelor's degree
13789,New Zealand,7193.4014,Bachelor's degree
13836,New Zealand,4017.2552333333333,Bachelor's degree
14389,New Zealand,9495.45775,Master's degree
14702,New Zealand,3652.0683833333333,college/university without bachelor's degree
14728,New Zealand,8034.610408333334,Bachelor's degree
