,Country,Monthly_Sal_EUR,YearsCodePro
5888,Nicaragua,69.95916666666666,2
16488,Nicaragua,169.9008333333333,6
16801,Nicaragua,79.95333333333333,3
18074,Nicaragua,299.825,4
18078,Nicaragua,8195.216666666667,10
18444,Nicaragua,3497.958333333333,5
19351,Nicaragua,192.88741666666664,11
25063,Nicaragua,1199.3,1
25156,Nicaragua,6196.383333333333,13
26320,Nicaragua,349.79583333333335,10
27776,Nicaragua,179.895,9
29277,Nicaragua,29.9825,20
30125,Nicaragua,31.981333333333332,2
36202,Nicaragua,1798.95,10
36256,Nicaragua,989.4224999999999,1
36297,Nicaragua,139.91833333333332,11
36494,Nicaragua,99.94166666666666,3
39657,Nicaragua,1599.0666666666666,4
39829,Nicaragua,89.9475,3
49163,Nicaragua,9494.458333333332,12
57250,Nicaragua,1199.3,2
59296,Nicaragua,29.9825,20
