,Country,Monthly_Sal_EUR,YearsCodePro
203,Nigeria,7995.333333333333,3
685,Nigeria,4997.083333333333,1
909,Nigeria,3997.6666666666665,1
1646,Nigeria,3997.6666666666665,3
2388,Nigeria,219.87166666666667,4
2609,Nigeria,1499.125,1
3969,Nigeria,9994.166666666666,3
8305,Nigeria,8994.75,3
8422,Nigeria,14991.25,3
9554,Nigeria,9994.166666666666,2
9795,Nigeria,4997.083333333333,2
12538,Nigeria,4997.083333333333,1
13949,Nigeria,19988.333333333332,4
15142,Nigeria,13991.833333333332,1
16208,Nigeria,4997.083333333333,2
16488,Nigeria,9994.166666666666,1
17091,Nigeria,7.995333333333333,2
17302,Nigeria,18988.916666666664,4
17599,Nigeria,5996.5,2
18662,Nigeria,17989.5,2
19837,Nigeria,49.97083333333333,2
20587,Nigeria,9994.166666666666,1
20973,Nigeria,17.289908333333333,2
22017,Nigeria,93.94516666666667,3
24373,Nigeria,15990.666666666666,4
26235,Nigeria,7995.333333333333,3
27741,Nigeria,99.94166666666666,1
27979,Nigeria,11993.0,1
30702,Nigeria,4997.083333333333,3
31160,Nigeria,499.7083333333333,6
32190,Nigeria,14991.25,3
32282,Nigeria,152.011275,3
32782,Nigeria,11993.0,1
34257,Nigeria,5996.5,1
36619,Nigeria,3997.6666666666665,3
39560,Nigeria,17989.5,4
40343,Nigeria,14991.25,5
41068,Nigeria,15112.279358333333,2
42894,Nigeria,19988.333333333332,3
43142,Nigeria,14991.25,12
43596,Nigeria,11993.0,4
45472,Nigeria,14991.25,4
46325,Nigeria,10793.7,1
47463,Nigeria,4997.083333333333,3
47784,Nigeria,7995.333333333333,1
48320,Nigeria,4997.083333333333,3
48654,Nigeria,9994.166666666666,1
49462,Nigeria,9994.166666666666,1
49620,Nigeria,17989.5,5
49753,Nigeria,5996.5,2
50141,Nigeria,19988.333333333332,6
50169,Nigeria,415.05774166666663,3
51314,Nigeria,17929.535,1
51640,Nigeria,4997.083333333333,1
53156,Nigeria,8994.75,2
53456,Nigeria,11993.0,2
53703,Nigeria,7495.625,1
53767,Nigeria,17989.5,3
54546,Nigeria,3997.6666666666665,5
55300,Nigeria,499.7083333333333,1
55350,Nigeria,9994.166666666666,6
55854,Nigeria,8495.041666666666,1
55963,Nigeria,9994.166666666666,2
58183,Nigeria,4497.375,3
58296,Nigeria,18489.208333333332,4
58925,Nigeria,4997.083333333333,5
60518,Nigeria,14991.25,2
60798,Nigeria,10793.7,4
61025,Nigeria,5996.5,4
61675,Nigeria,9994.166666666666,2
61737,Nigeria,7995.333333333333,2
61911,Nigeria,19988.333333333332,4
64299,Nigeria,99.94166666666666,3
64818,Nigeria,79.95333333333333,2
67161,Nigeria,19788.449999999997,3
67892,Nigeria,14991.25,2
67954,Nigeria,4997.083333333333,1
68715,Nigeria,79.95333333333333,5
68972,Nigeria,7995.333333333333,3
69345,Nigeria,9994.166666666666,1
69418,Nigeria,14991.25,1
69629,Nigeria,9994.166666666666,1
70290,Nigeria,9994.166666666666,2
71791,Nigeria,14991.25,1
72171,Nigeria,2498.5416666666665,2
72838,Nigeria,5496.791666666666,1
73431,Nigeria,8894.808333333332,3
73437,Nigeria,3198.133333333333,1
73681,Nigeria,199.88333333333333,1
74296,Nigeria,19988.333333333332,2
74590,Nigeria,10993.583333333332,3
74928,Nigeria,14991.25,2
75620,Nigeria,3997.6666666666665,3
76702,Nigeria,9.994166666666667,2
77260,Nigeria,4997.083333333333,1
77661,Nigeria,3497.958333333333,3
78906,Nigeria,2198.7166666666667,1
82226,Nigeria,4997.083333333333,1
82572,Nigeria,16990.083333333332,1
82896,Nigeria,11993.0,1
84179,Nigeria,1978.8449999999998,4
84441,Nigeria,11993.0,9
85396,Nigeria,9994.166666666666,4
85648,Nigeria,14991.25,5
85940,Nigeria,499.7083333333333,2
86016,Nigeria,4997.083333333333,1
86379,Nigeria,19988.333333333332,1
87627,Nigeria,4997.083333333333,1
