,Country,Monthly_Sal_EUR,EdLevel
252,Nigeria,19988.333333333332,college/university without bachelor's degree
958,Nigeria,4997.083333333333,Bachelor's degree
7204,Nigeria,12692.591666666667,Bachelor's degree
8643,Nigeria,19988.333333333332,Associate degree
11882,Nigeria,9994.166666666666,college/university without bachelor's degree
12051,Nigeria,9994.166666666666,Bachelor's degree
12201,Nigeria,6995.916666666666,Bachelor's degree
12736,Nigeria,2998.25,Primary/elementary school
13275,Nigeria,19988.333333333332,Bachelor's degree
13732,Nigeria,19988.333333333332,college/university without bachelor's degree
13777,Nigeria,17929.535,Bachelor's degree
13829,Nigeria,11993.0,Bachelor's degree
13905,Nigeria,14991.25,Bachelor's degree
14064,Nigeria,6995.916666666666,Bachelor's degree
15128,Nigeria,5996.5,Bachelor's degree
15682,Nigeria,6496.208333333333,Bachelor's degree
15779,Nigeria,3286.0820000000003,Bachelor's degree
16423,Nigeria,12792.533333333333,Master's degree
17448,Nigeria,14991.25,Bachelor's degree
17648,Nigeria,4997.083333333333,Bachelor's degree
17889,Nigeria,19988.333333333332,Master's degree
18425,Nigeria,3997.6666666666665,Bachelor's degree
18635,Nigeria,14991.25,Bachelor's degree
19529,Nigeria,4997.083333333333,Secondary school
19624,Nigeria,4997.083333333333,college/university without bachelor's degree
20102,Nigeria,6995.916666666666,Bachelor's degree
20256,Nigeria,14991.25,Bachelor's degree
20309,Nigeria,359.79,Bachelor's degree
20927,Nigeria,19988.333333333332,Bachelor's degree
21311,Nigeria,14991.25,Bachelor's degree
21536,Nigeria,2998.25,Bachelor's degree
21634,Nigeria,19988.333333333332,Bachelor's degree
22041,Nigeria,4997.083333333333,college/university without bachelor's degree
22353,Nigeria,10993.583333333332,Bachelor's degree
22510,Nigeria,199.88333333333333,Bachelor's degree
22882,Nigeria,19988.333333333332,Bachelor's degree
25633,Nigeria,17489.791666666664,Bachelor's degree
27047,Nigeria,9494.458333333332,Secondary school
27989,Nigeria,19988.333333333332,Secondary school
29015,Nigeria,6995.916666666666,Bachelor's degree
29040,Nigeria,5996.5,college/university without bachelor's degree
29395,Nigeria,6995.916666666666,Bachelor's degree
29936,Nigeria,14991.25,college/university without bachelor's degree
30052,Nigeria,14991.25,Associate degree
30684,Nigeria,4997.083333333333,Bachelor's degree
31453,Nigeria,19988.333333333332,Bachelor's degree
33461,Nigeria,2998.25,Associate degree
34758,Nigeria,539.2852333333333,Bachelor's degree
39568,Nigeria,5896.5583333333325,Bachelor's degree
39601,Nigeria,19988.333333333332,Master's degree
41594,Nigeria,19.988333333333333,Secondary school
41724,Nigeria,1499.125,Secondary school
42872,Nigeria,2998.25,Bachelor's degree
44055,Nigeria,3497.958333333333,Secondary school
47006,Nigeria,9994.166666666666,Bachelor's degree
47693,Nigeria,2998.25,Bachelor's degree
50665,Nigeria,17989.5,Bachelor's degree
50723,Nigeria,1499.125,Bachelor's degree
53198,Nigeria,14991.25,Bachelor's degree
53986,Nigeria,4997.083333333333,Bachelor's degree
54794,Nigeria,14991.25,Bachelor's degree
55157,Nigeria,4497.375,Bachelor's degree
55171,Nigeria,9994.166666666666,college/university without bachelor's degree
55247,Nigeria,9994.166666666666,Bachelor's degree
55277,Nigeria,12992.416666666666,Bachelor's degree
55412,Nigeria,11993.0,Bachelor's degree
55632,Nigeria,4997.083333333333,Bachelor's degree
55653,Nigeria,9994.166666666666,Bachelor's degree
55789,Nigeria,9994.166666666666,Bachelor's degree
55902,Nigeria,1998.8333333333333,Bachelor's degree
55929,Nigeria,13492.125,Bachelor's degree
56011,Nigeria,14991.25,Bachelor's degree
56181,Nigeria,69.95916666666666,Bachelor's degree
56398,Nigeria,2998.25,college/university without bachelor's degree
56488,Nigeria,3997.6666666666665,Secondary school
56799,Nigeria,11993.0,Bachelor's degree
56862,Nigeria,7995.333333333333,Associate degree
56886,Nigeria,4997.083333333333,college/university without bachelor's degree
57101,Nigeria,7995.333333333333,Bachelor's degree
57654,Nigeria,11993.0,Bachelor's degree
57661,Nigeria,19988.333333333332,Bachelor's degree
57678,Nigeria,119.93,Bachelor's degree
57831,Nigeria,6995.916666666666,Bachelor's degree
58266,Nigeria,99.94166666666666,Associate degree
58346,Nigeria,2198.7166666666667,Bachelor's degree
58509,Nigeria,19988.333333333332,Bachelor's degree
59108,Nigeria,4497.375,Bachelor's degree
59414,Nigeria,4997.083333333333,Bachelor's degree
59512,Nigeria,9994.166666666666,Bachelor's degree
59799,Nigeria,17090.025,Bachelor's degree
59839,Nigeria,9994.166666666666,Bachelor's degree
59855,Nigeria,19988.333333333332,Master's degree
60242,Nigeria,349.79583333333335,college/university without bachelor's degree
61832,Nigeria,94.94458333333333,Bachelor's degree
62851,Nigeria,19988.333333333332,Bachelor's degree
62956,Nigeria,29.9825,Bachelor's degree
63081,Nigeria,4997.083333333333,Bachelor's degree
64142,Nigeria,2998.25,Secondary school
