,Country,Monthly_Sal_EUR,EdLevel
970,Nomadic,3597.9,Master's degree
2251,Nomadic,10993.583333333332,Master's degree
10974,Nomadic,299.825,college/university without bachelor's degree
12282,Nomadic,9094.691666666666,college/university without bachelor's degree
14748,Nomadic,181.89383333333333,Bachelor's degree
18897,Nomadic,14341.629166666668,Master's degree
24607,Nomadic,4997.083333333333,Bachelor's degree
33652,Nomadic,9494.458333333332,Master's degree
34296,Nomadic,3497.958333333333,Bachelor's degree
48371,Nomadic,299.825,Bachelor's degree
56505,Nomadic,199.88333333333333,Master's degree
