,Country,Monthly_Sal_EUR,EdLevel
1639,Norway,15490.958333333332,Master's degree
2640,Norway,3997.6666666666665,Bachelor's degree
2792,Norway,8994.75,Master's degree
7549,Norway,4997.083333333333,Bachelor's degree
8420,Norway,7295.741666666667,Master's degree
9184,Norway,8495.041666666666,Master's degree
11391,Norway,4897.141666666666,Master's degree
11609,Norway,4997.083333333333,Master's degree
11854,Norway,9994.166666666666,Master's degree
14513,Norway,10993.583333333332,Bachelor's degree
15047,Norway,77.9545,Master's degree
16645,Norway,4497.375,Master's degree
18916,Norway,4577.328333333333,college/university without bachelor's degree
21077,Norway,9994.166666666666,Bachelor's degree
21210,Norway,999.4166666666666,Master's degree
21873,Norway,3198.133333333333,college/university without bachelor's degree
22256,Norway,13991.833333333332,Secondary school
22277,Norway,2398.6,Secondary school
28972,Norway,3539.634008333333,college/university without bachelor's degree
29098,Norway,2698.425,Bachelor's degree
31613,Norway,9694.341666666667,college/university without bachelor's degree
39433,Norway,4497.375,Master's degree
44253,Norway,4197.549999999999,Bachelor's degree
47310,Norway,3797.7833333333333,Bachelor's degree
50470,Norway,619.6383333333333,Master's degree
51559,Norway,1199.3,Secondary school
52539,Norway,4397.433333333333,Bachelor's degree
55188,Norway,3997.6666666666665,college/university without bachelor's degree
55424,Norway,3497.958333333333,Doctoral degree
56050,Norway,4077.62,Bachelor's degree
59351,Norway,6596.15,Master's degree
59808,Norway,587.6569999999999,Primary/elementary school
61449,Norway,12992.416666666666,Master's degree
61520,Norway,6995.916666666666,Bachelor's degree
