,Country,Monthly_Sal_EUR,EdLevel
5166,Other Country (Not Listed Above),689.5975,Bachelor's degree
8378,Other Country (Not Listed Above),5137.8012,Bachelor's degree
16534,Other Country (Not Listed Above),953.4435,college/university without bachelor's degree
17167,Other Country (Not Listed Above),620.0381,Bachelor's degree
17736,Other Country (Not Listed Above),3058.215,Bachelor's degree
18861,Other Country (Not Listed Above),3302.572375,Bachelor's degree
19613,Other Country (Not Listed Above),2638.46,Bachelor's degree
20904,Other Country (Not Listed Above),4990.2873,Master's degree
22108,Other Country (Not Listed Above),12492.708333333332,Master's degree
23564,Other Country (Not Listed Above),3748.2122666666664,Secondary school
25296,Other Country (Not Listed Above),1663.4290999999998,Bachelor's degree
26083,Other Country (Not Listed Above),8329.338383333332,Master's degree
27289,Other Country (Not Listed Above),1467.9432,Master's degree
29620,Other Country (Not Listed Above),3997.6666666666665,college/university without bachelor's degree
32628,Other Country (Not Listed Above),1764.1703,Secondary school
33510,Other Country (Not Listed Above),7163.418900000001,Doctoral degree
34378,Other Country (Not Listed Above),6496.208333333333,Bachelor's degree
35291,Other Country (Not Listed Above),2788.772266666667,Master's degree
41901,Other Country (Not Listed Above),10793.7,Master's degree
46104,Other Country (Not Listed Above),9594.4,Bachelor's degree
46763,Other Country (Not Listed Above),5997.6993,Bachelor's degree
49595,Other Country (Not Listed Above),1247.272,Bachelor's degree
51340,Other Country (Not Listed Above),7912.881458333333,Bachelor's degree
59907,Other Country (Not Listed Above),10.993583333333333,Bachelor's degree
61405,Other Country (Not Listed Above),2038.81,college/university without bachelor's degree
67070,Other Country (Not Listed Above),16790.199999999997,Bachelor's degree
67874,Other Country (Not Listed Above),5830.596833333333,Master's degree
70739,Other Country (Not Listed Above),6096.441666666667,Master's degree
71247,Other Country (Not Listed Above),3936.1026,Master's degree
74625,Other Country (Not Listed Above),4797.2,Bachelor's degree
78251,Other Country (Not Listed Above),2336.2364,Bachelor's degree
78779,Other Country (Not Listed Above),2642.0579,Master's degree
79492,Other Country (Not Listed Above),16658.277,Bachelor's degree
84196,Other Country (Not Listed Above),1027.8001,Bachelor's degree
85716,Other Country (Not Listed Above),694.5945833333333,Bachelor's degree
87824,Other Country (Not Listed Above),0.09994166666666666,No formal education
