,Country,Monthly_Sal_EUR,YearsCodePro
1480,Panama,11993.0,17
12910,Panama,99.94166666666666,1
19728,Panama,349.79583333333335,16
23207,Panama,5996.5,25
25391,Panama,149.9125,4
29644,Panama,5996.5,5
34094,Panama,279.83666666666664,11
34528,Panama,149.9125,15
36164,Panama,1998.8333333333333,11
54916,Panama,3997.6666666666665,12
63299,Panama,18988.916666666664,32
67280,Panama,199.88333333333333,8
67642,Panama,184.89208333333332,15
67725,Panama,234.86291666666665,4
68040,Panama,19.988333333333333,3
69033,Panama,1299.2416666666666,2
72728,Panama,2638.46,9
73248,Panama,3198.133333333333,5
73593,Panama,219.87166666666667,13
77683,Panama,11493.291666666666,13
79425,Panama,249.85416666666666,6
81820,Panama,149.9125,3
86701,Panama,99.94166666666666,1
