,Country,Monthly_Sal_EUR,EdLevel
2105,Panama,4797.2,Associate degree
7348,Panama,139.91833333333332,Professional degree
9888,Panama,13492.125,Secondary school
18665,Panama,1712.4005166666666,Bachelor's degree
22308,Panama,99.94166666666666,college/university without bachelor's degree
27726,Panama,329.8075,Bachelor's degree
28186,Panama,179.895,college/university without bachelor's degree
28187,Panama,119.93,Bachelor's degree
29406,Panama,1299.2416666666666,college/university without bachelor's degree
29528,Panama,64.96208333333334,college/university without bachelor's degree
38257,Panama,3997.6666666666665,Bachelor's degree
38287,Panama,164.90375,college/university without bachelor's degree
40720,Panama,99.94166666666666,college/university without bachelor's degree
40903,Panama,5996.5,college/university without bachelor's degree
47364,Panama,129.92416666666668,college/university without bachelor's degree
50760,Panama,5196.966666666666,Bachelor's degree
50947,Panama,3947.695833333333,Bachelor's degree
51008,Panama,199.88333333333333,Bachelor's degree
53089,Panama,3997.6666666666665,Bachelor's degree
57152,Panama,999.4166666666666,Master's degree
59188,Panama,239.86,Master's degree
74322,Panama,104.93875,Bachelor's degree
77230,Panama,214.8745833333333,Bachelor's degree
80270,Panama,16990.083333333332,college/university without bachelor's degree
