,Country,Monthly_Sal_EUR,EdLevel
884,Peru,5097.025,Bachelor's degree
2532,Peru,379.7783333333333,Bachelor's degree
5909,Peru,149.9125,Bachelor's degree
9046,Peru,199.88333333333333,college/university without bachelor's degree
10000,Peru,87.94866666666667,Bachelor's degree
10369,Peru,11393.35,Master's degree
10630,Peru,599.65,Professional degree
14326,Peru,99.94166666666666,college/university without bachelor's degree
14477,Peru,149.9125,Bachelor's degree
15397,Peru,164.90375,Bachelor's degree
16169,Peru,5996.5,Bachelor's degree
16423,Peru,79.95333333333333,college/university without bachelor's degree
18160,Peru,79.95333333333333,college/university without bachelor's degree
18872,Peru,349.79583333333335,Master's degree
19570,Peru,499.7083333333333,Bachelor's degree
19924,Peru,119.93,Primary/elementary school
21296,Peru,149.9125,Bachelor's degree
22076,Peru,279.83666666666664,Bachelor's degree
29448,Peru,549.6791666666667,Bachelor's degree
30373,Peru,549.6791666666667,No formal education
30421,Peru,149.9125,Associate degree
32695,Peru,274.83958333333334,Professional degree
33996,Peru,119.93,Bachelor's degree
34148,Peru,9594.4,Bachelor's degree
34293,Peru,299.825,Bachelor's degree
34437,Peru,299.825,Bachelor's degree
34602,Peru,249.85416666666666,college/university without bachelor's degree
34916,Peru,249.85416666666666,college/university without bachelor's degree
34988,Peru,6496.208333333333,Bachelor's degree
36777,Peru,1049.3874999999998,college/university without bachelor's degree
38240,Peru,19.988333333333333,Bachelor's degree
38743,Peru,3497.958333333333,Bachelor's degree
39657,Peru,599.65,Master's degree
39891,Peru,1699.0083333333334,Bachelor's degree
41993,Peru,339.8016666666666,Bachelor's degree
42107,Peru,239.86,Bachelor's degree
42238,Peru,499.7083333333333,Bachelor's degree
43213,Peru,99.94166666666666,Secondary school
44522,Peru,699.5916666666667,Master's degree
47937,Peru,749.5625,Bachelor's degree
48638,Peru,1299.2416666666666,Master's degree
49101,Peru,199.88333333333333,Bachelor's degree
50880,Peru,649.6208333333333,college/university without bachelor's degree
51798,Peru,7495.625,college/university without bachelor's degree
52781,Peru,549.6791666666667,college/university without bachelor's degree
53193,Peru,374.78125,Bachelor's degree
53416,Peru,759.5566666666666,Bachelor's degree
53557,Peru,249.85416666666666,Bachelor's degree
53899,Peru,644.62375,college/university without bachelor's degree
54868,Peru,49.97083333333333,college/university without bachelor's degree
56321,Peru,106.03810833333333,college/university without bachelor's degree
56956,Peru,5996.5,Bachelor's degree
57511,Peru,569.6675,Bachelor's degree
59233,Peru,199.88333333333333,Bachelor's degree
60168,Peru,119.93,Associate degree
62301,Peru,6995.916666666666,Bachelor's degree
63115,Peru,299.825,Associate degree
63474,Peru,449.7375,Bachelor's degree
67343,Peru,699.5916666666667,Bachelor's degree
70099,Peru,11993.0,Master's degree
71217,Peru,359.79,Bachelor's degree
71503,Peru,2098.7749999999996,Bachelor's degree
75121,Peru,449.7375,Bachelor's degree
75310,Peru,299.825,college/university without bachelor's degree
75527,Peru,239.86,college/university without bachelor's degree
76696,Peru,399.76666666666665,Bachelor's degree
77333,Peru,389.77250000000004,Bachelor's degree
77536,Peru,229.8658333333333,Associate degree
77648,Peru,729.5741666666665,Professional degree
78384,Peru,59.965,Bachelor's degree
79573,Peru,49.97083333333333,Bachelor's degree
79625,Peru,399.76666666666665,college/university without bachelor's degree
79761,Peru,249.85416666666666,Bachelor's degree
80826,Peru,3497.958333333333,Bachelor's degree
82103,Peru,599.65,Bachelor's degree
82696,Peru,4997.083333333333,Bachelor's degree
84923,Peru,1998.8333333333333,Bachelor's degree
85450,Peru,149.9125,Master's degree
85922,Peru,479.72,college/university without bachelor's degree
86652,Peru,5496.791666666666,Bachelor's degree
