,Country,Monthly_Sal_EUR,YearsCodePro
411,Peru,1599.0666666666666,17
736,Peru,92.94574999999999,2
917,Peru,349.79583333333335,4
2728,Peru,1499.125,2
3044,Peru,119.93,1
3582,Peru,349.79583333333335,8
4147,Peru,99.94166666666666,2
15794,Peru,8994.75,7
17124,Peru,299.825,3
17140,Peru,349.79583333333335,7
17351,Peru,169.9008333333333,6
17447,Peru,415.7573333333333,1
17457,Peru,79.95333333333333,3
17935,Peru,349.79583333333335,1
18061,Peru,249.85416666666666,2
19258,Peru,4197.549999999999,1
19319,Peru,5996.5,7
19477,Peru,999.4166666666666,6
19662,Peru,2498.5416666666665,15
19664,Peru,599.65,3
19915,Peru,199.88333333333333,2
19985,Peru,479.72,3
24172,Peru,749.5625,11
24478,Peru,499.7083333333333,1
24717,Peru,99.94166666666666,5
26262,Peru,4637.293333333333,3
27702,Peru,99.94166666666666,2
30021,Peru,179.895,16
35059,Peru,419.755,6
35830,Peru,149.9125,4
41482,Peru,99.94166666666666,1
41741,Peru,799.5333333333333,6
42124,Peru,449.7375,3
44570,Peru,79.95333333333333,1
44608,Peru,699.5916666666667,5
44974,Peru,134.92125,1
45106,Peru,8994.75,10
48829,Peru,599.65,10
50009,Peru,249.85416666666666,1
50105,Peru,119.93,3
52218,Peru,899.475,10
52525,Peru,229.8658333333333,5
52699,Peru,599.65,5
56766,Peru,199.88333333333333,2
56798,Peru,299.825,3
57229,Peru,19.988333333333333,1
57540,Peru,549.6791666666667,23
59123,Peru,2998.25,4
59272,Peru,199.88333333333333,1
59395,Peru,1199.3,7
60685,Peru,349.79583333333335,2
60691,Peru,829.5158333333334,2
