,Country,Monthly_Sal_EUR,YearsCodePro
70,Philippines,1798.95,1
1907,Philippines,19988.333333333332,9
3140,Philippines,2418.588333333333,3
3965,Philippines,2298.6583333333333,2
4362,Philippines,1499.125,1
5027,Philippines,10493.875,10
5183,Philippines,5996.5,9
5612,Philippines,249.85416666666666,4
6407,Philippines,2498.5416666666665,2
6533,Philippines,9994.166666666666,8
6946,Philippines,1499.125,1
7035,Philippines,4997.083333333333,4
7272,Philippines,9994.166666666666,3
7716,Philippines,4597.316666666667,5
7952,Philippines,7195.8,9
8301,Philippines,7995.333333333333,5
8780,Philippines,5496.791666666666,1
9844,Philippines,3198.133333333333,3
11527,Philippines,6995.916666666666,13
13258,Philippines,7495.625,6
14797,Philippines,8994.75,9
15501,Philippines,2898.3083333333334,2
17288,Philippines,2798.366666666667,2
17369,Philippines,8994.75,10
17658,Philippines,1299.2416666666666,2
18057,Philippines,2213.607975,2
18471,Philippines,3997.6666666666665,4
19872,Philippines,1399.1833333333334,1
20945,Philippines,1599.0666666666666,1
21540,Philippines,3997.6666666666665,2
22399,Philippines,12992.416666666666,3
23015,Philippines,2998.25,3
23909,Philippines,14991.25,5
23924,Philippines,2498.5416666666665,1
25379,Philippines,5496.791666666666,5
25450,Philippines,1898.8916666666667,1
25771,Philippines,1499.125,1
26093,Philippines,4697.258333333333,3
26445,Philippines,799.5333333333333,1
28291,Philippines,3597.9,3
29059,Philippines,4997.083333333333,5
29170,Philippines,5496.791666666666,3
30045,Philippines,10493.875,7
30666,Philippines,2798.366666666667,3
31273,Philippines,3997.6666666666665,3
31725,Philippines,12792.533333333333,12
32243,Philippines,4797.2,6
34356,Philippines,3398.016666666667,3
34812,Philippines,7495.625,4
34965,Philippines,13492.125,22
35575,Philippines,2798.366666666667,3
36301,Philippines,2698.425,7
36352,Philippines,699.5916666666667,3
37560,Philippines,3497.958333333333,5
37781,Philippines,12292.824999999999,12
38099,Philippines,10493.875,18
38454,Philippines,4497.375,5
38576,Philippines,10194.05,5
39062,Philippines,3497.958333333333,3
40879,Philippines,12992.416666666666,7
40993,Philippines,2998.25,4
41920,Philippines,1499.125,1
42711,Philippines,1998.8333333333333,1
43216,Philippines,4597.316666666667,3
47156,Philippines,4997.083333333333,5
47197,Philippines,9994.166666666666,14
47579,Philippines,2998.25,1
47687,Philippines,5996.5,4
48417,Philippines,3497.958333333333,1
48701,Philippines,4997.083333333333,4
48722,Philippines,1199.3,2
48788,Philippines,64.96208333333334,8
48975,Philippines,2298.6583333333333,1
49145,Philippines,599.65,12
49207,Philippines,5496.791666666666,4
49518,Philippines,6995.916666666666,6
49644,Philippines,1888.8975,1
49679,Philippines,1798.95,1
50948,Philippines,1599.0666666666666,1
51531,Philippines,3198.133333333333,1
52620,Philippines,1399.1833333333334,2
53738,Philippines,1998.8333333333333,5
54954,Philippines,3997.6666666666665,2
55007,Philippines,3398.016666666667,5
55607,Philippines,2998.25,7
55899,Philippines,1499.125,1
56843,Philippines,449.7375,15
57745,Philippines,1499.125,1
59070,Philippines,4997.083333333333,4
59306,Philippines,1998.8333333333333,1
60073,Philippines,2998.25,4
60525,Philippines,9994.166666666666,9
60795,Philippines,3797.7833333333333,2
60961,Philippines,2098.7749999999996,1
61029,Philippines,5996.5,6
61872,Philippines,1099.3583333333333,22
62594,Philippines,1998.8333333333333,5
62975,Philippines,1499.125,5
64582,Philippines,96.04394166666665,8
64875,Philippines,1499.125,6
65827,Philippines,11993.0,12
66589,Philippines,3117.7802333333334,13
67474,Philippines,239.86,2
68400,Philippines,7845.420833333334,12
69096,Philippines,9694.341666666667,9
70486,Philippines,7195.8,4
70995,Philippines,2998.25,1
72453,Philippines,4997.083333333333,2
72588,Philippines,1998.8333333333333,2
72875,Philippines,12992.416666666666,34
73029,Philippines,4697.258333333333,1
73392,Philippines,1199.3,2
73412,Philippines,10293.991666666667,10
73458,Philippines,2098.7749999999996,3
74242,Philippines,5696.675,1
75651,Philippines,2998.25,2
77076,Philippines,19988.333333333332,6
77271,Philippines,10194.05,10
77912,Philippines,0.6995916666666666,20
79169,Philippines,2298.6583333333333,3
79320,Philippines,1798.95,2
80030,Philippines,7995.333333333333,5
80331,Philippines,244.85708333333332,1
80808,Philippines,1998.8333333333333,5
81046,Philippines,599.65,7
81218,Philippines,5596.733333333334,9
81285,Philippines,1499.125,10
81463,Philippines,6995.916666666666,2
82590,Philippines,8994.75,9
83157,Philippines,4497.375,6
83338,Philippines,4497.375,7
84328,Philippines,2998.25,3
84737,Philippines,3497.958333333333,5
84919,Philippines,3198.133333333333,1
85550,Philippines,199.88333333333333,1
85643,Philippines,7295.741666666667,8
85789,Philippines,11993.0,5
86171,Philippines,1399.1833333333334,2
87404,Philippines,7995.333333333333,5
87546,Philippines,8594.983333333334,11
