,Country,Monthly_Sal_EUR,EdLevel
51,Poland,1231.2813333333334,college/university without bachelor's degree
190,Poland,899.475,Master's degree
192,Poland,399.76666666666665,Master's degree
315,Poland,909.4691666666668,college/university without bachelor's degree
352,Poland,1259.2649999999999,Bachelor's degree
361,Poland,17489.791666666664,Secondary school
465,Poland,1039.3933333333334,Bachelor's degree
483,Poland,1169.3174999999999,Secondary school
484,Poland,599.65,Bachelor's degree
487,Poland,1039.3933333333334,college/university without bachelor's degree
780,Poland,189.88916666666665,Bachelor's degree
919,Poland,999.4166666666666,Bachelor's degree
1062,Poland,999.4166666666666,Secondary school
1112,Poland,249.85416666666666,Bachelor's degree
1301,Poland,1599.0666666666666,Master's degree
1354,Poland,749.5625,Bachelor's degree
1379,Poland,19988.333333333332,Associate degree
1419,Poland,719.58,Master's degree
1451,Poland,1099.3583333333333,Associate degree
1462,Poland,399.76666666666665,Bachelor's degree
1481,Poland,465.72816666666665,Doctoral degree
1486,Poland,1299.2416666666666,Bachelor's degree
1505,Poland,649.6208333333333,college/university without bachelor's degree
1512,Poland,18469.22,college/university without bachelor's degree
1591,Poland,1399.1833333333334,Master's degree
1634,Poland,1299.2416666666666,Master's degree
1686,Poland,449.7375,Doctoral degree
2056,Poland,489.71416666666664,Master's degree
2164,Poland,499.7083333333333,college/university without bachelor's degree
2200,Poland,1798.95,Master's degree
2318,Poland,1699.0083333333334,Master's degree
2383,Poland,459.7316666666666,Bachelor's degree
2394,Poland,1299.2416666666666,Master's degree
2444,Poland,1499.125,college/university without bachelor's degree
2523,Poland,529.6908333333333,Bachelor's degree
2543,Poland,499.7083333333333,Master's degree
2660,Poland,359.79,Bachelor's degree
2774,Poland,999.4166666666666,Doctoral degree
2826,Poland,899.475,Bachelor's degree
2906,Poland,999.4166666666666,Bachelor's degree
2933,Poland,264.84541666666667,Bachelor's degree
2998,Poland,749.5625,Bachelor's degree
3107,Poland,899.475,Bachelor's degree
3291,Poland,1199.3,Bachelor's degree
3429,Poland,2398.6,Master's degree
3482,Poland,1998.8333333333333,Bachelor's degree
3738,Poland,799.5333333333333,college/university without bachelor's degree
3942,Poland,399.76666666666665,No formal education
4062,Poland,999.4166666666666,Master's degree
4092,Poland,939.4516666666666,Bachelor's degree
4099,Poland,1619.0549999999998,Master's degree
4166,Poland,999.4166666666666,Master's degree
4178,Poland,1029.3991666666666,Bachelor's degree
4405,Poland,1099.3583333333333,Master's degree
4420,Poland,1249.2708333333333,Bachelor's degree
4445,Poland,2498.5416666666665,Master's degree
4507,Poland,1599.0666666666666,college/university without bachelor's degree
4571,Poland,799.5333333333333,college/university without bachelor's degree
4600,Poland,449.7375,Master's degree
4665,Poland,1371.1996666666666,Master's degree
4772,Poland,1049.3874999999998,Bachelor's degree
4822,Poland,1778.9616666666666,Bachelor's degree
4835,Poland,1199.3,Secondary school
5013,Poland,379.7783333333333,college/university without bachelor's degree
5096,Poland,699.5916666666667,Master's degree
5154,Poland,699.5916666666667,Bachelor's degree
5173,Poland,299.825,Bachelor's degree
5174,Poland,509.7025,Bachelor's degree
5191,Poland,269.8425,Bachelor's degree
5257,Poland,1499.125,college/university without bachelor's degree
5458,Poland,7495.625,Master's degree
5639,Poland,649.6208333333333,Bachelor's degree
5767,Poland,1748.9791666666665,Master's degree
5828,Poland,429.7491666666666,Secondary school
5837,Poland,1599.0666666666666,college/university without bachelor's degree
5850,Poland,499.7083333333333,Master's degree
6033,Poland,342.2002666666666,Bachelor's degree
6080,Poland,1577.0795,Master's degree
6084,Poland,159.90666666666667,Master's degree
6141,Poland,9994.166666666666,Master's degree
6166,Poland,1599.0666666666666,Bachelor's degree
6179,Poland,1449.1541666666667,Master's degree
6223,Poland,599.65,college/university without bachelor's degree
6396,Poland,1499.125,Master's degree
6425,Poland,999.4166666666666,Master's degree
6485,Poland,899.475,Master's degree
6522,Poland,688.3982000000001,Master's degree
6614,Poland,1399.1833333333334,Master's degree
6682,Poland,2038.81,college/university without bachelor's degree
6873,Poland,599.65,Secondary school
6966,Poland,339.8016666666666,college/university without bachelor's degree
7017,Poland,1299.2416666666666,Master's degree
7267,Poland,1149.3291666666667,college/university without bachelor's degree
7366,Poland,2198.7166666666667,Master's degree
7571,Poland,549.6791666666667,college/university without bachelor's degree
7609,Poland,749.5625,Bachelor's degree
7719,Poland,17489.791666666664,Bachelor's degree
7780,Poland,8994.75,Bachelor's degree
7793,Poland,1549.0958333333333,Secondary school
7920,Poland,599.65,Bachelor's degree
7946,Poland,519.6966666666667,Master's degree
7984,Poland,1299.2416666666666,college/university without bachelor's degree
8018,Poland,449.7375,Secondary school
8150,Poland,849.5041666666667,Secondary school
8259,Poland,619.6383333333333,Master's degree
8359,Poland,399.76666666666665,Master's degree
8398,Poland,1602.3647416666665,Master's degree
8546,Poland,349.79583333333335,college/university without bachelor's degree
8898,Poland,1199.3,Master's degree
8957,Poland,239.86,Bachelor's degree
8976,Poland,279.83666666666664,Secondary school
9018,Poland,2598.483333333333,Bachelor's degree
9114,Poland,1249.2708333333333,Master's degree
9180,Poland,1674.0229166666668,Master's degree
9198,Poland,1201.7985416666666,college/university without bachelor's degree
9201,Poland,999.4166666666666,Bachelor's degree
9372,Poland,3497.958333333333,college/university without bachelor's degree
9437,Poland,1106.3542499999999,Master's degree
9601,Poland,1998.8333333333333,Bachelor's degree
9628,Poland,699.5916666666667,college/university without bachelor's degree
9854,Poland,699.5916666666667,Bachelor's degree
9960,Poland,399.76666666666665,Professional degree
10014,Poland,1099.3583333333333,Bachelor's degree
10057,Poland,1649.0375,Master's degree
10121,Poland,779.5450000000001,college/university without bachelor's degree
10234,Poland,699.5916666666667,college/university without bachelor's degree
10322,Poland,639.6266666666667,Secondary school
10346,Poland,849.5041666666667,Secondary school
10354,Poland,14991.25,Bachelor's degree
10430,Poland,519.6966666666667,Bachelor's degree
10467,Poland,1349.2125,Master's degree
10483,Poland,749.5625,Master's degree
10668,Poland,1299.2416666666666,Bachelor's degree
10754,Poland,699.5916666666667,Secondary school
10772,Poland,1199.3,Bachelor's degree
10782,Poland,199.88333333333333,college/university without bachelor's degree
10835,Poland,659.615,college/university without bachelor's degree
10915,Poland,999.4166666666666,Bachelor's degree
10950,Poland,4997.083333333333,Bachelor's degree
10962,Poland,1349.2125,Master's degree
10972,Poland,1199.3,Bachelor's degree
10978,Poland,399.76666666666665,Bachelor's degree
10985,Poland,999.4166666666666,Master's degree
11239,Poland,1748.9791666666665,Master's degree
11393,Poland,359.79,Secondary school
11408,Poland,409.7608333333333,Bachelor's degree
11419,Poland,1699.0083333333334,Master's degree
11455,Poland,699.5916666666667,college/university without bachelor's degree
11492,Poland,1049.3874999999998,Master's degree
11498,Poland,1499.125,Master's degree
11508,Poland,12592.650000000001,Master's degree
11594,Poland,1149.3291666666667,Bachelor's degree
11649,Poland,779.245175,Bachelor's degree
11664,Poland,899.475,Master's degree
11732,Poland,1439.16,Master's degree
11783,Poland,1059.3816666666667,college/university without bachelor's degree
11848,Poland,549.6791666666667,Secondary school
11911,Poland,1399.1833333333334,Master's degree
12063,Poland,936.4534166666667,Master's degree
12130,Poland,1599.0666666666666,Bachelor's degree
12201,Poland,1249.2708333333333,Master's degree
12315,Poland,1973.8479166666666,Secondary school
12343,Poland,599.65,Bachelor's degree
12344,Poland,799.5333333333333,Bachelor's degree
12369,Poland,459.7316666666666,Master's degree
12405,Poland,2298.6583333333333,Master's degree
12411,Poland,1798.95,Master's degree
12606,Poland,1099.3583333333333,Master's degree
12682,Poland,899.475,Master's degree
12804,Poland,999.4166666666666,Bachelor's degree
12818,Poland,8495.041666666666,Bachelor's degree
12914,Poland,959.44,Bachelor's degree
13106,Poland,859.4983333333332,Master's degree
13151,Poland,599.65,college/university without bachelor's degree
13208,Poland,749.5625,Secondary school
13403,Poland,999.4166666666666,Master's degree
13409,Poland,1399.1833333333334,Bachelor's degree
13507,Poland,499.7083333333333,Secondary school
13520,Poland,749.5625,Bachelor's degree
13607,Poland,1099.3583333333333,Bachelor's degree
13624,Poland,429.7491666666666,Master's degree
13631,Poland,2098.7749999999996,Master's degree
13766,Poland,1299.2416666666666,Master's degree
13790,Poland,1699.0083333333334,Master's degree
13870,Poland,719.58,college/university without bachelor's degree
13875,Poland,799.5333333333333,college/university without bachelor's degree
13913,Poland,309.81916666666666,Bachelor's degree
13973,Poland,1998.8333333333333,Master's degree
14105,Poland,799.5333333333333,Secondary school
14218,Poland,879.4866666666667,Secondary school
14320,Poland,549.6791666666667,Master's degree
14359,Poland,8994.75,college/university without bachelor's degree
14386,Poland,849.5041666666667,Master's degree
14463,Poland,929.4575,Secondary school
14510,Poland,399.76666666666665,Bachelor's degree
14537,Poland,2998.25,Professional degree
14687,Poland,1299.2416666666666,Master's degree
14755,Poland,1806.9453333333333,college/university without bachelor's degree
14940,Poland,1798.95,Bachelor's degree
14950,Poland,559.6733333333333,college/university without bachelor's degree
15045,Poland,2498.5416666666665,Bachelor's degree
15093,Poland,949.4458333333333,Bachelor's degree
15123,Poland,1499.125,Master's degree
15137,Poland,449.7375,Bachelor's degree
15294,Poland,579.6616666666666,Bachelor's degree
15308,Poland,779.5450000000001,college/university without bachelor's degree
15321,Poland,774.5479166666667,college/university without bachelor's degree
15538,Poland,1199.3,Master's degree
15940,Poland,1616.5564583333335,Master's degree
15949,Poland,1469.1425,Master's degree
16006,Poland,799.5333333333333,Bachelor's degree
16019,Poland,269.8425,college/university without bachelor's degree
16058,Poland,649.6208333333333,Bachelor's degree
16122,Poland,649.6208333333333,college/university without bachelor's degree
16316,Poland,1139.335,Master's degree
16398,Poland,599.65,Bachelor's degree
16407,Poland,1049.3874999999998,Master's degree
16428,Poland,999.4166666666666,Master's degree
16460,Poland,1399.1833333333334,Bachelor's degree
16502,Poland,419.755,Bachelor's degree
16745,Poland,191.88799999999998,Master's degree
16791,Poland,999.4166666666666,Master's degree
16831,Poland,619.6383333333333,Bachelor's degree
16870,Poland,6995.916666666666,Master's degree
16899,Poland,1299.2416666666666,Bachelor's degree
16950,Poland,533.3886749999999,Bachelor's degree
16966,Poland,499.7083333333333,Secondary school
16983,Poland,449.7375,Master's degree
17069,Poland,1229.2825,Bachelor's degree
17080,Poland,899.475,Bachelor's degree
17262,Poland,1229.2825,Bachelor's degree
17320,Poland,1718.9966666666664,Master's degree
17367,Poland,12492.708333333332,Master's degree
17388,Poland,499.7083333333333,Master's degree
17420,Poland,669.6091666666666,Master's degree
17439,Poland,1349.2125,Master's degree
17451,Poland,1199.3,Bachelor's degree
17550,Poland,999.4166666666666,Bachelor's degree
17575,Poland,1499.125,Bachelor's degree
17630,Poland,659.615,Bachelor's degree
17731,Poland,399.76666666666665,Secondary school
17818,Poland,1499.125,Bachelor's degree
17903,Poland,1532.10575,Master's degree
17953,Poland,556.175375,Master's degree
17958,Poland,699.5916666666667,Master's degree
17987,Poland,399.76666666666665,Bachelor's degree
18155,Poland,1219.2883333333334,Bachelor's degree
18251,Poland,399.76666666666665,Bachelor's degree
18416,Poland,549.6791666666667,Bachelor's degree
18418,Poland,1299.2416666666666,Master's degree
18507,Poland,749.5625,Primary/elementary school
18622,Poland,1699.0083333333334,Bachelor's degree
18700,Poland,1199.3,Master's degree
18770,Poland,19488.625,Bachelor's degree
18789,Poland,1599.0666666666666,Master's degree
18928,Poland,399.76666666666665,Secondary school
19172,Poland,1199.3,Master's degree
19387,Poland,14991.25,Bachelor's degree
19389,Poland,499.7083333333333,Master's degree
19394,Poland,1399.1833333333334,Master's degree
19399,Poland,599.65,Master's degree
19430,Poland,349.79583333333335,college/university without bachelor's degree
19441,Poland,239.86,Master's degree
19478,Poland,1199.3,Master's degree
19526,Poland,1199.3,Bachelor's degree
19668,Poland,599.65,Bachelor's degree
19686,Poland,1229.2825,Master's degree
19788,Poland,11.992999999999999,college/university without bachelor's degree
19878,Poland,199.88333333333333,college/university without bachelor's degree
19879,Poland,699.5916666666667,college/university without bachelor's degree
19985,Poland,799.5333333333333,Master's degree
20003,Poland,849.5041666666667,college/university without bachelor's degree
20093,Poland,10593.816666666666,Bachelor's degree
20220,Poland,639.6266666666667,Secondary school
20233,Poland,1998.8333333333333,Bachelor's degree
20478,Poland,1918.88,Master's degree
20559,Poland,1798.95,Master's degree
20627,Poland,1699.0083333333334,Master's degree
20639,Poland,2398.6,Bachelor's degree
20647,Poland,1099.3583333333333,Bachelor's degree
20715,Poland,1559.0900000000001,Master's degree
20816,Poland,13991.833333333332,Bachelor's degree
20839,Poland,1979.1448249999999,Secondary school
20875,Poland,749.5625,Bachelor's degree
20881,Poland,329.8075,Bachelor's degree
20965,Poland,3198.133333333333,Secondary school
21045,Poland,459.7316666666666,college/university without bachelor's degree
21104,Poland,639.6266666666667,Master's degree
21120,Poland,1699.0083333333334,Bachelor's degree
21150,Poland,1009.4108333333334,Bachelor's degree
21478,Poland,999.4166666666666,college/university without bachelor's degree
21601,Poland,1699.0083333333334,Bachelor's degree
21674,Poland,599.65,Bachelor's degree
21730,Poland,2598.483333333333,Doctoral degree
21827,Poland,1199.3,Master's degree
22026,Poland,674.60625,Secondary school
22060,Poland,1649.0375,Master's degree
22083,Poland,1349.2125,Master's degree
22139,Poland,1099.3583333333333,college/university without bachelor's degree
22167,Poland,599.65,Master's degree
22211,Poland,1619.0549999999998,Master's degree
22242,Poland,1599.0666666666666,Master's degree
22260,Poland,1109.3525,Master's degree
22516,Poland,1499.125,Master's degree
22552,Poland,999.4166666666666,Bachelor's degree
22585,Poland,1289.2475,Bachelor's degree
22675,Poland,174.89791666666667,Bachelor's degree
22767,Poland,299.825,college/university without bachelor's degree
22789,Poland,999.4166666666666,Bachelor's degree
22844,Poland,14991.25,college/university without bachelor's degree
23025,Poland,29.9825,Secondary school
23161,Poland,604.6470833333333,Master's degree
23338,Poland,299.825,Bachelor's degree
23395,Poland,949.4458333333333,Bachelor's degree
23433,Poland,769.5508333333333,Bachelor's degree
23474,Poland,1399.1833333333334,college/university without bachelor's degree
23477,Poland,1649.0375,Master's degree
23633,Poland,1299.2416666666666,Master's degree
