,Country,Monthly_Sal_EUR,YearsCodePro
221,Portugal,449.7375,20
233,Portugal,4997.083333333333,15
286,Portugal,249.85416666666666,15
537,Portugal,94.94458333333333,2
934,Portugal,4997.083333333333,11
1370,Portugal,3398.016666666667,5
1548,Portugal,2398.6,8
2255,Portugal,2448.570833333333,23
2526,Portugal,99.94166666666666,2
3520,Portugal,2998.25,7
4241,Portugal,129.92416666666668,1
4643,Portugal,149.9125,2
5078,Portugal,2348.6291666666666,5
7396,Portugal,9994.166666666666,5
8265,Portugal,100.24149166666666,3
8348,Portugal,9994.166666666666,15
8856,Portugal,169.9008333333333,7
9284,Portugal,89.9475,2
9393,Portugal,179.895,1
9864,Portugal,139.91833333333332,2
10079,Portugal,149.9125,2
10181,Portugal,199.88333333333333,13
10242,Portugal,114.43320833333333,1
10297,Portugal,2398.6,10
10591,Portugal,199.88333333333333,5
10880,Portugal,349.79583333333335,4
11102,Portugal,199.88333333333333,4
11184,Portugal,123.92766666666667,2
11255,Portugal,1399.1833333333334,3
11398,Portugal,299.825,14
11535,Portugal,349.79583333333335,10
12207,Portugal,6496.208333333333,20
12333,Portugal,2998.25,13
12342,Portugal,219.87166666666667,3
12973,Portugal,6995.916666666666,17
13003,Portugal,199.88333333333333,9
13299,Portugal,3218.1216666666664,4
13378,Portugal,4497.375,30
13768,Portugal,99.94166666666666,18
13906,Portugal,4997.083333333333,10
13927,Portugal,379.7783333333333,15
14048,Portugal,149.9125,3
14128,Portugal,159.90666666666667,2
14174,Portugal,2998.25,2
14257,Portugal,189.88916666666665,9
14377,Portugal,2498.5416666666665,3
14587,Portugal,99.94166666666666,3
14651,Portugal,1499.125,1
14772,Portugal,109.93583333333333,2
14775,Portugal,139.91833333333332,5
14778,Portugal,299.825,13
15030,Portugal,2248.6875,26
15050,Portugal,10958.603749999998,7
15335,Portugal,129.92416666666668,4
15356,Portugal,5996.5,25
15813,Portugal,309.81916666666666,15
16248,Portugal,3727.8241666666663,11
16407,Portugal,214.8745833333333,3
16443,Portugal,2074.7889999999998,5
16695,Portugal,10993.583333333332,16
16751,Portugal,219.87166666666667,5
17218,Portugal,109.93583333333333,2
18263,Portugal,159.90666666666667,5
18503,Portugal,289.8308333333333,12
18549,Portugal,2998.25,1
18637,Portugal,319.81333333333333,11
18860,Portugal,5534.569616666666,8
18928,Portugal,189.88916666666665,8
18978,Portugal,12992.416666666666,18
19087,Portugal,239.86,9
19161,Portugal,164.90375,10
19182,Portugal,104.93875,7
19235,Portugal,319.81333333333333,9
19241,Portugal,149.9125,1
19259,Portugal,199.88333333333333,13
19265,Portugal,269.8425,22
19381,Portugal,249.85416666666666,15
19424,Portugal,9994.166666666666,5
19501,Portugal,3997.6666666666665,6
19728,Portugal,4197.549999999999,14
20533,Portugal,199.88333333333333,5
20774,Portugal,499.7083333333333,7
21107,Portugal,84.95041666666665,2
21395,Portugal,2498.5416666666665,10
21912,Portugal,5097.025,8
21965,Portugal,299.825,9
21984,Portugal,5546.762500000001,5
22337,Portugal,349.79583333333335,10
22383,Portugal,239.86,4
22416,Portugal,5996.5,13
22473,Portugal,199.88333333333333,16
22514,Portugal,7495.625,17
22576,Portugal,1599.0666666666666,1
22678,Portugal,179.895,10
22737,Portugal,186.69103333333334,4
22766,Portugal,9994.166666666666,9
23053,Portugal,129.92416666666668,1
23448,Portugal,263.94594166666667,6
23528,Portugal,219.87166666666667,20
23903,Portugal,244.85708333333332,3
23919,Portugal,152.91075,9
24193,Portugal,122.92825,3
24313,Portugal,119.93,9
24355,Portugal,159.90666666666667,12
24682,Portugal,5996.5,11
24705,Portugal,2498.5416666666665,7
25064,Portugal,6596.15,10
25108,Portugal,99.94166666666666,5
25334,Portugal,4087.6141666666667,5
26035,Portugal,17989.5,14
26088,Portugal,2698.425,3
26095,Portugal,149.9125,1
26863,Portugal,239.86,15
27343,Portugal,319.81333333333333,11
27454,Portugal,3997.6666666666665,3
27713,Portugal,129.92416666666668,1
27731,Portugal,1499.125,23
27865,Portugal,229.8658333333333,11
28222,Portugal,69.45945833333333,2
28348,Portugal,2398.6,4
28907,Portugal,99.94166666666666,37
29184,Portugal,227.867,4
29640,Portugal,99.94166666666666,1
29709,Portugal,159.90666666666667,2
29834,Portugal,3088.1975,4
30991,Portugal,289.8308333333333,14
31121,Portugal,159.90666666666667,6
31268,Portugal,1998.8333333333333,9
31805,Portugal,3997.6666666666665,5
31830,Portugal,374.78125,3
31851,Portugal,2140.7505,4
32263,Portugal,4497.375,11
32365,Portugal,2998.25,8
32378,Portugal,2298.6583333333333,5
32398,Portugal,1699.0083333333334,1
32407,Portugal,174.89791666666667,4
32481,Portugal,399.76666666666665,7
32623,Portugal,299.825,9
32696,Portugal,99.94166666666666,1
32732,Portugal,189.88916666666665,10
32968,Portugal,349.79583333333335,10
33100,Portugal,4997.083333333333,17
33155,Portugal,4197.549999999999,11
33220,Portugal,63.46295833333333,5
33285,Portugal,3198.133333333333,10
34013,Portugal,129.92416666666668,2
34176,Portugal,129.92416666666668,1
34202,Portugal,4997.083333333333,5
34355,Portugal,159.90666666666667,2
34359,Portugal,199.88333333333333,12
34381,Portugal,84.95041666666665,1
34608,Portugal,299.825,8
34837,Portugal,179.895,3
34848,Portugal,3997.6666666666665,8
35170,Portugal,6496.208333333333,7
36051,Portugal,129.92416666666668,2
36169,Portugal,1898.8916666666667,4
36228,Portugal,5996.5,13
37704,Portugal,149.9125,4
38577,Portugal,119.93,1
38604,Portugal,4467.3925,24
38685,Portugal,129.92416666666668,7
39232,Portugal,2598.483333333333,2
41577,Portugal,2898.3083333333334,12
42505,Portugal,2958.273333333333,9
42623,Portugal,159.90666666666667,5
42915,Portugal,1998.8333333333333,2
43020,Portugal,699.5916666666667,4
43216,Portugal,129.92416666666668,1
43957,Portugal,2498.5416666666665,3
44666,Portugal,5596.733333333334,11
44768,Portugal,349.79583333333335,15
45218,Portugal,189.88916666666665,4
45379,Portugal,12992.416666666666,12
45465,Portugal,179.895,1
45542,Portugal,69.95916666666666,2
46082,Portugal,5097.025,21
46134,Portugal,119.93,2
46222,Portugal,139.91833333333332,5
46492,Portugal,249.85416666666666,5
46923,Portugal,2.7983666666666664,9
47444,Portugal,449.7375,5
47957,Portugal,19488.625,8
47965,Portugal,6226.365833333333,22
48067,Portugal,6196.383333333333,17
48216,Portugal,2598.483333333333,6
48228,Portugal,139.91833333333332,7
48317,Portugal,229.8658333333333,10
48671,Portugal,109.93583333333333,9
48967,Portugal,1499.125,11
49014,Portugal,3497.958333333333,4
49463,Portugal,3997.6666666666665,29
49639,Portugal,85.94983333333334,7
49641,Portugal,3497.958333333333,20
49749,Portugal,4497.375,7
49759,Portugal,74.15671666666667,8
50108,Portugal,4327.474166666667,11
50542,Portugal,2059.2980416666664,1
50593,Portugal,4797.2,6
50891,Portugal,174.89791666666667,6
51155,Portugal,3497.958333333333,1
54953,Portugal,2898.3083333333334,4
55587,Portugal,5097.025,10
55722,Portugal,2908.3025,10
55781,Portugal,3597.9,8
55808,Portugal,146.91424999999998,1
55812,Portugal,82.25199166666667,1
55844,Portugal,3997.6666666666665,20
56128,Portugal,4508.968233333333,10
56412,Portugal,74.95625,1
56537,Portugal,3697.8416666666662,6
56710,Portugal,249.85416666666666,16
56844,Portugal,184.89208333333332,22
57025,Portugal,219.87166666666667,10
57843,Portugal,3497.958333333333,17
58280,Portugal,5696.675,13
58473,Portugal,64.96208333333334,20
58581,Portugal,124.92708333333333,27
58583,Portugal,2498.5416666666665,5
58641,Portugal,74.95625,2
58689,Portugal,3447.9874999999997,2
58696,Portugal,149.9125,3
58771,Portugal,169.9008333333333,3
58946,Portugal,4157.573333333334,20
58972,Portugal,96.44370833333332,4
59059,Portugal,139.91833333333332,1
59105,Portugal,599.65,8
59145,Portugal,4497.375,2
59180,Portugal,239.86,5
59262,Portugal,299.825,12
59307,Portugal,229.8658333333333,11
59559,Portugal,59.965,1
59797,Portugal,149.9125,3
59990,Portugal,157.90783333333331,13
59997,Portugal,3198.133333333333,17
60034,Portugal,5596.733333333334,5
60072,Portugal,69.95916666666666,3
60278,Portugal,149.9125,4
61080,Portugal,269.8425,6
62928,Portugal,249.85416666666666,25
62940,Portugal,2898.3083333333334,10
