,Country,Monthly_Sal_EUR,EdLevel
256,Portugal,69.95916666666666,college/university without bachelor's degree
438,Portugal,264.84541666666667,Master's degree
467,Portugal,185.89149999999998,Bachelor's degree
1159,Portugal,5196.966666666666,Master's degree
1429,Portugal,459.7316666666666,Master's degree
1686,Portugal,139.91833333333332,Bachelor's degree
1728,Portugal,100.441375,Bachelor's degree
1849,Portugal,239.86,Doctoral degree
1950,Portugal,8794.866666666667,Master's degree
1972,Portugal,8594.983333333334,college/university without bachelor's degree
2487,Portugal,5996.5,Master's degree
2500,Portugal,6246.354166666666,Bachelor's degree
2607,Portugal,159.90666666666667,Master's degree
2871,Portugal,299.825,Master's degree
3099,Portugal,3597.9,Master's degree
3269,Portugal,2643.2572,Bachelor's degree
3377,Portugal,3298.075,Master's degree
3905,Portugal,219.87166666666667,Master's degree
4298,Portugal,249.85416666666666,Master's degree
4648,Portugal,257.1499083333333,Bachelor's degree
5193,Portugal,5596.733333333334,Bachelor's degree
5213,Portugal,2998.25,Bachelor's degree
5366,Portugal,349.79583333333335,Master's degree
5404,Portugal,242.15865833333334,Master's degree
5481,Portugal,3228.1158333333333,Master's degree
5521,Portugal,179.895,Bachelor's degree
6314,Portugal,229.8658333333333,Bachelor's degree
6481,Portugal,449.7375,Doctoral degree
6819,Portugal,129.92416666666668,Master's degree
7135,Portugal,114.93291666666666,Bachelor's degree
7521,Portugal,8195.216666666667,Doctoral degree
8458,Portugal,89.9475,Master's degree
8831,Portugal,349.79583333333335,Master's degree
9174,Portugal,2998.25,Bachelor's degree
9514,Portugal,124.92708333333333,Master's degree
13327,Portugal,519.6966666666667,Bachelor's degree
14121,Portugal,499.7083333333333,Master's degree
14161,Portugal,164.90375,Bachelor's degree
14454,Portugal,339.8016666666666,Bachelor's degree
14547,Portugal,3368.034166666667,Master's degree
14592,Portugal,6496.208333333333,Master's degree
14639,Portugal,2998.25,Master's degree
14646,Portugal,2998.25,Master's degree
14986,Portugal,119.93,Bachelor's degree
15193,Portugal,1848.9208333333331,Something else
15477,Portugal,5496.791666666666,Master's degree
15634,Portugal,6995.916666666666,Secondary school
15973,Portugal,4137.585,Master's degree
16144,Portugal,69.95916666666666,Bachelor's degree
16722,Portugal,4697.258333333333,Bachelor's degree
16801,Portugal,6995.916666666666,Master's degree
16814,Portugal,230.36554166666667,Bachelor's degree
17076,Portugal,2398.6,college/university without bachelor's degree
17235,Portugal,219.87166666666667,Bachelor's degree
17598,Portugal,1848.9208333333331,Bachelor's degree
17657,Portugal,74.95625,Bachelor's degree
17907,Portugal,349.79583333333335,Bachelor's degree
17937,Portugal,89.9475,Doctoral degree
18084,Portugal,105.93816666666666,Professional degree
18857,Portugal,3637.876666666667,Master's degree
19301,Portugal,299.825,Professional degree
19922,Portugal,4281.501,Bachelor's degree
20075,Portugal,6995.916666666666,Master's degree
20260,Portugal,5097.025,college/university without bachelor's degree
20857,Portugal,3190.138,college/university without bachelor's degree
20946,Portugal,2888.314166666667,Bachelor's degree
21563,Portugal,149.9125,Master's degree
23572,Portugal,149.9125,Bachelor's degree
23687,Portugal,3497.958333333333,Master's degree
24015,Portugal,2398.6,Bachelor's degree
24287,Portugal,79.95333333333333,Bachelor's degree
24355,Portugal,399.76666666666665,Master's degree
24364,Portugal,2198.7166666666667,Bachelor's degree
25617,Portugal,3997.6666666666665,Master's degree
25985,Portugal,254.2516,Master's degree
26726,Portugal,3997.6666666666665,Bachelor's degree
26858,Portugal,119.93,Master's degree
26987,Portugal,4197.549999999999,Master's degree
27088,Portugal,2518.5299999999997,Master's degree
27147,Portugal,274.83958333333334,Master's degree
27191,Portugal,199.88333333333333,Master's degree
27260,Portugal,3298.075,Master's degree
27317,Portugal,199.88333333333333,Bachelor's degree
27373,Portugal,160.20649166666666,Bachelor's degree
27402,Portugal,158.5074833333333,college/university without bachelor's degree
27407,Portugal,103.33968333333333,college/university without bachelor's degree
27677,Portugal,189.88916666666665,Master's degree
27764,Portugal,149.9125,Bachelor's degree
28033,Portugal,272.84074999999996,Bachelor's degree
28172,Portugal,11993.0,Master's degree
28419,Portugal,5097.025,Master's degree
28454,Portugal,199.88333333333333,Professional degree
28641,Portugal,1399.1833333333334,Bachelor's degree
28703,Portugal,89.9475,Master's degree
28760,Portugal,5496.791666666666,Bachelor's degree
28780,Portugal,269.8425,Master's degree
28891,Portugal,5496.791666666666,Master's degree
29324,Portugal,279.83666666666664,Master's degree
29461,Portugal,2185.5243666666665,Master's degree
29569,Portugal,104.93875,college/university without bachelor's degree
29662,Portugal,219.87166666666667,Master's degree
30089,Portugal,99.94166666666666,Master's degree
30110,Portugal,99.94166666666666,Bachelor's degree
30155,Portugal,274.83958333333334,Master's degree
30292,Portugal,7995.333333333333,Bachelor's degree
30626,Portugal,569.6675,Doctoral degree
32195,Portugal,2698.425,Master's degree
32225,Portugal,199.88333333333333,Secondary school
32271,Portugal,2498.5416666666665,college/university without bachelor's degree
32417,Portugal,5396.85,Master's degree
