,Country,Monthly_Sal_EUR,EdLevel
4234,Republic of Korea,2241.4917,Bachelor's degree
13134,Republic of Korea,4948.91145,college/university without bachelor's degree
20544,Republic of Korea,3361.6379,Bachelor's degree
21407,Republic of Korea,4668.774958333333,Secondary school
34683,Republic of Korea,2801.5648,Bachelor's degree
44318,Republic of Korea,3540.3336,Bachelor's degree
44715,Republic of Korea,2241.4917,college/university without bachelor's degree
46194,Republic of Korea,5996.5,Master's degree
56236,Republic of Korea,2464.5615,Associate degree
65105,Republic of Korea,4481.7841,Master's degree
67015,Republic of Korea,784.3422,Bachelor's degree
70070,Republic of Korea,6251.9509,Bachelor's degree
88637,Republic of Korea,895.8770999999999,college/university without bachelor's degree
