,Country,Monthly_Sal_EUR,EdLevel
149,Romania,399.76666666666665,Bachelor's degree
713,Romania,799.5333333333333,Bachelor's degree
1094,Romania,399.76666666666665,college/university without bachelor's degree
1500,Romania,169.9008333333333,Secondary school
1544,Romania,719.58,Master's degree
1761,Romania,999.4166666666666,Master's degree
1896,Romania,1798.95,Master's degree
2044,Romania,2658.4483333333333,Bachelor's degree
2135,Romania,419.755,Bachelor's degree
2366,Romania,432.047825,college/university without bachelor's degree
2675,Romania,359.79,Bachelor's degree
2788,Romania,329.8075,Master's degree
3725,Romania,1099.3583333333333,college/university without bachelor's degree
3819,Romania,922.5615250000001,Bachelor's degree
4138,Romania,199.88333333333333,Bachelor's degree
4305,Romania,1998.8333333333333,Master's degree
4458,Romania,599.65,Bachelor's degree
4986,Romania,4497.375,Bachelor's degree
5028,Romania,1399.1833333333334,Master's degree
5360,Romania,1998.8333333333333,Master's degree
5469,Romania,1144.1322,Bachelor's degree
5607,Romania,249.85416666666666,Bachelor's degree
5817,Romania,449.7375,Bachelor's degree
5896,Romania,174.89791666666667,Master's degree
6273,Romania,299.825,Bachelor's degree
6618,Romania,149.9125,college/university without bachelor's degree
7591,Romania,1049.3874999999998,Bachelor's degree
7710,Romania,356.79175,Bachelor's degree
7897,Romania,899.475,Master's degree
8007,Romania,229.8658333333333,Bachelor's degree
8027,Romania,2098.7749999999996,Master's degree
8153,Romania,1699.0083333333334,Bachelor's degree
8193,Romania,1399.1833333333334,Bachelor's degree
8458,Romania,1199.3,college/university without bachelor's degree
8650,Romania,249.85416666666666,Master's degree
8651,Romania,1399.1833333333334,Master's degree
8833,Romania,1110.4518583333333,Bachelor's degree
8839,Romania,1998.8333333333333,Bachelor's degree
9106,Romania,299.825,Secondary school
9492,Romania,3098.1916666666666,Bachelor's degree
9688,Romania,274.83958333333334,Master's degree
9774,Romania,219.87166666666667,Bachelor's degree
9811,Romania,1199.3,Bachelor's degree
9859,Romania,1479.1366666666665,Master's degree
10176,Romania,339.8016666666666,college/university without bachelor's degree
10219,Romania,1249.2708333333333,Bachelor's degree
10236,Romania,2142.749333333333,Bachelor's degree
10903,Romania,999.4166666666666,Bachelor's degree
11270,Romania,319.81333333333333,Secondary school
11350,Romania,599.65,Bachelor's degree
11397,Romania,1998.8333333333333,Bachelor's degree
11466,Romania,1429.1658333333335,Master's degree
11698,Romania,959.44,Bachelor's degree
11939,Romania,729.5741666666665,Master's degree
12959,Romania,12992.416666666666,Master's degree
13027,Romania,259.84833333333336,Bachelor's degree
13150,Romania,279.83666666666664,Master's degree
13572,Romania,8994.75,Bachelor's degree
13613,Romania,1099.3583333333333,Master's degree
13673,Romania,1299.2416666666666,Bachelor's degree
14036,Romania,1099.3583333333333,Master's degree
14930,Romania,9994.166666666666,Bachelor's degree
14995,Romania,1748.9791666666665,Bachelor's degree
15042,Romania,699.5916666666667,Bachelor's degree
15544,Romania,1499.125,Master's degree
15862,Romania,294.8279166666666,Master's degree
15957,Romania,1069.3758333333333,Bachelor's degree
16046,Romania,2498.5416666666665,Doctoral degree
16111,Romania,2298.6583333333333,Bachelor's degree
16203,Romania,24.985416666666666,Bachelor's degree
16317,Romania,239.86,Bachelor's degree
16351,Romania,319.81333333333333,college/university without bachelor's degree
16435,Romania,789.0394583333333,Bachelor's degree
16514,Romania,864.4954166666666,Bachelor's degree
16637,Romania,169.9008333333333,Bachelor's degree
16664,Romania,699.5916666666667,Master's degree
16775,Romania,999.4166666666666,Bachelor's degree
16777,Romania,169.9008333333333,Master's degree
16844,Romania,449.7375,Master's degree
16859,Romania,949.4458333333333,Primary/elementary school
16902,Romania,1299.2416666666666,Master's degree
17229,Romania,949.4458333333333,Master's degree
17290,Romania,1359.2066666666665,Master's degree
17489,Romania,124.92708333333333,Bachelor's degree
18004,Romania,1099.3583333333333,Bachelor's degree
18051,Romania,1998.8333333333333,Bachelor's degree
18138,Romania,1998.8333333333333,Bachelor's degree
18221,Romania,3997.6666666666665,Bachelor's degree
18485,Romania,399.76666666666665,Master's degree
18643,Romania,1399.1833333333334,Bachelor's degree
18825,Romania,1099.3583333333333,Master's degree
18880,Romania,1898.8916666666667,Bachelor's degree
19070,Romania,5996.5,Bachelor's degree
19194,Romania,499.7083333333333,Bachelor's degree
19211,Romania,1599.0666666666666,Bachelor's degree
19329,Romania,599.65,Bachelor's degree
19736,Romania,1898.8916666666667,Bachelor's degree
20498,Romania,1084.3670833333333,Bachelor's degree
21665,Romania,349.79583333333335,college/university without bachelor's degree
21720,Romania,1299.2416666666666,Master's degree
21755,Romania,1599.0666666666666,Master's degree
21756,Romania,599.65,college/university without bachelor's degree
21804,Romania,3597.9,Master's degree
21887,Romania,899.475,Bachelor's degree
22224,Romania,219.87166666666667,Secondary school
22261,Romania,269.8425,college/university without bachelor's degree
22360,Romania,1699.0083333333334,Master's degree
22787,Romania,2152.643558333333,Bachelor's degree
22825,Romania,1771.6659249999998,Bachelor's degree
23080,Romania,229.8658333333333,Master's degree
23172,Romania,1998.8333333333333,Bachelor's degree
23203,Romania,449.7375,Bachelor's degree
23254,Romania,1599.0666666666666,Doctoral degree
24254,Romania,611.8428833333332,Bachelor's degree
24322,Romania,1748.9791666666665,Bachelor's degree
24477,Romania,999.4166666666666,Bachelor's degree
24837,Romania,1059.3816666666667,Bachelor's degree
25909,Romania,719.58,Bachelor's degree
26158,Romania,2498.5416666666665,Master's degree
26501,Romania,739.5683333333333,Bachelor's degree
26515,Romania,399.76666666666665,Master's degree
26686,Romania,1099.3583333333333,Bachelor's degree
26939,Romania,2198.7166666666667,Bachelor's degree
26989,Romania,149.9125,Bachelor's degree
27064,Romania,349.79583333333335,Master's degree
27287,Romania,11173.478333333333,Bachelor's degree
27416,Romania,649.6208333333333,college/university without bachelor's degree
27422,Romania,999.4166666666666,Bachelor's degree
27446,Romania,1660.8306166666666,Bachelor's degree
27662,Romania,1079.37,Bachelor's degree
27907,Romania,299.825,Bachelor's degree
27961,Romania,1099.3583333333333,Master's degree
28044,Romania,89.9475,college/university without bachelor's degree
28094,Romania,349.79583333333335,Master's degree
28528,Romania,2033.5130916666667,Master's degree
29357,Romania,749.5625,Bachelor's degree
29384,Romania,15111.18,Master's degree
29477,Romania,149.9125,Bachelor's degree
29643,Romania,469.7258333333333,Master's degree
29680,Romania,149.9125,Bachelor's degree
29964,Romania,449.7375,Master's degree
30306,Romania,6995.916666666666,Master's degree
31043,Romania,119.93,Master's degree
31048,Romania,309.81916666666666,Secondary school
31106,Romania,1691.013,Secondary school
31138,Romania,1199.3,Bachelor's degree
31256,Romania,619.6383333333333,college/university without bachelor's degree
31313,Romania,1399.1833333333334,college/university without bachelor's degree
31517,Romania,689.5975,college/university without bachelor's degree
32208,Romania,599.65,Bachelor's degree
32347,Romania,14991.25,Master's degree
32359,Romania,999.4166666666666,Bachelor's degree
32532,Romania,1599.0666666666666,Bachelor's degree
32815,Romania,699.5916666666667,Bachelor's degree
33075,Romania,529.6908333333333,Bachelor's degree
33692,Romania,299.825,Bachelor's degree
33717,Romania,393.17051666666663,Secondary school
33757,Romania,1199.3,college/university without bachelor's degree
33837,Romania,11993.0,Master's degree
34194,Romania,4997.083333333333,Bachelor's degree
34215,Romania,379.7783333333333,college/university without bachelor's degree
34428,Romania,464.72875,Bachelor's degree
34461,Romania,749.5625,college/university without bachelor's degree
