,Country,Monthly_Sal_EUR,YearsCodePro
206,Romania,209.8775,10
985,Romania,349.79583333333335,7
1063,Romania,1099.3583333333333,7
1176,Romania,449.7375,5
1222,Romania,499.7083333333333,8
1578,Romania,799.5333333333333,20
2000,Romania,799.5333333333333,12
2014,Romania,619.6383333333333,3
2032,Romania,5996.5,13
2437,Romania,1099.3583333333333,20
3481,Romania,1499.125,19
3646,Romania,379.7783333333333,17
4061,Romania,1499.125,11
7276,Romania,3201.131583333333,10
7418,Romania,399.76666666666665,12
7431,Romania,1898.8916666666667,24
7506,Romania,299.825,22
7543,Romania,209.8775,4
7550,Romania,99.94166666666666,5
8015,Romania,6596.15,12
8062,Romania,359.79,20
8524,Romania,399.76666666666665,1
8782,Romania,549.6791666666667,10
9015,Romania,1798.95,12
9073,Romania,999.4166666666666,4
9264,Romania,999.4166666666666,10
9294,Romania,1399.1833333333334,6
9427,Romania,179.895,4
9504,Romania,5496.791666666666,3
9628,Romania,599.65,9
10466,Romania,1199.3,10
10511,Romania,1699.0083333333334,9
10583,Romania,299.825,5
10593,Romania,269.8425,5
10599,Romania,49.97083333333333,1
10603,Romania,349.79583333333335,1
10630,Romania,99.94166666666666,1
10649,Romania,0.09994166666666666,7
10652,Romania,749.5625,1
10780,Romania,149.9125,9
10798,Romania,999.4166666666666,17
10799,Romania,999.4166666666666,5
10837,Romania,1099.3583333333333,4
10885,Romania,922.5615250000001,4
10908,Romania,449.7375,5
11044,Romania,479.72,5
11051,Romania,1099.3583333333333,7
11075,Romania,2998.25,20
11142,Romania,699.5916666666667,39
11165,Romania,1499.125,6
11204,Romania,799.5333333333333,5
11243,Romania,499.7083333333333,10
11254,Romania,179.895,7
11263,Romania,614.64125,5
11505,Romania,399.76666666666665,5
11604,Romania,1699.0083333333334,12
11662,Romania,799.5333333333333,2
11735,Romania,799.5333333333333,13
11832,Romania,349.79583333333335,3
11897,Romania,1898.8916666666667,9
12068,Romania,199.88333333333333,18
12110,Romania,1229.2825,5
12187,Romania,299.825,24
12726,Romania,449.7375,1
12891,Romania,2498.5416666666665,13
13258,Romania,149.9125,2
13350,Romania,1798.95,10
13574,Romania,299.825,9
13889,Romania,449.7375,1
14162,Romania,699.5916666666667,2
14314,Romania,999.4166666666666,7
14635,Romania,499.7083333333333,2
15217,Romania,446.73924999999997,2
15281,Romania,17107.714675,10
15294,Romania,1599.0666666666666,16
15325,Romania,1798.95,7
15649,Romania,499.7083333333333,1
15675,Romania,639.6266666666667,1
15791,Romania,1096.1601999999998,2
15820,Romania,599.65,15
16053,Romania,299.825,1
16186,Romania,1649.0375,5
16339,Romania,1529.1075,22
16499,Romania,1848.9208333333331,6
16817,Romania,1059.3816666666667,5
16945,Romania,699.5916666666667,6
17044,Romania,1199.3,1
17134,Romania,1898.8916666666667,3
17144,Romania,3098.1916666666666,18
17179,Romania,219.87166666666667,12
17458,Romania,1399.1833333333334,7
18313,Romania,299.825,8
18948,Romania,1599.0666666666666,4
19044,Romania,399.76666666666665,1
19076,Romania,814.5245833333333,9
19145,Romania,1399.1833333333334,7
19480,Romania,349.79583333333335,12
19732,Romania,2998.25,10
20799,Romania,849.5041666666667,3
20859,Romania,1699.0083333333334,2
21099,Romania,499.7083333333333,2
21161,Romania,699.5916666666667,2
21173,Romania,104.93875,1
21207,Romania,1998.8333333333333,13
21319,Romania,263.846,7
21348,Romania,277.13824166666666,1
21468,Romania,10224.0325,3
21659,Romania,999.4166666666666,4
21677,Romania,1998.8333333333333,15
21737,Romania,2298.6583333333333,8
21951,Romania,15690.841666666667,5
22450,Romania,16890.141666666666,16
22614,Romania,199.88333333333333,14
22681,Romania,299.825,15
22744,Romania,139.91833333333332,4
22854,Romania,2539.217925,16
22985,Romania,1848.9208333333331,3
23046,Romania,7695.508333333333,1
23265,Romania,1798.95,6
23364,Romania,2098.7749999999996,8
23631,Romania,1099.3583333333333,3
23768,Romania,949.4458333333333,4
23927,Romania,2298.6583333333333,6
23965,Romania,902.5731916666666,3
24297,Romania,1007.4119999999999,5
24493,Romania,1199.3,10
24672,Romania,369.78416666666664,1
24881,Romania,319.81333333333333,14
24980,Romania,1399.1833333333334,15
25460,Romania,999.4166666666666,2
25816,Romania,1499.125,13
25924,Romania,1898.8916666666667,14
26343,Romania,249.85416666666666,2
27215,Romania,131.923,1
27237,Romania,1998.8333333333333,18
27292,Romania,687.5986666666668,2
27596,Romania,8395.099999999999,15
28035,Romania,4497.375,8
28196,Romania,499.7083333333333,2
28244,Romania,299.825,15
28292,Romania,1998.8333333333333,15
28471,Romania,504.7054166666667,2
28774,Romania,17490.091491666666,6
28825,Romania,99.94166666666666,2
28859,Romania,799.5333333333333,6
28861,Romania,172.89908333333335,1
29163,Romania,798.7338,3
29245,Romania,2268.6758333333332,8
29611,Romania,949.4458333333333,3
29846,Romania,499.7083333333333,12
30345,Romania,999.4166666666666,8
30706,Romania,864.4954166666666,10
30763,Romania,1549.0958333333333,7
30823,Romania,6.995916666666667,1
31328,Romania,1599.0666666666666,5
31533,Romania,179.895,7
31658,Romania,999.4166666666666,5
31662,Romania,299.825,5
31812,Romania,399.76666666666665,13
31839,Romania,1199.3,5
31861,Romania,199.88333333333333,10
31974,Romania,1499.125,9
32080,Romania,499.7083333333333,2
32285,Romania,199.88333333333333,8
32584,Romania,749.5625,14
32627,Romania,1499.125,2
33031,Romania,2342.532725,15
33125,Romania,1299.2416666666666,13
33207,Romania,1883.9004166666666,9
33299,Romania,2498.5416666666665,7
34583,Romania,499.7083333333333,2
34618,Romania,1049.3874999999998,5
34787,Romania,1249.2708333333333,8
34797,Romania,119.93,10
34825,Romania,16490.375,12
34850,Romania,10993.583333333332,12
35655,Romania,599.65,2
35874,Romania,649.6208333333333,5
36260,Romania,1798.95,3
37104,Romania,919.4633333333333,3
37753,Romania,199.88333333333333,8
37906,Romania,699.5916666666667,9
37955,Romania,119.93,3
38049,Romania,2998.25,7
38113,Romania,1379.195,5
38457,Romania,999.4166666666666,12
38547,Romania,2988.255833333333,6
38990,Romania,749.5625,5
39048,Romania,783.2428416666667,2
39240,Romania,279.83666666666664,1
39517,Romania,1104.3554166666668,3
40006,Romania,11993.0,11
40830,Romania,399.76666666666665,5
40852,Romania,49.97083333333333,2
40861,Romania,199.88333333333333,10
41247,Romania,499.7083333333333,3
41257,Romania,249.85416666666666,1
41259,Romania,999.4166666666666,4
41434,Romania,111.03519166666666,1
41519,Romania,8994.75,10
41579,Romania,499.7083333333333,1
42058,Romania,499.7083333333333,5
42064,Romania,370.68364166666663,1
42316,Romania,549.6791666666667,2
42440,Romania,239.86,4
42542,Romania,1998.8333333333333,5
43451,Romania,299.825,13
44929,Romania,929.4575,3
45319,Romania,899.475,5
45926,Romania,3348.0458333333336,12
45931,Romania,499.7083333333333,7
45933,Romania,229.8658333333333,15
45957,Romania,999.4166666666666,3
46088,Romania,799.5333333333333,2
46123,Romania,459.7316666666666,3
46312,Romania,999.4166666666666,2
46379,Romania,899.475,4
46448,Romania,799.5333333333333,3
46483,Romania,349.79583333333335,12
46505,Romania,699.5916666666667,5
46748,Romania,2998.25,6
46881,Romania,1798.95,15
46967,Romania,1998.8333333333333,10
47013,Romania,224.86875,1
47133,Romania,799.5333333333333,4
47152,Romania,999.4166666666666,5
47796,Romania,2652.8516,15
47821,Romania,449.7375,20
47849,Romania,1449.1541666666667,26
47871,Romania,2205.4127583333334,14
47972,Romania,1798.95,15
47999,Romania,1549.0958333333333,4
48051,Romania,799.5333333333333,8
48118,Romania,1199.3,10
48237,Romania,399.76666666666665,2
48279,Romania,579.6616666666666,1
49341,Romania,799.5333333333333,2
49425,Romania,499.7083333333333,1
49437,Romania,1249.2708333333333,10
49604,Romania,772.4491416666666,2
49973,Romania,699.5916666666667,2
50003,Romania,1858.915,12
50117,Romania,199.88333333333333,2
50182,Romania,419.755,3
50206,Romania,1559.0900000000001,26
50441,Romania,2598.483333333333,10
50544,Romania,629.6324999999999,6
50551,Romania,1699.0083333333334,15
50711,Romania,449.7375,1
50853,Romania,1049.3874999999998,14
50867,Romania,699.5916666666667,12
51000,Romania,299.825,2
51698,Romania,581.7604416666667,12
51749,Romania,1499.125,15
51765,Romania,349.79583333333335,5
51825,Romania,399.76666666666665,8
52197,Romania,199.88333333333333,3
52924,Romania,3497.958333333333,15
53820,Romania,1898.8916666666667,14
54428,Romania,349.79583333333335,2
54440,Romania,599.65,1
54442,Romania,821.220675,4
54450,Romania,769.5508333333333,1
54459,Romania,999.4166666666666,4
54474,Romania,899.475,9
54547,Romania,1499.125,12
54560,Romania,1649.0375,4
54601,Romania,1164.3204166666667,4
54686,Romania,999.4166666666666,2
54827,Romania,799.5333333333333,10
54854,Romania,1798.95,6
54907,Romania,349.79583333333335,17
54926,Romania,224.86875,1
55008,Romania,1149.3291666666667,8
55030,Romania,119.93,5
55048,Romania,79.95333333333333,13
55201,Romania,1798.95,10
55342,Romania,399.76666666666665,2
55567,Romania,1998.8333333333333,8
55576,Romania,1399.1833333333334,12
55731,Romania,779.5450000000001,14
55826,Romania,2498.5416666666665,13
55874,Romania,1249.2708333333333,8
56378,Romania,1399.1833333333334,3
56420,Romania,999.4166666666666,13
56447,Romania,529.6908333333333,12
56752,Romania,149.9125,10
56929,Romania,1199.3,16
58181,Romania,779.5450000000001,3
58248,Romania,1499.125,5
58632,Romania,349.79583333333335,7
58901,Romania,379.7783333333333,1
59436,Romania,2398.6,12
59663,Romania,299.825,2
59708,Romania,199.88333333333333,1
59954,Romania,399.76666666666665,1
60022,Romania,1599.0666666666666,7
60333,Romania,1219.2883333333334,18
60846,Romania,1149.3291666666667,4
60952,Romania,313.5170083333333,1
61716,Romania,499.7083333333333,4
61923,Romania,739.5683333333333,2
62965,Romania,459.7316666666666,1
63224,Romania,999.4166666666666,1
