,Country,Monthly_Sal_EUR,YearsCodePro
42,Russian Federation,2121.5617,24
87,Russian Federation,4243.1234,3
251,Russian Federation,849.1043999999999,0
261,Russian Federation,2079.5861999999997,0
267,Russian Federation,3395.2182999999995,3
297,Russian Federation,4243.1234,9
366,Russian Federation,4243.1234,9
662,Russian Federation,4879.9517,3
672,Russian Federation,1230.4818,0
859,Russian Federation,2121.5617,12
868,Russian Federation,749.5625,3
915,Russian Federation,2970.6661000000004,6
937,Russian Federation,3974.4802,6
983,Russian Federation,2016.0233,3
1031,Russian Federation,1591.2712166666665,12
1038,Russian Federation,3713.0328,12
1111,Russian Federation,2398.6,3
1223,Russian Federation,849.1043999999999,0
1342,Russian Federation,785.5414999999999,3
1382,Russian Federation,1591.4711,9
1496,Russian Federation,5940.1329000000005,3
1560,Russian Federation,2970.6661000000004,6
1749,Russian Federation,1484.7334,6
1949,Russian Federation,1697.0095000000001,12
2042,Russian Federation,2121.5617,6
2098,Russian Federation,3182.9422,6
2120,Russian Federation,2970.6661000000004,6
2130,Russian Federation,1824.1353,0
2136,Russian Federation,1909.2856000000002,0
2207,Russian Federation,4030.8473,12
2243,Russian Federation,5092.2278,6
2304,Russian Federation,901.8736,0
2306,Russian Federation,636.8283,3
2309,Russian Federation,742.3667,3
2499,Russian Federation,954.6428000000001,3
2510,Russian Federation,1272.4573,0
2528,Russian Federation,1379.195,0
2790,Russian Federation,4243.1234,9
2942,Russian Federation,4243.1234,9
2946,Russian Federation,3182.9422,6
2991,Russian Federation,1166.9189,3
3057,Russian Federation,2121.5617,9
3205,Russian Federation,2546.1139,15
3304,Russian Federation,3818.5712000000003,3
3305,Russian Federation,3606.2951,3
3320,Russian Federation,2758.39,3
3405,Russian Federation,2694.8271,12
3475,Russian Federation,1166.9189,3
3750,Russian Federation,2439.3761999999997,3
3843,Russian Federation,1464.3453,0
4056,Russian Federation,1061.3805,3
4064,Russian Federation,7680.3171999999995,9
4098,Russian Federation,2333.8378,6
4197,Russian Federation,2758.39,6
4226,Russian Federation,1697.0095000000001,0
4289,Russian Federation,884.48375,0
4517,Russian Federation,2439.3761999999997,12
4800,Russian Federation,849.1043999999999,0
4928,Russian Federation,1484.7334,0
4943,Russian Federation,551.678,3
4952,Russian Federation,1.1993,3
5010,Russian Federation,3818.5712000000003,6
5053,Russian Federation,1484.7334,0
5083,Russian Federation,2195.9183,3
5161,Russian Federation,1697.0095000000001,0
5232,Russian Federation,3182.9422,6
5323,Russian Federation,1697.0095000000001,3
5340,Russian Federation,1697.0095000000001,0
5388,Russian Federation,3182.9422,9
5615,Russian Federation,4094.4102000000003,6
5756,Russian Federation,4413.424,9
5775,Russian Federation,1697.0095000000001,0
5824,Russian Federation,10993.583333333332,6
5848,Russian Federation,2185.1246,3
5912,Russian Federation,5304.5039,18
6039,Russian Federation,3182.9422,3
6165,Russian Federation,2546.1139,6
6327,Russian Federation,3713.0328,3
6432,Russian Federation,849.1043999999999,0
6590,Russian Federation,424.55219999999997,0
