,Country,Monthly_Sal_EUR,EdLevel
29,Russian Federation,19988.333333333332,Master's degree
58,Russian Federation,11993.0,Professional degree
198,Russian Federation,15990.666666666666,Master's degree
412,Russian Federation,599.65,college/university without bachelor's degree
450,Russian Federation,14991.25,Secondary school
790,Russian Federation,3997.6666666666665,Bachelor's degree
861,Russian Federation,19488.625,Master's degree
937,Russian Federation,599.65,Bachelor's degree
1023,Russian Federation,4097.608333333334,Bachelor's degree
1082,Russian Federation,8994.75,Bachelor's degree
1085,Russian Federation,19988.333333333332,college/university without bachelor's degree
1348,Russian Federation,12992.416666666666,college/university without bachelor's degree
1388,Russian Federation,5996.5,Bachelor's degree
1552,Russian Federation,14991.25,Master's degree
2155,Russian Federation,11393.35,Bachelor's degree
2229,Russian Federation,27.184133333333335,college/university without bachelor's degree
2251,Russian Federation,12992.416666666666,Something else
2369,Russian Federation,8994.75,Bachelor's degree
2394,Russian Federation,54.96791666666667,college/university without bachelor's degree
2445,Russian Federation,3997.6666666666665,Master's degree
2538,Russian Federation,19988.333333333332,Doctoral degree
2549,Russian Federation,18988.916666666664,Master's degree
2925,Russian Federation,17989.5,Master's degree
2928,Russian Federation,10993.583333333332,Bachelor's degree
2951,Russian Federation,19988.333333333332,college/university without bachelor's degree
2974,Russian Federation,17989.5,Master's degree
3216,Russian Federation,19988.333333333332,Doctoral degree
3532,Russian Federation,3198.133333333333,Bachelor's degree
3762,Russian Federation,17989.5,Master's degree
3956,Russian Federation,149.9125,Doctoral degree
3976,Russian Federation,9994.166666666666,college/university without bachelor's degree
4013,Russian Federation,10993.583333333332,college/university without bachelor's degree
4130,Russian Federation,17489.791666666664,Master's degree
4469,Russian Federation,7995.333333333333,Doctoral degree
4546,Russian Federation,9994.166666666666,Primary/elementary school
4765,Russian Federation,7995.333333333333,Bachelor's degree
4826,Russian Federation,399.76666666666665,Bachelor's degree
4886,Russian Federation,19988.333333333332,Primary/elementary school
5191,Russian Federation,17989.5,Bachelor's degree
5337,Russian Federation,16990.083333333332,Bachelor's degree
5411,Russian Federation,9994.166666666666,college/university without bachelor's degree
5448,Russian Federation,8994.75,Bachelor's degree
5526,Russian Federation,149.9125,Something else
5595,Russian Federation,2498.5416666666665,Secondary school
5892,Russian Federation,19988.333333333332,Bachelor's degree
6245,Russian Federation,17989.5,Bachelor's degree
6486,Russian Federation,3997.6666666666665,Something else
6936,Russian Federation,19988.333333333332,college/university without bachelor's degree
7114,Russian Federation,349.79583333333335,Bachelor's degree
7244,Russian Federation,16090.608333333334,Master's degree
7252,Russian Federation,19988.333333333332,Master's degree
7503,Russian Federation,15990.666666666666,college/university without bachelor's degree
7581,Russian Federation,19988.333333333332,Bachelor's degree
7675,Russian Federation,13991.833333333332,Professional degree
7772,Russian Federation,14991.25,Bachelor's degree
7829,Russian Federation,16290.491666666665,Bachelor's degree
8656,Russian Federation,19888.391666666666,Master's degree
9021,Russian Federation,17989.5,college/university without bachelor's degree
9339,Russian Federation,16490.375,Bachelor's degree
9676,Russian Federation,6995.916666666666,Bachelor's degree
9891,Russian Federation,2998.25,Bachelor's degree
10339,Russian Federation,9994.166666666666,Bachelor's degree
10343,Russian Federation,11493.291666666666,Something else
10362,Russian Federation,17989.5,Bachelor's degree
10415,Russian Federation,12992.416666666666,Master's degree
10504,Russian Federation,9994.166666666666,Master's degree
10524,Russian Federation,7495.625,Master's degree
10526,Russian Federation,14991.25,Professional degree
10968,Russian Federation,3997.6666666666665,Bachelor's degree
11177,Russian Federation,8994.75,college/university without bachelor's degree
11306,Russian Federation,3997.6666666666665,Secondary school
11393,Russian Federation,5488.796333333333,college/university without bachelor's degree
11471,Russian Federation,9994.166666666666,college/university without bachelor's degree
11485,Russian Federation,16190.55,Bachelor's degree
11673,Russian Federation,2998.25,Secondary school
11695,Russian Federation,13991.833333333332,Bachelor's degree
11735,Russian Federation,5996.5,Bachelor's degree
11798,Russian Federation,13492.125,Master's degree
11894,Russian Federation,11993.0,Master's degree
11959,Russian Federation,14991.25,Doctoral degree
12421,Russian Federation,16990.083333333332,Bachelor's degree
12436,Russian Federation,11993.0,Master's degree
12475,Russian Federation,6995.916666666666,Bachelor's degree
12704,Russian Federation,13791.949999999999,college/university without bachelor's degree
12945,Russian Federation,18988.916666666664,Master's degree
13022,Russian Federation,2998.25,Master's degree
13062,Russian Federation,39.97666666666667,college/university without bachelor's degree
13181,Russian Federation,4997.083333333333,college/university without bachelor's degree
13387,Russian Federation,9994.166666666666,Bachelor's degree
13582,Russian Federation,17989.5,Bachelor's degree
13593,Russian Federation,6995.916666666666,Master's degree
13984,Russian Federation,19988.333333333332,Bachelor's degree
13997,Russian Federation,4997.083333333333,Master's degree
14100,Russian Federation,4997.083333333333,Primary/elementary school
14265,Russian Federation,7495.625,Master's degree
14270,Russian Federation,5996.5,Bachelor's degree
14460,Russian Federation,14991.25,Something else
14524,Russian Federation,11993.0,Bachelor's degree
14674,Russian Federation,649.6208333333333,Professional degree
14757,Russian Federation,9994.166666666666,Bachelor's degree
14787,Russian Federation,14991.25,Bachelor's degree
14868,Russian Federation,999.4166666666666,Bachelor's degree
14942,Russian Federation,4497.375,Bachelor's degree
15010,Russian Federation,8994.75,Bachelor's degree
15123,Russian Federation,14991.25,Bachelor's degree
15153,Russian Federation,5996.5,Master's degree
15173,Russian Federation,139.91833333333332,Professional degree
15242,Russian Federation,9294.575,Bachelor's degree
15253,Russian Federation,3997.6666666666665,Bachelor's degree
15289,Russian Federation,9.994166666666667,Master's degree
15371,Russian Federation,13991.833333333332,Bachelor's degree
15426,Russian Federation,12422.749166666665,Master's degree
15462,Russian Federation,17989.5,Master's degree
15603,Russian Federation,4397.433333333333,Master's degree
15849,Russian Federation,9494.458333333332,Bachelor's degree
15959,Russian Federation,7995.333333333333,college/university without bachelor's degree
15987,Russian Federation,19988.333333333332,Master's degree
16207,Russian Federation,11993.0,college/university without bachelor's degree
16325,Russian Federation,2998.25,Bachelor's degree
16529,Russian Federation,1798.95,Master's degree
16782,Russian Federation,15990.666666666666,Master's degree
16787,Russian Federation,10493.875,Bachelor's degree
16916,Russian Federation,10993.583333333332,college/university without bachelor's degree
16947,Russian Federation,4497.375,Bachelor's degree
17026,Russian Federation,11993.0,Bachelor's degree
17124,Russian Federation,12992.416666666666,Bachelor's degree
17722,Russian Federation,10632.094325,Bachelor's degree
18015,Russian Federation,11993.0,Professional degree
18080,Russian Federation,19988.333333333332,Something else
18286,Russian Federation,17989.5,Bachelor's degree
18347,Russian Federation,7995.333333333333,Professional degree
18399,Russian Federation,12992.416666666666,Master's degree
18506,Russian Federation,9994.166666666666,Bachelor's degree
18536,Russian Federation,14991.25,college/university without bachelor's degree
18816,Russian Federation,14991.25,Doctoral degree
18984,Russian Federation,299.825,Master's degree
19133,Russian Federation,75.95566666666667,Bachelor's degree
19349,Russian Federation,10293.991666666667,Bachelor's degree
19590,Russian Federation,11993.0,Master's degree
19807,Russian Federation,16490.375,Master's degree
19821,Russian Federation,9994.166666666666,Bachelor's degree
19932,Russian Federation,149.9125,Master's degree
19946,Russian Federation,7595.566666666667,Bachelor's degree
20148,Russian Federation,11993.0,Master's degree
20149,Russian Federation,7995.333333333333,Bachelor's degree
20502,Russian Federation,9994.166666666666,Bachelor's degree
21102,Russian Federation,8994.75,Master's degree
21766,Russian Federation,10993.583333333332,Bachelor's degree
22155,Russian Federation,15990.666666666666,Bachelor's degree
22547,Russian Federation,3897.7250000000004,Bachelor's degree
22634,Russian Federation,7495.625,Professional degree
