,Country,Monthly_Sal_EUR,EdLevel
2490,Saudi Arabia,3837.76,Bachelor's degree
4733,Saudi Arabia,5436.4269,Bachelor's degree
5403,Saudi Arabia,6395.866899999999,Bachelor's degree
6854,Saudi Arabia,2278.67,Bachelor's degree
8448,Saudi Arabia,959.44,Bachelor's degree
10129,Saudi Arabia,1927.2751,college/university without bachelor's degree
12355,Saudi Arabia,5996.5,Master's degree
12494,Saudi Arabia,9494.458333333332,Bachelor's degree
13185,Saudi Arabia,8314.247191666665,Bachelor's degree
16979,Saudi Arabia,5496.791666666666,Doctoral degree
17051,Saudi Arabia,2638.46,Bachelor's degree
20921,Saudi Arabia,1918.88,Bachelor's degree
21129,Saudi Arabia,7994.533799999999,Bachelor's degree
22449,Saudi Arabia,4557.34,Secondary school
23805,Saudi Arabia,4221.536,No formal education
27885,Saudi Arabia,3358.04,Bachelor's degree
31350,Saudi Arabia,4476.9869,Bachelor's degree
34372,Saudi Arabia,1998.8333333333333,Bachelor's degree
34434,Saudi Arabia,8090.477800000001,Master's degree
36819,Saudi Arabia,3517.5469,Bachelor's degree
39222,Saudi Arabia,3198.5330999999996,Bachelor's degree
47361,Saudi Arabia,1918.88,Bachelor's degree
49183,Saudi Arabia,2782.376,Bachelor's degree
50176,Saudi Arabia,4476.9869,Bachelor's degree
50186,Saudi Arabia,1598.6669000000002,Bachelor's degree
53225,Saudi Arabia,695.594,Secondary school
54154,Saudi Arabia,4797.2,Bachelor's degree
59056,Saudi Arabia,4797.2,Bachelor's degree
59319,Saudi Arabia,1598.6669000000002,Bachelor's degree
60194,Saudi Arabia,3358.04,Bachelor's degree
62690,Saudi Arabia,7355.3069000000005,Associate degree
64744,Saudi Arabia,3837.76,Associate degree
68968,Saudi Arabia,5996.5,Bachelor's degree
69986,Saudi Arabia,7895.391666666666,Master's degree
70744,Saudi Arabia,4694.0602,Bachelor's degree
74741,Saudi Arabia,799.9331,Master's degree
79002,Saudi Arabia,13.292241666666666,Bachelor's degree
81368,Saudi Arabia,316.61519999999996,Primary/elementary school
85067,Saudi Arabia,1798.95,Associate degree
