,Country,Monthly_Sal_EUR,YearsCodePro
1809,Saudi Arabia,2974.164058333333,4
14294,Saudi Arabia,1998.8333333333333,10
15842,Saudi Arabia,1099.3583333333333,6
21052,Saudi Arabia,999.4166666666666,6
28488,Saudi Arabia,674.60625,10
28523,Saudi Arabia,1099.3583333333333,4
28781,Saudi Arabia,96.94341666666668,2
28924,Saudi Arabia,1399.1833333333334,12
28940,Saudi Arabia,2298.6583333333333,10
30601,Saudi Arabia,399.76666666666665,6
36499,Saudi Arabia,1499.125,10
45562,Saudi Arabia,1649.0375,2
48019,Saudi Arabia,2498.5416666666665,13
50893,Saudi Arabia,1699.0083333333334,2
52676,Saudi Arabia,899.475,6
55169,Saudi Arabia,1199.3,2
56523,Saudi Arabia,799.5333333333333,3
