,Country,Monthly_Sal_EUR,YearsCodePro
499,Serbia,1320.4293,0
1142,Serbia,1467.9432,6
1262,Serbia,3717.83,3
1448,Serbia,587.6569999999999,0
1695,Serbia,2726.0089,12
1900,Serbia,4403.8296,6
2148,Serbia,2495.7433,6
2690,Serbia,719.58,0
3525,Serbia,2935.8864,0
3996,Serbia,743.5659999999999,0
4539,Serbia,5396.85,6
4833,Serbia,3082.201,3
5582,Serbia,1821.7367,0
6711,Serbia,5871.7728,15
6846,Serbia,3841.3579,6
7105,Serbia,2275.0721,6
8219,Serbia,3669.858,3
8319,Serbia,2935.8864,9
9606,Serbia,5137.8012,21
10197,Serbia,1467.9432,27
11542,Serbia,1487.1319999999998,3
14119,Serbia,3155.3583,6
14704,Serbia,3669.858,3
15021,Serbia,5871.7728,15
15157,Serbia,733.9716,0
15301,Serbia,1195.7021,0
15416,Serbia,1614.2577999999999,3
15851,Serbia,7339.016408333333,0
16165,Serbia,2937.0857,3
16799,Serbia,2446.3721166666664,6
17248,Serbia,4051.2354,9
17980,Serbia,1232.8804,3
17990,Serbia,2949.0787,3
19494,Serbia,880.2862,0
19609,Serbia,2054.4008999999996,3
21404,Serbia,4110.0010999999995,3
22135,Serbia,4843.9727,9
22436,Serbia,1467.9432,0
23034,Serbia,7338.5167,9
23457,Serbia,954.6428000000001,3
24329,Serbia,18347.491049999997,18
24532,Serbia,1177.7125999999998,0
24783,Serbia,3757.4069,9
25140,Serbia,2201.9148,3
25246,Serbia,1264.0621999999998,6
26203,Serbia,1247.272,0
27075,Serbia,5381.958691666667,3
27536,Serbia,867.0939,0
27743,Serbia,3522.3441000000003,3
28193,Serbia,9994.166666666666,9
28577,Serbia,2849.5368,3
29134,Serbia,4956.7069,6
29744,Serbia,3816.1726,9
30994,Serbia,2204.3134,3
32286,Serbia,3669.858,9
33327,Serbia,7045.887500000001,9
33394,Serbia,807.1288999999999,0
33496,Serbia,31.1818,0
34965,Serbia,1761.7716999999998,6
36129,Serbia,1761.7716999999998,3
36438,Serbia,1761.7716999999998,0
36634,Serbia,3669.4582333333333,3
37015,Serbia,1394.7859,3
37293,Serbia,146.81430833333332,3
37561,Serbia,1614.2577999999999,0
38527,Serbia,2935.8864,6
39575,Serbia,3669.4582333333333,3
39588,Serbia,5871.7728,6
39628,Serbia,2788.3725,6
39778,Serbia,620.0381,3
40131,Serbia,1908.0863,0
40693,Serbia,2348.2294,12
42214,Serbia,2398.6,9
42264,Serbia,3229.7149,3
42400,Serbia,880.2862,0
42868,Serbia,3229.7149,3
43117,Serbia,1982.4429,3
43583,Serbia,2079.5861999999997,6
43664,Serbia,3962.4872,18
43737,Serbia,4403.429833333334,3
44794,Serbia,587.6569999999999,0
45997,Serbia,733.9716,0
46251,Serbia,4997.083333333333,0
47375,Serbia,1115.349,6
48115,Serbia,2446.3721166666664,3
48599,Serbia,743.5659999999999,3
48824,Serbia,780.7443,0
49761,Serbia,4403.8296,6
49781,Serbia,1467.9432,3
49838,Serbia,7339.016408333333,6
50160,Serbia,2935.8864,0
50891,Serbia,1238.8769,0
51226,Serbia,733.9716,0
51935,Serbia,3057.915175,18
53162,Serbia,1834.929,6
53340,Serbia,3245.3058,12
53876,Serbia,1834.929,0
53981,Serbia,4403.8296,9
54816,Serbia,513.3004,0
54962,Serbia,2935.8864,9
55445,Serbia,4197.549999999999,9
57467,Serbia,733.9716,0
59757,Serbia,9594.4,15
59942,Serbia,4110.0010999999995,6
60432,Serbia,743.5659999999999,0
60708,Serbia,12231.6607,6
60972,Serbia,3522.3441000000003,3
61937,Serbia,2935.8864,27
63218,Serbia,3669.4582333333333,6
63454,Serbia,1487.1319999999998,3
63634,Serbia,1761.7716999999998,3
64547,Serbia,2054.4008999999996,3
65898,Serbia,3669.858,0
66151,Serbia,3597.9,0
66768,Serbia,495.3109,0
67042,Serbia,733.9716,0
67820,Serbia,929.4575,0
69070,Serbia,1587.8732,3
69518,Serbia,2201.9148,0
70329,Serbia,2054.4008999999996,3
71594,Serbia,3669.858,6
71595,Serbia,7338.5167,3
72063,Serbia,3962.4872,9
73092,Serbia,6164.402,18
73352,Serbia,2935.8864,15
73436,Serbia,6115.83035,6
73736,Serbia,366.9858,0
74502,Serbia,440.1431,0
74806,Serbia,3613.9906083333335,3
74991,Serbia,4460.1967,6
75093,Serbia,2935.8864,9
75168,Serbia,2398.6,0
75260,Serbia,2498.5416666666665,6
75343,Serbia,9994.166666666666,9
75833,Serbia,6116.43,9
76324,Serbia,4997.083333333333,3
76983,Serbia,5137.301491666667,3
77361,Serbia,371.78299999999996,0
77642,Serbia,5898.1574,3
78214,Serbia,1467.9432,0
78457,Serbia,5871.7728,3
78885,Serbia,2935.8864,0
79217,Serbia,2201.9148,6
79525,Serbia,14391.6,3
79979,Serbia,3596.7007,3
80316,Serbia,3964.8858,9
85911,Serbia,3669.4582333333333,6
86165,Serbia,4403.8296,9
86275,Serbia,3522.3441000000003,3
87177,Serbia,1467.9432,0
