,Country,Monthly_Sal_EUR,EdLevel
48,Serbia,499.7083333333333,college/university without bachelor's degree
445,Serbia,429.7491666666666,Master's degree
623,Serbia,149.9125,Bachelor's degree
879,Serbia,4997.083333333333,college/university without bachelor's degree
897,Serbia,19988.333333333332,Master's degree
1590,Serbia,249.85416666666666,Bachelor's degree
2147,Serbia,11893.058333333334,Secondary school
2391,Serbia,5496.791666666666,Master's degree
3279,Serbia,19988.333333333332,Master's degree
3712,Serbia,16510.363333333335,Bachelor's degree
3943,Serbia,199.88333333333333,Bachelor's degree
4399,Serbia,465.72816666666665,Master's degree
4527,Serbia,79.95333333333333,Bachelor's degree
5009,Serbia,3597.9,college/university without bachelor's degree
5275,Serbia,14991.25,Secondary school
5342,Serbia,16990.083333333332,Secondary school
7069,Serbia,13991.833333333332,Bachelor's degree
7244,Serbia,209.8775,Doctoral degree
7317,Serbia,7495.625,Bachelor's degree
7713,Serbia,17989.5,Bachelor's degree
7728,Serbia,6496.208333333333,Secondary school
7831,Serbia,49.97083333333333,Bachelor's degree
8116,Serbia,10593.816666666666,college/university without bachelor's degree
8402,Serbia,19988.333333333332,Bachelor's degree
8446,Serbia,11993.0,Bachelor's degree
8886,Serbia,17989.5,Bachelor's degree
9321,Serbia,13991.833333333332,Master's degree
9581,Serbia,16990.083333333332,Secondary school
10385,Serbia,7595.566666666667,Doctoral degree
11077,Serbia,119.93,Bachelor's degree
11646,Serbia,114.93291666666666,Bachelor's degree
11710,Serbia,149.9125,college/university without bachelor's degree
12120,Serbia,6995.916666666666,Associate degree
12247,Serbia,149.9125,Bachelor's degree
13168,Serbia,79.95333333333333,college/university without bachelor's degree
13818,Serbia,24.985416666666666,college/university without bachelor's degree
14165,Serbia,9994.166666666666,Master's degree
15055,Serbia,11493.291666666666,Bachelor's degree
15698,Serbia,5256.931666666666,Bachelor's degree
15886,Serbia,319.81333333333333,Master's degree
15996,Serbia,11493.291666666666,college/university without bachelor's degree
16219,Serbia,7495.625,Secondary school
16816,Serbia,349.79583333333335,Doctoral degree
16892,Serbia,6995.916666666666,Secondary school
17272,Serbia,5796.616666666667,Bachelor's degree
17429,Serbia,17989.5,college/university without bachelor's degree
17709,Serbia,4597.316666666667,college/university without bachelor's degree
17864,Serbia,34.97958333333333,college/university without bachelor's degree
19020,Serbia,199.88333333333333,Master's degree
19392,Serbia,12792.533333333333,Master's degree
20915,Serbia,11193.466666666667,Bachelor's degree
21010,Serbia,3557.923333333333,Bachelor's degree
21398,Serbia,139.91833333333332,Bachelor's degree
22385,Serbia,699.5916666666667,college/university without bachelor's degree
22541,Serbia,7995.333333333333,college/university without bachelor's degree
23186,Serbia,199.88333333333333,Master's degree
24107,Serbia,14491.541666666666,Bachelor's degree
24963,Serbia,14991.25,Professional degree
25484,Serbia,99.94166666666666,Master's degree
26253,Serbia,133.52206666666666,Bachelor's degree
27129,Serbia,5396.85,Master's degree
27169,Serbia,7195.8,college/university without bachelor's degree
27179,Serbia,13991.833333333332,Bachelor's degree
28155,Serbia,19988.333333333332,Master's degree
29069,Serbia,319.81333333333333,Master's degree
29222,Serbia,4997.083333333333,college/university without bachelor's degree
29701,Serbia,19988.333333333332,Master's degree
31093,Serbia,149.9125,Secondary school
31418,Serbia,15990.666666666666,Bachelor's degree
31498,Serbia,599.65,Bachelor's degree
31798,Serbia,84.95041666666665,Master's degree
31935,Serbia,299.825,college/university without bachelor's degree
32076,Serbia,1079.37,Secondary school
32831,Serbia,369.78416666666664,college/university without bachelor's degree
33023,Serbia,359.79,Secondary school
33180,Serbia,79.95333333333333,college/university without bachelor's degree
33252,Serbia,2998.25,Bachelor's degree
34008,Serbia,14191.716666666667,Master's degree
34245,Serbia,16990.083333333332,Master's degree
34908,Serbia,279.83666666666664,Master's degree
35357,Serbia,69.95916666666666,Bachelor's degree
35591,Serbia,334.8045833333333,Secondary school
36209,Serbia,59.965,Master's degree
36278,Serbia,499.7083333333333,Bachelor's degree
36604,Serbia,419.755,Master's degree
36773,Serbia,259.84833333333336,Master's degree
37175,Serbia,8495.041666666666,Bachelor's degree
37262,Serbia,18389.266666666666,Bachelor's degree
37723,Serbia,449.7375,Secondary school
38086,Serbia,62.463541666666664,Bachelor's degree
38194,Serbia,15391.016666666666,college/university without bachelor's degree
38216,Serbia,9994.166666666666,college/university without bachelor's degree
38529,Serbia,9994.166666666666,Bachelor's degree
40003,Serbia,499.7083333333333,Bachelor's degree
40777,Serbia,5996.5,college/university without bachelor's degree
41246,Serbia,149.9125,Secondary school
41582,Serbia,4599.91515,Bachelor's degree
41596,Serbia,134.92125,Bachelor's degree
42720,Serbia,11993.0,Bachelor's degree
43710,Serbia,149.9125,Master's degree
45142,Serbia,5996.5,college/university without bachelor's degree
45205,Serbia,5996.5,Bachelor's degree
46225,Serbia,6995.916666666666,Master's degree
47136,Serbia,699.5916666666667,Master's degree
47298,Serbia,19988.333333333332,Secondary school
47810,Serbia,399.76666666666665,Secondary school
49816,Serbia,79.95333333333333,Master's degree
50104,Serbia,249.85416666666666,college/university without bachelor's degree
50205,Serbia,69.95916666666666,Master's degree
50881,Serbia,99.94166666666666,Associate degree
50914,Serbia,289.8308333333333,Bachelor's degree
50953,Serbia,5996.5,Bachelor's degree
52192,Serbia,4097.608333333334,Bachelor's degree
52393,Serbia,84.95041666666665,Master's degree
52858,Serbia,79.95333333333333,Master's degree
53011,Serbia,299.825,college/university without bachelor's degree
53323,Serbia,7995.333333333333,Master's degree
53911,Serbia,2998.25,Bachelor's degree
54588,Serbia,11593.233333333334,Bachelor's degree
55935,Serbia,17989.5,Bachelor's degree
57088,Serbia,6995.916666666666,Bachelor's degree
57184,Serbia,5461.812083333332,college/university without bachelor's degree
57494,Serbia,299.825,Secondary school
58083,Serbia,299.825,college/university without bachelor's degree
58878,Serbia,11993.0,Master's degree
59503,Serbia,199.88333333333333,Bachelor's degree
59947,Serbia,59.965,Secondary school
60493,Serbia,249.85416666666666,Master's degree
60832,Serbia,11993.0,Doctoral degree
60993,Serbia,4497.375,Bachelor's degree
62346,Serbia,11493.291666666666,Secondary school
62636,Serbia,14991.25,college/university without bachelor's degree
63184,Serbia,199.88333333333333,Bachelor's degree
63185,Serbia,10094.108333333334,college/university without bachelor's degree
65115,Serbia,13991.833333333332,college/university without bachelor's degree
65299,Serbia,199.88333333333333,Bachelor's degree
65354,Serbia,359.79,Master's degree
65569,Serbia,199.88333333333333,Master's degree
65725,Serbia,199.88333333333333,Bachelor's degree
65996,Serbia,319.81333333333333,Master's degree
66622,Serbia,209.8775,Master's degree
66669,Serbia,299.825,Bachelor's degree
66898,Serbia,224.86875,Bachelor's degree
68541,Serbia,3118.1800000000003,Master's degree
68821,Serbia,14491.541666666666,Bachelor's degree
68905,Serbia,19988.333333333332,Master's degree
69443,Serbia,259.84833333333336,Master's degree
69639,Serbia,109.93583333333333,Bachelor's degree
70249,Serbia,3098.1916666666666,college/university without bachelor's degree
70360,Serbia,12092.941666666668,Bachelor's degree
72908,Serbia,39.97666666666667,Secondary school
73167,Serbia,8295.158333333333,Bachelor's degree
73447,Serbia,374.78125,Bachelor's degree
75159,Serbia,29.9825,Bachelor's degree
78405,Serbia,69.95916666666666,Master's degree
78440,Serbia,109.93583333333333,Bachelor's degree
79725,Serbia,214.8745833333333,college/university without bachelor's degree
80419,Serbia,999.4166666666666,Bachelor's degree
81054,Serbia,249.85416666666666,college/university without bachelor's degree
83112,Serbia,7295.741666666667,Bachelor's degree
83403,Serbia,94.94458333333333,Master's degree
83822,Serbia,69.95916666666666,Bachelor's degree
84654,Serbia,99.94166666666666,Bachelor's degree
84734,Serbia,599.65,Master's degree
85201,Serbia,9994.166666666666,Bachelor's degree
85280,Serbia,239.86,Master's degree
86612,Serbia,2198.7166666666667,Bachelor's degree
86957,Serbia,799.5333333333333,Bachelor's degree
87778,Serbia,399.76666666666665,college/university without bachelor's degree
87863,Serbia,39.97666666666667,college/university without bachelor's degree
87954,Serbia,9494.458333333332,college/university without bachelor's degree
