,Country,Monthly_Sal_EUR,EdLevel
1132,Singapore,599.65,Bachelor's degree
1524,Singapore,8295.158333333333,Bachelor's degree
2918,Singapore,599.65,Master's degree
3159,Singapore,7195.8,Bachelor's degree
3171,Singapore,5196.966666666666,Bachelor's degree
4004,Singapore,769.5508333333333,Bachelor's degree
4342,Singapore,75.95566666666667,college/university without bachelor's degree
5995,Singapore,649.6208333333333,Bachelor's degree
6818,Singapore,11168.481249999999,Master's degree
6888,Singapore,6995.916666666666,Bachelor's degree
7189,Singapore,809.5274999999999,Bachelor's degree
7811,Singapore,9594.4,Bachelor's degree
8519,Singapore,9894.224999999999,Bachelor's degree
9118,Singapore,6796.033333333334,Master's degree
9374,Singapore,859.4983333333332,Bachelor's degree
9501,Singapore,10194.05,Bachelor's degree
12032,Singapore,479.72,Bachelor's degree
12263,Singapore,499.7083333333333,Bachelor's degree
12637,Singapore,299.825,Bachelor's degree
14430,Singapore,199.88333333333333,college/university without bachelor's degree
14484,Singapore,699.5916666666667,Bachelor's degree
14798,Singapore,1249.2708333333333,Master's degree
15117,Singapore,499.7083333333333,Master's degree
15561,Singapore,8495.041666666666,college/university without bachelor's degree
16015,Singapore,499.7083333333333,Bachelor's degree
16193,Singapore,19988.333333333332,Master's degree
17044,Singapore,299.825,Bachelor's degree
17058,Singapore,999.4166666666666,Bachelor's degree
17918,Singapore,999.4166666666666,Master's degree
18648,Singapore,19988.333333333332,Doctoral degree
18784,Singapore,329.8075,Bachelor's degree
19240,Singapore,1499.125,Associate degree
19268,Singapore,349.79583333333335,Primary/elementary school
20923,Singapore,13991.833333333332,Bachelor's degree
21043,Singapore,659.615,Bachelor's degree
21460,Singapore,499.7083333333333,Master's degree
22257,Singapore,999.4166666666666,Master's degree
22485,Singapore,4197.549999999999,Bachelor's degree
23110,Singapore,399.76666666666665,Master's degree
24603,Singapore,409.7608333333333,Bachelor's degree
25310,Singapore,7995.333333333333,Bachelor's degree
25884,Singapore,419.755,Bachelor's degree
26058,Singapore,599.65,Doctoral degree
26381,Singapore,529.6908333333333,Bachelor's degree
27014,Singapore,5996.5,Bachelor's degree
27176,Singapore,459.7316666666666,Master's degree
27441,Singapore,999.4166666666666,Master's degree
28103,Singapore,7295.741666666667,Master's degree
28151,Singapore,9994.166666666666,Bachelor's degree
28265,Singapore,13292.241666666665,Master's degree
28605,Singapore,9594.4,Bachelor's degree
28606,Singapore,599.65,Bachelor's degree
28912,Singapore,11993.0,Bachelor's degree
28987,Singapore,7795.450000000001,Bachelor's degree
29241,Singapore,4997.083333333333,Master's degree
29749,Singapore,299.825,Doctoral degree
30053,Singapore,10074.119999999999,Master's degree
31352,Singapore,3997.6666666666665,Bachelor's degree
31535,Singapore,499.7083333333333,Bachelor's degree
31600,Singapore,399.76666666666665,Bachelor's degree
32048,Singapore,449.7375,Bachelor's degree
32973,Singapore,4497.375,college/university without bachelor's degree
34375,Singapore,499.7083333333333,Bachelor's degree
34692,Singapore,699.5916666666667,Master's degree
36440,Singapore,6096.441666666667,Bachelor's degree
36964,Singapore,9094.691666666666,Bachelor's degree
38422,Singapore,7995.333333333333,Bachelor's degree
39203,Singapore,799.5333333333333,Bachelor's degree
39307,Singapore,499.7083333333333,Bachelor's degree
40534,Singapore,14491.541666666666,Bachelor's degree
41324,Singapore,8495.041666666666,Bachelor's degree
42952,Singapore,859.4983333333332,Master's degree
43252,Singapore,449.7375,Bachelor's degree
44040,Singapore,364.78708333333327,Bachelor's degree
45717,Singapore,6995.916666666666,Master's degree
46537,Singapore,5396.85,Bachelor's degree
49452,Singapore,549.6791666666667,Bachelor's degree
49559,Singapore,8994.75,Bachelor's degree
49892,Singapore,349.79583333333335,Bachelor's degree
50080,Singapore,17989.5,Master's degree
50410,Singapore,599.65,Bachelor's degree
50671,Singapore,12992.416666666666,Master's degree
51911,Singapore,6895.974999999999,Master's degree
52447,Singapore,319.81333333333333,Master's degree
52471,Singapore,499.7083333333333,Master's degree
52861,Singapore,1199.3,Master's degree
53255,Singapore,12992.416666666666,Bachelor's degree
54926,Singapore,699.5916666666667,Bachelor's degree
55112,Singapore,449.7375,Bachelor's degree
55305,Singapore,4897.141666666666,Bachelor's degree
55467,Singapore,279.83666666666664,Bachelor's degree
55476,Singapore,639.6266666666667,Doctoral degree
56531,Singapore,349.79583333333335,Bachelor's degree
56766,Singapore,7495.625,Bachelor's degree
57072,Singapore,349.79583333333335,Doctoral degree
57255,Singapore,15990.666666666666,college/university without bachelor's degree
57434,Singapore,549.6791666666667,Bachelor's degree
57600,Singapore,12192.883333333333,Bachelor's degree
57685,Singapore,8794.866666666667,Master's degree
58005,Singapore,14491.541666666666,No formal education
58158,Singapore,459.7316666666666,Bachelor's degree
58182,Singapore,349.79583333333335,Bachelor's degree
59039,Singapore,499.7083333333333,Bachelor's degree
60105,Singapore,6995.916666666666,Master's degree
60546,Singapore,749.5625,Master's degree
61148,Singapore,10793.7,college/university without bachelor's degree
62673,Singapore,419.755,Bachelor's degree
63540,Singapore,6236.360000000001,Bachelor's degree
63892,Singapore,8445.070833333333,Master's degree
64254,Singapore,15990.666666666666,Master's degree
65988,Singapore,7195.8,Bachelor's degree
67702,Singapore,434.74625,Bachelor's degree
67801,Singapore,10793.7,Master's degree
68509,Singapore,7395.6833333333325,Bachelor's degree
68548,Singapore,349.79583333333335,Bachelor's degree
69171,Singapore,999.4166666666666,Bachelor's degree
69178,Singapore,699.5916666666667,Bachelor's degree
69356,Singapore,483.7176666666667,Bachelor's degree
69363,Singapore,299.825,Bachelor's degree
70156,Singapore,299.825,Associate degree
70547,Singapore,499.7083333333333,Bachelor's degree
70907,Singapore,549.6791666666667,Master's degree
71562,Singapore,529.6908333333333,Bachelor's degree
72020,Singapore,9994.166666666666,Master's degree
72639,Singapore,699.5916666666667,Bachelor's degree
72990,Singapore,14991.25,Master's degree
73043,Singapore,399.76666666666665,Bachelor's degree
73132,Singapore,839.51,Bachelor's degree
74043,Singapore,299.825,college/university without bachelor's degree
74718,Singapore,7795.450000000001,Bachelor's degree
74978,Singapore,19988.333333333332,Bachelor's degree
75804,Singapore,1049.3874999999998,Doctoral degree
76811,Singapore,15990.666666666666,Bachelor's degree
77052,Singapore,14991.25,Doctoral degree
77756,Singapore,749.5625,Master's degree
78801,Singapore,549.6791666666667,Master's degree
80299,Singapore,19988.333333333332,Doctoral degree
81154,Singapore,549.6791666666667,Bachelor's degree
81929,Singapore,1099.3583333333333,college/university without bachelor's degree
82452,Singapore,529.6908333333333,Bachelor's degree
82535,Singapore,699.5916666666667,Bachelor's degree
86019,Singapore,749.5625,Bachelor's degree
86505,Singapore,699.5916666666667,Bachelor's degree
86607,Singapore,6396.266666666666,Master's degree
86631,Singapore,8195.216666666667,Bachelor's degree
86828,Singapore,509.7025,Bachelor's degree
87846,Singapore,10254.015,Bachelor's degree
88045,Singapore,359.79,Bachelor's degree
